,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,BCS
114,11,<,8,Ohio State,Big Ten,1-1,840,11,L 18-15 H #3 USC,Week 2Sep 13,2009,
115,12,<,13,Oklahoma,Big 12,1-1,835,12,W 64-0 H Idaho State,Week 2Sep 13,2009,
116,13,<,14,Virginia Tech,ACC,1-1,749,14,W 52-10 H Marshall,Week 2Sep 13,2009,
117,14,<,15,Georgia Tech,ACC,2-0,683,13,W 30-27 H Clemson,Week 2Sep 13,2009,
118,15,<,16,TCU,MWC,1-0,609,15,W 30-14 A Virginia,Week 2Sep 13,2009,
119,16,<,5,Oklahoma State,Big 12,1-1,445,17,L 45-35 H Houston,Week 2Sep 13,2009,
120,17,<,23,Cincinnati,Big East,2-0,407,21,W 70-3 H Southeast Missouri State,Week 2Sep 13,2009,
121,18,<,17,Utah,MWC,2-0,405,16,W 24-14 A San Jose State,Week 2Sep 13,2009,
122,19,<,22,Nebraska,Big 12,2-0,365,18,W 38-9 H Arkansas State,Week 2Sep 13,2009,
123,20,<,20,Miami (FL),ACC,1-0,364,22,DNP,Week 2Sep 13,2009,
124,21,<,NR,Houston,CUSA,2-0,341,NR,W 45-35 A #5 Oklahoma State,Week 2Sep 13,2009,
125,22,<,24,Kansas,Big 12,2-0,271,23,W 34-7 A UTEP,Week 2Sep 13,2009,
126,23,<,21,Georgia,SEC,1-1,260,20,W 41-37 H South Carolina,Week 2Sep 13,2009,
127,24,<,19,North Carolina,ACC,2-0,250,19,W 12-10 A Connecticut,Week 2Sep 13,2009,
128,25,<,NR,Michigan,Big Ten,2-0,169,NR,W 38-34 H #18 Notre Dame,Week 2Sep 13,2009,
129,RV,<,25,Missouri,Big 12,2-0,93,25,W 27-20 H Bowling Green,Week 2Sep 13,2009,
130,RV,<,NR,Pittsburgh,Big East,,87,,,Week 2Sep 13,2009,
131,RV,<,NR,Oregon State,Pac-10,,64,,,Week 2Sep 13,2009,
132,RV,<,NR,Texas Tech,Big 12,,54,,,Week 2Sep 13,2009,
133,RV,<,NR,UCLA,Pac-10,,44,,,Week 2Sep 13,2009,
134,RV,<,18,Notre Dame,Ind,1-1,40,NR,L 38-34 A Michigan,Week 2Sep 13,2009,
135,RV,<,NR,West Virginia,Big East,,30,,,Week 2Sep 13,2009,
136,RV,<,NR,Auburn,SEC,,26,,,Week 2Sep 13,2009,
137,RV,<,NR,Iowa,Big Ten,,23,,,Week 2Sep 13,2009,
138,RV,<,NR,Boston College,ACC,,19,,,Week 2Sep 13,2009,
139,RV,<,NR,Baylor,Big 12,,15,,,Week 2Sep 13,2009,
140,RV,<,NR,Clemson,ACC,,10,,,Week 2Sep 13,2009,
141,RV,<,NR,Oregon,Pac-10,,5,,,Week 2Sep 13,2009,
142,RV,<,NR,Arizona,Pac-10,,4,,,Week 2Sep 13,2009,
143,RV,<,NR,Arkansas,SEC,,3,,,Week 2Sep 13,2009,
144,RV,<,NR,Colorado State,MWC,,2,,,Week 2Sep 13,2009,
145,RV,<,NR,Florida State,ACC,,1,,,Week 2Sep 13,2009,
146,RV,<,NR,Minnesota,Big Ten,,1,,,Week 2Sep 13,2009,
147,RV,<,NR,South Florida,Big East,,1,,,Week 2Sep 13,2009,
148,1,<,1,Florida (55),SEC,3-0,1488,*1,W 23-13 H Tennessee,Week 3Sep 20,2009,
149,2,<,2,Texas (2),Big 12,3-0,1428,2,W 34-24 H Texas Tech,Week 3Sep 20,2009,
150,3,<,4,Alabama (3),SEC,3-0,1390,3,W 53-7 H North Texas,Week 3Sep 20,2009,
151,4,<,5,Mississippi,SEC,2-0,1213,5,W 52-6 H Southeastern Louisiana,Week 3Sep 20,2009,
152,5,<,5,Penn State,Big Ten,3-0,1212,4,W 31-6 H Temple,Week 3Sep 20,2009,
153,6,<,8,California,Pac-10,3-0,1169,6,W 35-21 A Minnesota,Week 3Sep 20,2009,
154,7,<,9,LSU,SEC,3-0,1120,7,W 31-3 H Louisiana-Lafayette,Week 3Sep 20,2009,
155,8,<,10,Boise State,WAC,3-0,1038,8,W 51-34 A Fresno State,Week 3Sep 20,2009,
156,9,<,20,Miami (FL),ACC,2-0,920,13,W 33-17 H #14 Georgia Tech,Week 3Sep 20,2009,
157,10,<,12,Oklahoma,Big 12,2-1,862,9,W 45-0 H Tulsa,Week 3Sep 20,2009,
158,11,<,13,Virginia Tech,ACC,2-1,852,12,W 16-15 H #19 Nebraska,Week 3Sep 20,2009,
159,12,<,3,USC,Pac-10,2-1,825,10,L 16-13 A Washington,Week 3Sep 20,2009,
160,13,<,11,Ohio State,Big Ten,2-1,810,11,W 38-0 A Toledo,Week 3Sep 20,2009,
161,14,<,17,Cincinnati,Big East,3-0,739,15,W 28-18 A Oregon State,Week 3Sep 20,2009,
162,15,<,15,TCU,MWC,2-0,674,14,W 56-21 H Texas State,Week 3Sep 20,2009,
163,16,<,16,Oklahoma State,Big 12,2-1,478,16,W 41-24 H Rice,Week 3Sep 20,2009,
164,17,<,21,Houston,CUSA,2-0,455,23,DNP,Week 3Sep 20,2009,
165,18,<,NR,Florida State,ACC,2-1,363,25,W 54-28 A #7 BYU,Week 3Sep 20,2009,
166,19,<,7,BYU,MWC,2-1,349,20,L 54-28 H Florida State,Week 3Sep 20,2009,
167,20,<,22,Kansas,Big 12,3-0,347,19,W 44-16 H Duke,Week 3Sep 20,2009,
168,21,<,23,Georgia,SEC,2-1,318,17,W 52-41 A Arkansas,Week 3Sep 20,2009,
169,22,<,24,North Carolina,ACC,3-0,271,18,W 31-17 H East Carolina,Week 3Sep 20,2009,
170,23,<,25,Michigan,Big Ten,3-0,247,22,W 45-17 H Eastern Michigan,Week 3Sep 20,2009,
171,24,<,NR,Washington,Pac-10,2-1,194,RV,W 16-13 H #3 USC,Week 3Sep 20,2009,
172,25,<,19,Nebraska,Big 12,2-1,132,24,L 16-15 A #13 Virginia Tech,Week 3Sep 20,2009,
173,RV,<,NR,Missouri,Big 12,3-0,115,21,,Week 3Sep 20,2009,
174,RV,<,14,Georgia Tech,ACC,,102,RV,L 33-17 A #20 Miami (FL),Week 3Sep 20,2009,
175,RV,<,NR,Auburn,SEC,,100,RV,,Week 3Sep 20,2009,
176,RV,<,NR,Pittsburgh,Big East,,91,RV,,Week 3Sep 20,2009,
177,RV,<,NR,UCLA,Pac-10,,62,RV,,Week 3Sep 20,2009,
178,RV,<,NR,Iowa,Big Ten,,39,RV,,Week 3Sep 20,2009,
179,RV,<,NR,Oregon,Pac-10,,30,RV,,Week 3Sep 20,2009,
180,RV,<,NR,Texas Tech,Big 12,,19,RV,,Week 3Sep 20,2009,
181,RV,<,NR,Notre Dame,Ind,,16,RV,,Week 3Sep 20,2009,
182,RV,<,18,Utah,MWC,,12,RV,L 31-24 A Oregon,Week 3Sep 20,2009,
183,RV,<,NR,Clemson,ACC,,11,NR,,Week 3Sep 20,2009,
184,RV,<,NR,Colorado State,MWC,,4,RV,,Week 3Sep 20,2009,
185,RV,<,NR,Oregon State,Pac-10,,4,RV,,Week 3Sep 20,2009,
186,RV,<,NR,South Florida,Big East,,1,RV,,Week 3Sep 20,2009,
187,NR,<,NR,Kentucky,SEC,,0,RV,,Week 3Sep 20,2009,
188,NR,<,NR,Minnesota,Big Ten,,0,RV,,Week 3Sep 20,2009,
189,NR,<,NR,South Carolina,SEC,,0,RV,,Week 3Sep 20,2009,
190,NR,<,NR,Wisconsin,Big Ten,,0,RV,,Week 3Sep 20,2009,
191,1,<,1,Florida (55),SEC,4-0,1490,1,W 41-7 A Kentucky,Week 4Sep 27,2009,
192,2,<,2,Texas (1),Big 12,4-0,1420,2,W 64-7 H UTEP,Week 4Sep 27,2009,
193,3,<,3,Alabama (4),SEC,4-0,1400,3,W 35-7 H Arkansas,Week 4Sep 27,2009,
194,4,<,7,LSU,SEC,4-0,1225,4,W 30-26 A Mississippi State,Week 4Sep 27,2009,
195,5,<,8,Boise State,WAC,4-0,1203,5,W 49-14 A Bowling Green,Week 4Sep 27,2009,
196,6,<,11,Virginia Tech,ACC,3-1,1190,6,W 31-7 H #9 Miami (FL),Week 4Sep 27,2009,
197,7,<,12,USC,Pac-10,3-1,998,7,W 27-6 H Washington State,Week 4Sep 27,2009,
198,8,<,10,Oklahoma,Big 12,2-1,979,8,DNP,Week 4Sep 27,2009,
199,9,<,13,Ohio State,Big Ten,3-1,957,9,W 30-0 H Illinois,Week 4Sep 27,2009,
200,10,<,14,Cincinnati,Big East,4-0,946,11,W 28-20 H Fresno State,Week 4Sep 27,2009,
201,11,<,15,TCU,MWC,3-0,896,10,W 14-10 A Clemson,Week 4Sep 27,2009,
202,12,<,17,Houston,CUSA,3-0,844,15,W 29-28 H Texas Tech,Week 4Sep 27,2009,
203,13,<,NR,Iowa,Big Ten,4-0,788,17,W 21-10 A #5 Penn State,Week 4Sep 27,2009,
204,14,<,16,Oklahoma State,Big 12,3-1,591,12,W 56-6 H Grambling State,Week 4Sep 27,2009,
205,15,<,5,Penn State,Big Ten,3-1,470,13,L 21-10 H Iowa,Week 4Sep 27,2009,
206,16,<,NR,Oregon,Pac-10,3-1,462,25,W 42-3 H #6 California,Week 4Sep 27,2009,
207,17,<,9,Miami (FL),ACC,2-1,452,21,L 31-7 A #11 Virginia Tech,Week 4Sep 27,2009,
208,18,<,20,Kansas,Big 12,4-0,418,16,W 35-28 H Southern Miss,Week 4Sep 27,2009,
209,18,<,21,Georgia,SEC,3-1,418,14,W 20-17 H Arizona State,Week 4Sep 27,2009,
210,20,<,19,BYU,MWC,3-1,349,21,W 42-23 H Colorado State,Week 4Sep 27,2009,
211,21,<,4,Mississippi,SEC,2-1,340,18,L 16-10 A South Carolina,Week 4Sep 27,2009,
212,22,<,23,Michigan,Big Ten,4-0,271,20,W 36-33 H Indiana,Week 4Sep 27,2009,
213,23,<,25,Nebraska,Big 12,3-1,256,24,W 55-0 H Louisiana-Lafayette,Week 4Sep 27,2009,
214,24,<,6,California,Pac-10,3-1,206,19,L 42-3 A Oregon,Week 4Sep 27,2009,
215,25,<,NR,Georgia Tech,ACC,3-1,185,NR,W 24-7 H #22 North Carolina,Week 4Sep 27,2009,
216,RV,<,NR,Missouri,Big 12,,175,NR,,Week 4Sep 27,2009,
217,RV,<,NR,Auburn,SEC,,171,NR,,Week 4Sep 27,2009,
218,RV,<,NR,South Carolina,SEC,,154,NR,,Week 4Sep 27,2009,
219,RV,<,NR,South Florida,Big East,,145,NR,,Week 4Sep 27,2009,
220,RV,<,NR,UCLA,Pac-10,,41,NR,,Week 4Sep 27,2009,
221,RV,<,NR,Utah,MWC,,25,NR,,Week 4Sep 27,2009,
222,RV,<,NR,Wisconsin,Big Ten,,20,NR,,Week 4Sep 27,2009,
223,RV,<,NR,Notre Dame,Ind,,7,NR,,Week 4Sep 27,2009,
224,RV,<,NR,Arizona State,Pac-10,,4,NR,,Week 4Sep 27,2009,
225,RV,<,22,North Carolina,ACC,3-1,2,NR,L 24-7 A Georgia Tech,Week 4Sep 27,2009,
226,RV,<,NR,Stanford,Pac-10,,2,NR,,Week 4Sep 27,2009,
227,NR,<,18,Florida State,ACC,2-2,0,NR,L 17-7 H South Florida,Week 4Sep 27,2009,
228,NR,<,24,Washington,Pac-10,2-2,0,NR,L 34-14 A Stanford,Week 4Sep 27,2009,
229,1,<,1,Florida (54),SEC,4-0,1486,1,DNP,Week 5Oct 4,2009,
230,2,<,2,Texas (1),Big 12,4-0,1416,2,DNP,Week 5Oct 4,2009,
231,3,<,3,Alabama (5),SEC,5-0,1404,3,W 38-20 A Kentucky,Week 5Oct 4,2009,
232,4,<,4,LSU,SEC,5-0,1290,4,W 20-13 A #18 Georgia,Week 5Oct 4,2009,
233,5,<,6,Virginia Tech,ACC,4-1,1200,5,W 34-26 A Duke,Week 5Oct 4,2009,
234,6,<,5,Boise State,WAC,5-0,1185,6,W 34-16 H UC Davis,Week 5Oct 4,2009,
235,7,<,7,USC,Pac-10,4-1,1108,7,W 30-3 A #24 California,Week 5Oct 4,2009,
236,8,<,10,Cincinnati,Big East,5-0,1004,10,W 37-13 A Miami (OH),Week 5Oct 4,2009,
237,9,<,9,Ohio State,Big Ten,4-1,994,8,W 33-14 A Indiana,Week 5Oct 4,2009,
238,10,<,11,TCU,MWC,4-0,940,9,W 39-14 H SMU,Week 5Oct 4,2009,
239,11,<,17,Miami (FL),ACC,3-1,931,11,W 21-20 H #8 Oklahoma,Week 5Oct 4,2009,
240,12,<,13,Iowa,Big Ten,5-0,823,14,W 24-21 H Arkansas State,Week 5Oct 4,2009,
241,13,<,16,Oregon,Pac-10,4-1,676,17,W 52-6 H Washington State,Week 5Oct 4,2009,
242,14,<,15,Penn State,Big Ten,4-1,564,12,W 35-17 A Illinois,Week 5Oct 4,2009,
243,15,<,14,Oklahoma State,Big 12,3-1,563,13,DNP,Week 5Oct 4,2009,
244,16,<,18,Kansas,Big 12,4-0,513,15,DNP,Week 5Oct 4,2009,
245,17,<,NR,Auburn,SEC,5-0,428,19,W 26-22 A Tennessee,Week 5Oct 4,2009,
246,18,<,20,BYU,MWC,4-1,403,20,W 35-17 H Utah State,Week 5Oct 4,2009,
247,19,<,8,Oklahoma,Big 12,2-2,370,21,L 21-20 A #17 Miami (FL),Week 5Oct 4,2009,
248,20,<,21,Mississippi,SEC,3-1,357,16,W 23-7 A Vanderbilt,Week 5Oct 4,2009,
249,21,<,23,Nebraska,Big 12,3-1,333,22,DNP,Week 5Oct 4,2009,
250,22,<,25,Georgia Tech,ACC,4-1,311,23,W 42-31 A Mississippi State,Week 5Oct 4,2009,
251,23,<,NR,South Florida,Big East,5-0,238,24,W 34-20 A Syracuse,Week 5Oct 4,2009,
252,24,<,NR,Missouri,Big 12,4-0,215,18,DNP,Week 5Oct 4,2009,
253,25,<,NR,South Carolina,SEC,4-1,200,NR,W 38-14 H South Carolina State,Week 5Oct 4,2009,
254,RV,<,NR,Wisconsin,Big Ten,,157,NR,,Week 5Oct 4,2009,
255,RV,<,12,Houston,CUSA,3-1,142,NR,L 58-41 A UTEP,Week 5Oct 4,2009,
256,RV,<,18,Georgia,SEC,3-2,115,NR,L 20-13 H #4 LSU,Week 5Oct 4,2009,
257,RV,<,NR,Stanford,Pac-10,,50,NR,,Week 5Oct 4,2009,
258,RV,<,NR,Utah,MWC,,31,NR,,Week 5Oct 4,2009,
259,RV,<,22,Michigan,Big Ten,4-1,25,NR,L 26-20 (1OT) A Michigan State,Week 5Oct 4,2009,
260,RV,<,NR,Boston College,ACC,,12,NR,,Week 5Oct 4,2009,
261,RV,<,NR,Notre Dame,Ind,,9,NR,,Week 5Oct 4,2009,
262,RV,<,NR,Pittsburgh,Big East,,3,NR,,Week 5Oct 4,2009,
263,RV,<,NR,Arizona,Pac-10,,2,NR,,Week 5Oct 4,2009,
264,RV,<,NR,West Virginia,Big East,,2,NR,,Week 5Oct 4,2009,
265,NR,<,24,California,Pac-10,3-2,0,NR,L 30-3 H #7 USC,Week 5Oct 4,2009,
266,1,<,1,Florida (50),SEC,5-0,1490,1,W 13-3 A #4 LSU,Week 6Oct 11,2009,
267,2,<,3,Alabama (10),SEC,6-0,1430,3,W 22-3 A #20 Mississippi,Week 6Oct 11,2009,
268,3,<,2,Texas,Big 12,5-0,1395,2,W 38-14 H Colorado,Week 6Oct 11,2009,
269,4,<,5,Virginia Tech,ACC,5-1,1283,4,W 48-14 H Boston College,Week 6Oct 11,2009,
270,5,<,6,Boise State,WAC,5-0,1199,6,DNP,Week 6Oct 11,2009,
271,6,<,7,USC,Pac-10,4-1,1161,5,DNP,Week 6Oct 11,2009,
272,7,<,9,Ohio State,Big Ten,5-1,1048,7,W 31-13 H Wisconsin,Week 6Oct 11,2009,
273,8,<,8,Cincinnati,Big East,5-0,1038,9,DNP,Week 6Oct 11,2009,
274,9,<,11,Miami (FL),ACC,4-1,970,11,W 48-16 H Florida A&M,Week 6Oct 11,2009,
275,10,<,4,LSU,SEC,5-1,947,10,L 13-3 H #1 Florida,Week 6Oct 11,2009,
276,11,<,12,Iowa,Big Ten,6-0,919,12,W 30-28 H Michigan,Week 6Oct 11,2009,
277,12,<,10,TCU,MWC,5-0,917,8,W 20-17 A Air Force,Week 6Oct 11,2009,
278,13,<,13,Oregon,Pac-10,5-1,776,16,W 24-10 A UCLA,Week 6Oct 11,2009,
279,14,<,14,Penn State,Big Ten,5-1,597,13,W 52-3 H Eastern Illinois,Week 6Oct 11,2009,
280,15,<,21,Nebraska,Big 12,4-1,576,17,W 27-12 A #24 Missouri,Week 6Oct 11,2009,
