,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year,BCS
91,3,<,5,Michigan (4),Big Ten,3-0,1457,,Week 3Sep 14,2003,
92,4,<,4,USC (2),Pac-10,3-0,1445,,Week 3Sep 14,2003,
93,5,<,3,Ohio State (6),Big Ten,3-0,1402,,Week 3Sep 14,2003,
94,6,<,7,Kansas State,Big 12,4-0,1248,,Week 3Sep 14,2003,
95,7,<,8,Georgia,SEC,3-0,1230,,Week 3Sep 14,2003,
96,8,<,9,Virginia Tech,Big East,2-0,1151,,Week 3Sep 14,2003,
97,9,<,11,Pittsburgh,Big East,2-0,1061,,Week 3Sep 14,2003,
98,10,<,10,Florida State,ACC,3-0,1054,,Week 3Sep 14,2003,
99,11,<,12,LSU,SEC,3-0,999,,Week 3Sep 14,2003,
100,12,<,13,Tennessee,SEC,2-0,956,,Week 3Sep 14,2003,
101,13,<,6,Texas,Big 12,1-1,677,,Week 3Sep 14,2003,
102,14,<,NR,Arkansas,SEC,2-0,651,,Week 3Sep 14,2003,
103,15,<,18,Nebraska,Big 12,3-0,647,,Week 3Sep 14,2003,
104,16,<,16,Arizona State,Pac-10,2-0,643,,Week 3Sep 14,2003,
105,17,<,19,Florida,SEC,2-1,602,,Week 3Sep 14,2003,
106,18,<,23,Iowa,Big Ten,3-0,521,,Week 3Sep 14,2003,
107,19,<,21,Washington,Pac-10,1-1,352,,Week 3Sep 14,2003,
108,20,<,22,TCU,CUSA,2-0,309,DNP,Week 3Sep 14,2003,
109,21,<,NR,Alabama,SEC,2-1,223,,Week 3Sep 14,2003,
110,22,<,NR,Oregon,Pac-10,3-0,150,,Week 3Sep 14,2003,
111,23,<,NR,Missouri,Big 12,3-0,149,,Week 3Sep 14,2003,
112,24,<,NR,Washington State,Pac-10,2-1,141,W 47-26 A Colorado,Week 3Sep 14,2003,
113,25,<,NR,Purdue,Big Ten,1-1,122,,Week 3Sep 14,2003,
114,NR,<,14,Wisconsin,Big Ten,,0,,Week 3Sep 14,2003,
115,NR,<,15,Notre Dame,Ind,,0,,Week 3Sep 14,2003,
116,NR,<,17,Colorado,Big 12,,0,,Week 3Sep 14,2003,
117,NR,<,20,Wake Forest,ACC,,0,,Week 3Sep 14,2003,
118,NR,<,24,NC State,ACC,,0,,Week 3Sep 14,2003,
119,NR,<,25,South Carolina,SEC,,0,,Week 3Sep 14,2003,
120,1,<,1,Oklahoma (55),Big 12,4-0,1612,W 59-24 H UCLA,Week 4Sep 21,2003,
121,2,<,2,Miami (FL) (3),Big East,4-0,1537,,Week 4Sep 21,2003,
122,3,<,4,USC (2),Pac-10,3-0,1495,,Week 4Sep 21,2003,
123,4,<,5,Ohio State (5),Big Ten,4-0,1415,,Week 4Sep 21,2003,
124,5,<,8,Virginia Tech,Big East,3-0,1304,,Week 4Sep 21,2003,
125,6,<,10,Florida State,ACC,4-0,1265,,Week 4Sep 21,2003,
126,7,<,11,LSU,SEC,4-0,1257,,Week 4Sep 21,2003,
127,8,<,12,Tennessee,SEC,3-0,1227,,Week 4Sep 21,2003,
128,9,<,14,Arkansas,SEC,3-0,978,,Week 4Sep 21,2003,
129,10,<,22,Oregon,Pac-10,4-0,966,,Week 4Sep 21,2003,
130,11,<,3,Michigan,Big Ten,3-1,918,,Week 4Sep 21,2003,
131,12,<,7,Georgia,SEC,3-1,888,,Week 4Sep 21,2003,
132,13,<,18,Iowa,Big Ten,4-0,877,,Week 4Sep 21,2003,
133,14,<,13,Texas,Big 12,2-1,788,,Week 4Sep 21,2003,
134,15,<,15,Nebraska,Big 12,3-0,737,,Week 4Sep 21,2003,
135,16,<,6,Kansas State,Big 12,4-1,540,,Week 4Sep 21,2003,
136,17,<,9,Pittsburgh,Big East,2-1,457,,Week 4Sep 21,2003,
137,18,<,19,Washington,Pac-10,2-1,441,,Week 4Sep 21,2003,
138,19,<,20,TCU,CUSA,3-0,409,W 30-14 H Vanderbilt,Week 4Sep 21,2003,
139,20,<,NR,Northern Illinois,MAC,3-0,392,W 19-16 A Alabama,Week 4Sep 21,2003,
140,21,<,24,Washington State,Pac-10,3-1,265,W 23-13 H New Mexico,Week 4Sep 21,2003,
141,22,<,25,Purdue,Big Ten,2-1,234,,Week 4Sep 21,2003,
142,23,<,23,Missouri,Big 12,4-0,175,,Week 4Sep 21,2003,
143,24,<,NR,Minnesota,Big Ten,4-0,168,,Week 4Sep 21,2003,
144,25,<,17,Florida,SEC,2-2,142,,Week 4Sep 21,2003,
145,NR,<,16,Arizona State,Pac-10,,0,,Week 4Sep 21,2003,
146,NR,<,21,Alabama,SEC,,0,,Week 4Sep 21,2003,
147,1,<,1,Oklahoma (57),Big 12,4-0,1615,DNP,Week 5Sep 28,2003,
148,2,<,2,Miami (FL) (3),Big East,4-0,1554,,Week 5Sep 28,2003,
149,3,<,4,Ohio State (5),Big Ten,5-0,1457,,Week 5Sep 28,2003,
150,4,<,5,Virginia Tech,Big East,4-0,1382,,Week 5Sep 28,2003,
151,5,<,6,Florida State,ACC,5-0,1347,,Week 5Sep 28,2003,
152,6,<,7,LSU,SEC,5-0,1332,,Week 5Sep 28,2003,
153,7,<,8,Tennessee,SEC,4-0,1267,,Week 5Sep 28,2003,
154,8,<,9,Arkansas,SEC,4-0,1133,,Week 5Sep 28,2003,
155,9,<,11,Michigan,Big Ten,4-1,982,,Week 5Sep 28,2003,
156,10,<,3,USC,Pac-10,3-1,975,,Week 5Sep 28,2003,
157,11,<,12,Georgia,SEC,3-1,973,,Week 5Sep 28,2003,
158,12,<,15,Nebraska,Big 12,4-0,897,,Week 5Sep 28,2003,
159,13,<,14,Texas,Big 12,3-1,880,,Week 5Sep 28,2003,
160,14,<,21,Washington State,Pac-10,4-1,738,W 55-16 A Oregon,Week 5Sep 28,2003,
161,15,<,17,Pittsburgh,Big East,3-1,559,,Week 5Sep 28,2003,
162,16,<,16,Kansas State,Big 12,4-1,544,,Week 5Sep 28,2003,
163,17,<,20,Northern Illinois,MAC,4-0,524,W 24-16 H Iowa State,Week 5Sep 28,2003,
164,18,<,18,Washington,Pac-10,3-1,501,,Week 5Sep 28,2003,
165,19,<,10,Oregon,Pac-10,4-1,389,,Week 5Sep 28,2003,
166,20,<,19,TCU,CUSA,4-0,383,W 13-10 A Arizona,Week 5Sep 28,2003,
167,21,<,24,Minnesota,Big Ten,5-0,378,,Week 5Sep 28,2003,
168,22,<,22,Purdue,Big Ten,3-1,337,,Week 5Sep 28,2003,
169,23,<,13,Iowa,Big Ten,4-1,310,,Week 5Sep 28,2003,
170,24,<,25,Florida,SEC,3-2,129,,Week 5Sep 28,2003,
171,25,<,NR,Michigan State,Big Ten,4-1,128,,Week 5Sep 28,2003,
172,NR,<,23,Missouri,Big 12,,0,,Week 5Sep 28,2003,
173,1,<,1,Oklahoma (59),Big 12,5-0,1617,W 53-7 A Iowa State,Week 6Oct 5,2003,
174,2,<,2,Miami (FL) (1),Big East,5-0,1523,,Week 6Oct 5,2003,
175,3,<,3,Ohio State (5),Big Ten,5-0,1457,,Week 6Oct 5,2003,
176,4,<,4,Virginia Tech,Big East,5-0,1407,,Week 6Oct 5,2003,
177,5,<,5,Florida State,ACC,5-0,1381,,Week 6Oct 5,2003,
178,6,<,6,LSU,SEC,5-0,1356,,Week 6Oct 5,2003,
179,7,<,8,Arkansas,SEC,4-0,1192,,Week 6Oct 5,2003,
180,8,<,11,Georgia,SEC,4-1,1090,,Week 6Oct 5,2003,
181,9,<,10,USC,Pac-10,4-1,1085,,Week 6Oct 5,2003,
182,10,<,12,Nebraska,Big 12,5-0,1032,,Week 6Oct 5,2003,
183,11,<,13,Texas,Big 12,4-1,997,,Week 6Oct 5,2003,
184,12,<,14,Washington State,Pac-10,5-1,874,W 30-7 H Arizona,Week 6Oct 5,2003,
185,13,<,7,Tennessee,SEC,4-1,765,,Week 6Oct 5,2003,
186,14,<,23,Iowa,Big Ten,5-1,705,,Week 6Oct 5,2003,
187,15,<,15,Pittsburgh,Big East,3-1,685,,Week 6Oct 5,2003,
188,16,<,17,Northern Illinois,MAC,5-0,592,W 30-23 H Ohio,Week 6Oct 5,2003,
189,17,<,21,Minnesota,Big Ten,6-0,567,,Week 6Oct 5,2003,
190,18,<,20,TCU,CUSA,5-0,500,W 27-0 H Army,Week 6Oct 5,2003,
191,18,<,22,Purdue,Big Ten,4-1,500,,Week 6Oct 5,2003,
192,20,<,9,Michigan,Big Ten,4-2,415,,Week 6Oct 5,2003,
193,21,<,25,Michigan State,Big Ten,5-1,342,,Week 6Oct 5,2003,
194,22,<,16,Kansas State,Big 12,4-2,218,,Week 6Oct 5,2003,
195,23,<,NR,Wisconsin,Big Ten,5-1,131,,Week 6Oct 5,2003,
196,24,<,NR,Oregon State,Pac-10,5-1,100,,Week 6Oct 5,2003,
197,25,<,NR,Virginia,ACC,4-1,98,,Week 6Oct 5,2003,
198,NR,<,18,Washington,Pac-10,,0,,Week 6Oct 5,2003,
199,NR,<,19,Oregon,Pac-10,,0,,Week 6Oct 5,2003,
200,NR,<,24,Florida,SEC,,0,,Week 6Oct 5,2003,
201,1,<,1,Oklahoma (61),Big 12,6-0,1597,W 65-13 H #11 Texas,Week 7Oct 12,2003,
202,2,<,2,Miami (FL) (3),Big East,6-0,1534,,Week 7Oct 12,2003,
203,3,<,4,Virginia Tech,Big East,6-0,1475,,Week 7Oct 12,2003,
204,4,<,8,Georgia,SEC,5-1,1385,,Week 7Oct 12,2003,
205,5,<,9,USC,Pac-10,5-1,1339,,Week 7Oct 12,2003,
206,6,<,12,Washington State,Pac-10,5-1,1161,DNP,Week 7Oct 12,2003,
207,7,<,5,Florida State,ACC,5-1,1155,,Week 7Oct 12,2003,
208,8,<,3,Ohio State,Big Ten,5-1,1091,,Week 7Oct 12,2003,
209,9,<,14,Iowa,Big Ten,5-1,1035,,Week 7Oct 12,2003,
210,10,<,6,LSU,SEC,5-1,986,,Week 7Oct 12,2003,
211,11,<,7,Arkansas,SEC,4-1,839,,Week 7Oct 12,2003,
212,12,<,16,Northern Illinois,MAC,6-0,802,W 40-24 A Central Michigan,Week 7Oct 12,2003,
213,13,<,18,Purdue,Big Ten,5-1,751,,Week 7Oct 12,2003,
214,14,<,23,Wisconsin,Big Ten,6-1,743,,Week 7Oct 12,2003,
215,15,<,21,Michigan State,Big Ten,6-1,711,,Week 7Oct 12,2003,
216,16,<,18,TCU,CUSA,6-0,647,W 13-10 A South Florida,Week 7Oct 12,2003,
217,17,<,20,Michigan,Big Ten,5-2,611,,Week 7Oct 12,2003,
218,18,<,10,Nebraska,Big 12,5-1,500,,Week 7Oct 12,2003,
219,19,<,NR,Auburn,SEC,4-2,363,,Week 7Oct 12,2003,
220,20,<,11,Texas,Big 12,4-2,311,,Week 7Oct 12,2003,
221,21,<,13,Tennessee,SEC,4-2,236,,Week 7Oct 12,2003,
222,22,<,24,Oregon State,Pac-10,5-1,235,,Week 7Oct 12,2003,
223,23,<,NR,Oklahoma State,Big 12,5-1,234,W 38-34 H Kansas State,Week 7Oct 12,2003,
224,24,<,NR,Missouri,Big 12,5-1,230,,Week 7Oct 12,2003,
225,25,<,17,Minnesota,Big Ten,6-1,224,,Week 7Oct 12,2003,
226,NR,<,15,Pittsburgh,Big East,,0,,Week 7Oct 12,2003,
227,NR,<,22,Kansas State,Big 12,,0,,Week 7Oct 12,2003,
228,NR,<,25,Virginia,ACC,,0,,Week 7Oct 12,2003,
229,1,<,1,Oklahoma (62),Big 12,7-0,1622,W 34-13 H #24 Missouri,Week 8Oct 19,2003,1
230,2,<,2,Miami (FL) (3),Big East,7-0,1558,W 52-14 H Temple,Week 8Oct 19,2003,2
231,3,<,3,Virginia Tech,Big East,6-0,1498,DNP,Week 8Oct 19,2003,3
232,4,<,4,Georgia,SEC,6-1,1394,W 27-8 A Vanderbilt,Week 8Oct 19,2003,4
233,5,<,5,USC,Pac-10,6-1,1378,W 45-14 A Notre Dame,Week 8Oct 19,2003,7
234,6,<,6,Washington State,Pac-10,6-1,1213,W 24-14 A Stanford,Week 8Oct 19,2003,9
235,6,<,7,Florida State,ACC,6-1,1213,W 19-14 A Virginia,Week 8Oct 19,2003,5
236,8,<,8,Ohio State,Big Ten,6-1,1161,W 19-10 H #9 Iowa,Week 8Oct 19,2003,6
237,9,<,10,LSU,SEC,6-1,1087,W 63-28 A Kentucky,Week 8Oct 19,2003,12
238,10,<,13,Purdue,Big Ten,6-1,957,W 26-23 A #14 Wisconsin,Week 8Oct 19,2003,8
239,11,<,15,Michigan State,Big Ten,7-1,918,W 44-38 A #25 Minnesota,Week 8Oct 19,2003,13
240,12,<,12,Northern Illinois,MAC,7-0,885,W 37-10 H Western Michigan,Week 8Oct 19,2003,10
241,13,<,17,Michigan,Big Ten,6-2,744,W 56-14 H Illinois,Week 8Oct 19,2003,NR
242,14,<,18,Nebraska,Big 12,6-1,732,W 48-12 H Texas A&M,Week 8Oct 19,2003,11
243,15,<,16,TCU,CUSA,7-0,685,W 27-24 H UAB,Week 8Oct 19,2003,14
244,16,<,9,Iowa,Big Ten,5-2,623,L 19-10 A #8 Ohio State,Week 8Oct 19,2003,15
245,17,<,19,Auburn,SEC,5-2,593,W 45-13 H Mississippi State,Week 8Oct 19,2003,NR
246,18,<,23,Oklahoma State,Big 12,6-1,467,W 51-49 H Texas Tech,Week 8Oct 19,2003,NR
247,19,<,20,Texas,Big 12,5-2,435,W 40-19 A Iowa State,Week 8Oct 19,2003,NR
248,20,<,14,Wisconsin,Big Ten,6-2,402,L 26-23 H #13 Purdue,Week 8Oct 19,2003,NR
249,21,<,11,Arkansas,SEC,4-2,331,L 33-28 H Florida,Week 8Oct 19,2003,NR
250,22,<,21,Tennessee,SEC,4-2,295,DNP,Week 8Oct 19,2003,NR
251,23,<,NR,Bowling Green,MAC,6-1,189,W 33-20 A Eastern Michigan,Week 8Oct 19,2003,NR
252,24,<,NR,Utah,MWC,6-1,171,W 28-10 A UNLV,Week 8Oct 19,2003,NR
253,25,<,NR,Florida,SEC,5-3,156,W 33-28 A #11 Arkansas,Week 8Oct 19,2003,NR
254,NR,<,22,Oregon State,Pac-10,5-2,0,L 38-17 H Washington,Week 8Oct 19,2003,NR
255,NR,<,24,Missouri,Big 12,5-2,0,L 34-13 A #1 Oklahoma,Week 8Oct 19,2003,NR
256,NR,<,25,Minnesota,Big Ten,6-2,0,L 44-38 H #15 Michigan State,Week 8Oct 19,2003,NR
257,1,<,1,Oklahoma (62),Big 12,8-0,1622,W 34-20 A Colorado,Week 9Oct 26,2003,1
258,2,<,2,Miami (FL) (3),Big East,7-0,1563,,Week 9Oct 26,2003,2
259,3,<,5,USC,Pac-10,7-1,1470,,Week 9Oct 26,2003,4
260,4,<,4,Georgia,SEC,7-1,1378,,Week 9Oct 26,2003,5
261,5,<,6,Florida State,ACC,7-1,1320,,Week 9Oct 26,2003,3
262,6,<,6,Washington State,Pac-10,7-1,1260,W 36-30 H Oregon State,Week 9Oct 26,2003,8
263,7,<,9,LSU,SEC,7-1,1241,,Week 9Oct 26,2003,7
264,8,<,8,Ohio State,Big Ten,7-1,1226,,Week 9Oct 26,2003,6
265,9,<,11,Michigan State,Big Ten,7-1,1041,,Week 9Oct 26,2003,10
266,10,<,3,Virginia Tech,Big East,6-1,1026,,Week 9Oct 26,2003,16
267,11,<,13,Michigan,Big Ten,7-2,939,,Week 9Oct 26,2003,13
268,12,<,14,Nebraska,Big 12,7-1,924,,Week 9Oct 26,2003,9
269,13,<,16,Iowa,Big Ten,6-2,762,,Week 9Oct 26,2003,11
270,14,<,18,Oklahoma State,Big 12,7-1,750,W 38-10 A Texas A&M,Week 9Oct 26,2003,14
271,15,<,15,TCU,CUSA,8-0,727,W 62-55 A Houston,Week 9Oct 26,2003,12
272,16,<,19,Texas,Big 12,6-2,605,,Week 9Oct 26,2003,22
273,17,<,23,Bowling Green,MAC,7-1,577,W 34-18 H Northern Illinois,Week 9Oct 26,2003,17
274,18,<,10,Purdue,Big Ten,6-2,487,,Week 9Oct 26,2003,18
275,19,<,22,Tennessee,SEC,5-2,449,,Week 9Oct 26,2003,15
276,20,<,NR,Mississippi,SEC,6-2,278,,Week 9Oct 26,2003,NR
277,21,<,12,Northern Illinois,MAC,7-1,265,L 34-18 A Bowling Green,Week 9Oct 26,2003,23
278,21,<,NR,Missouri,Big 12,6-2,265,,Week 9Oct 26,2003,20
279,23,<,25,Florida,SEC,5-3,246,,Week 9Oct 26,2003,21
280,24,<,NR,Minnesota,Big Ten,7-2,149,,Week 9Oct 26,2003,24
281,25,<,NR,Pittsburgh,Big East,5-2,131,,Week 9Oct 26,2003,NR
282,NR,<,17,Auburn,SEC,,0,,Week 9Oct 26,2003,NR
283,NR,<,20,Wisconsin,Big Ten,,0,,Week 9Oct 26,2003,NR
284,NR,<,21,Arkansas,SEC,,0,,Week 9Oct 26,2003,NR
285,NR,<,24,Utah,MWC,,0,,Week 9Oct 26,2003,NR
286,NR,<,NR,Miami (OH),MAC,,0,,Week 9Oct 26,2003,19
287,NR,<,NR,UCLA,Pac-10,,0,,Week 9Oct 26,2003,25
288,1,<,1,Oklahoma (65),Big 12,9-0,1625,W 52-9 H #14 Oklahoma State,Week 10Nov 2,2003,1
289,2,<,3,USC,Pac-10,8-1,1557,,Week 10Nov 2,2003,2
290,3,<,5,Florida State,ACC,8-1,1429,,Week 10Nov 2,2003,3
291,4,<,7,LSU,SEC,8-1,1393,,Week 10Nov 2,2003,7
292,5,<,10,Virginia Tech,Big East,7-1,1354,,Week 10Nov 2,2003,6
293,6,<,2,Miami (FL),Big East,7-1,1294,,Week 10Nov 2,2003,4
294,7,<,8,Ohio State,Big Ten,8-1,1286,,Week 10Nov 2,2003,5
295,8,<,11,Michigan,Big Ten,8-2,1178,,Week 10Nov 2,2003,8
296,9,<,4,Georgia,SEC,7-2,1000,,Week 10Nov 2,2003,10
297,10,<,13,Iowa,Big Ten,7-2,953,,Week 10Nov 2,2003,11
298,11,<,16,Texas,Big 12,7-2,915,,Week 10Nov 2,2003,12
299,12,<,6,Washington State,Pac-10,7-2,868,L 43-16 A USC,Week 10Nov 2,2003,15
300,13,<,15,TCU,CUSA,8-0,766,DNP,Week 10Nov 2,2003,9
301,14,<,9,Michigan State,Big Ten,7-2,742,,Week 10Nov 2,2003,20
302,15,<,17,Bowling Green,MAC,7-1,632,DNP,Week 10Nov 2,2003,16
303,16,<,18,Purdue,Big Ten,7-2,623,,Week 10Nov 2,2003,14
304,17,<,23,Florida,SEC,6-3,615,,Week 10Nov 2,2003,17
305,18,<,19,Tennessee,SEC,6-2,484,,Week 10Nov 2,2003,13
306,19,<,12,Nebraska,Big 12,7-2,442,,Week 10Nov 2,2003,18
307,20,<,20,Mississippi,SEC,7-2,414,,Week 10Nov 2,2003,23
308,21,<,14,Oklahoma State,Big 12,7-2,298,L 52-9 A Oklahoma,Week 10Nov 2,2003,19
309,22,<,21,Missouri,Big 12,6-2,288,,Week 10Nov 2,2003,24
310,23,<,21,Northern Illinois,MAC,8-1,287,W 48-23 H Ball State,Week 10Nov 2,2003,22
311,24,<,24,Minnesota,Big Ten,8-2,199,,Week 10Nov 2,2003,NR
312,25,<,25,Pittsburgh,Big East,6-2,186,,Week 10Nov 2,2003,25
313,NR,<,NR,Miami (OH),MAC,,0,,Week 10Nov 2,2003,21
314,1,<,1,Oklahoma (65),Big 12,10-0,1625,W 77-0 H Texas A&M,Week 11Nov 9,2003,1
315,2,<,2,USC,Pac-10,8-1,1559,,Week 11Nov 9,2003,2
316,3,<,4,LSU,SEC,8-1,1469,,Week 11Nov 9,2003,4
317,4,<,7,Ohio State,Big Ten,9-1,1437,,Week 11Nov 9,2003,3
318,5,<,8,Michigan,Big Ten,8-2,1342,,Week 11Nov 9,2003,8
319,6,<,11,Texas,Big 12,8-2,1192,,Week 11Nov 9,2003,5
320,7,<,9,Georgia,SEC,6-2,1166,,Week 11Nov 9,2003,9
321,8,<,12,Washington State,Pac-10,8-2,1059,W 31-13 H UCLA,Week 11Nov 9,2003,10
322,9,<,18,Tennessee,SEC,7-2,967,,Week 11Nov 9,2003,7
323,10,<,13,TCU,CUSA,9-0,932,W 31-28 H Louisville,Week 11Nov 9,2003,6
324,11,<,16,Purdue,Big Ten,8-2,913,,Week 11Nov 9,2003,11
