,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,BCS
20,21,<,23,Oregon,Pac-10,0-0,366,20,DNP,PreseasonAug 16[2],2008,
21,22,<,NR,Penn State,Big Ten,0-0,293,22,DNP,PreseasonAug 16[2],2008,
22,23,<,NR,Wake Forest,ACC,0-0,227,23,DNP,PreseasonAug 16[2],2008,
23,24,<,NR,Alabama,SEC,0-0,89,NR,DNP,PreseasonAug 16[2],2008,
24,25,<,NR,Pittsburgh,Big East,0-0,85,NR,DNP,PreseasonAug 16[2],2008,
25,RV,<,NR,South Carolina,SEC,,84,,,PreseasonAug 16[2],2008,
26,RV,<,NR,Fresno State,WAC,,83,,,PreseasonAug 16[2],2008,
27,RV,<,NR,California,Pac-10,,59,,,PreseasonAug 16[2],2008,
28,RV,<,NR,Utah,MWC,,53,,,PreseasonAug 16[2],2008,
29,RV,<,17,Cincinnati,Big East,0-0,44,,DNP,PreseasonAug 16[2],2008,
30,RV,<,NR,Florida State,ACC,,41,,,PreseasonAug 16[2],2008,
31,RV,<,18,Michigan,Big Ten,0-0,36,,DNP,PreseasonAug 16[2],2008,
32,RV,<,10,Boston College,ACC,0-0,32,,DNP,PreseasonAug 16[2],2008,
33,RV,<,NR,Rutgers,Big East,,32,,,PreseasonAug 16[2],2008,
34,RV,<,NR,Michigan State,Big Ten,,21,,,PreseasonAug 16[2],2008,
35,RV,<,NR,Boise State,WAC,,17,,,PreseasonAug 16[2],2008,
36,RV,<,NR,Arkansas,SEC,,14,,,PreseasonAug 16[2],2008,
37,RV,<,NR,North Carolina,ACC,,14,,,PreseasonAug 16[2],2008,
38,RV,<,NR,Connecticut,Big East,,10,,,PreseasonAug 16[2],2008,
39,RV,<,NR,Tulsa,CUSA,,7,,,PreseasonAug 16[2],2008,
40,RV,<,NR,UCLA,Pac-10,,6,,,PreseasonAug 16[2],2008,
41,RV,<,25,Oregon State,Pac-10,0-0,5,,DNP,PreseasonAug 16[2],2008,
42,RV,<,NR,Mississippi State,SEC,,4,,,PreseasonAug 16[2],2008,
43,RV,<,NR,Virginia,ACC,,4,,,PreseasonAug 16[2],2008,
44,RV,<,NR,Arizona,Pac-10,,3,,,PreseasonAug 16[2],2008,
45,RV,<,NR,Nebraska,Big 12,,2,,,PreseasonAug 16[2],2008,
46,RV,<,NR,Notre Dame,Ind,,2,,,PreseasonAug 16[2],2008,
47,RV,<,19,Hawaii,WAC,0-0,1,,DNP,PreseasonAug 16[2],2008,
48,RV,<,NR,Washington,Pac-10,,1,,,PreseasonAug 16[2],2008,
49,1,<,3,USC (21),Pac-10,1-0,1539,1,W 52-7 A Virginia,Week 1Sept 2[3],2008,
50,2,<,1,Georgia (20),SEC,1-0,1506,2,W 45-21 H Georgia Southern,Week 1Sept 2[3],2008,
51,3,<,2,Ohio State (15),Big Ten,1-0,1497,3,W 43-0 H Youngstown State,Week 1Sept 2[3],2008,
52,4,<,4,Oklahoma (2),Big 12,1-0,1432,4,W 57-2 H Chattanooga,Week 1Sept 2[3],2008,
53,5,<,5,Florida (5),SEC,1-0,1415,5,W 56-10 H Hawaii,Week 1Sept 2[3],2008,
54,6,<,6,Missouri (1),Big 12,1-0,1301,7,W 52-42 N #20 Illinois,Week 1Sept 2[3],2008,
55,7,<,7,LSU (1),SEC,1-0,1207,6,W 41-13 H Appalachian State,Week 1Sept 2[3],2008,
56,8,<,8,West Virginia,Big East,1-0,1108,8,W 48-21 H Villanova,Week 1Sept 2[3],2008,
57,9,<,10,Auburn,SEC,1-0,1033,10,W 34-0 H Louisiana-Monroe,Week 1Sept 2[3],2008,
58,10,<,11,Texas,Big 12,1-0,1028,9,W 52-10 H Florida Atlantic,Week 1Sept 2[3],2008,
59,11,<,13,Wisconsin,Big Ten,1-0,849,11,W 38-17 H Akron,Week 1Sept 2[3],2008,
60,12,<,12,Texas Tech,Big 12,1-0,842,13,W 49-24 H Eastern Washington,Week 1Sept 2[3],2008,
61,13,<,24,Alabama,SEC,1-0,834,17,W 34-10 N #9 Clemson,Week 1Sept 2[3],2008,
62,14,<,14,Kansas,Big 12,1-0,748,12,W 40-10 H FIU,Week 1Sept 2[3],2008,
63,15,<,15,Arizona State,Pac-10,1-0,672,14,W 30-13 H Northern Arizona,Week 1Sept 2[3],2008,
64,15,<,16,BYU,MWC,1-0,672,15,W 41-17 H Northern Iowa,Week 1Sept 2[3],2008,
65,17,<,19,South Florida,Big East,1-0,588,18,W 56-7 H Tennessee-Martin,Week 1Sept 2[3],2008,
66,18,<,21,Oregon,Pac-10,1-0,508,16,W 44-10 H Washington,Week 1Sept 2[3],2008,
67,19,<,22,Penn State,Big Ten,1-0,467,19,W 66-10 H Coastal Carolina,Week 1Sept 2[3],2008,
68,20,<,23,Wake Forest,ACC,1-0,414,20,W 41-13 A Baylor,Week 1Sept 2[3],2008,
69,21,<,NR,Fresno State,WAC,1-0,242,21,W 24-7 A Rutgers,Week 1Sept 2[3],2008,
70,22,<,NR,Utah,MWC,1-0,214,23,W 25-23 A Michigan,Week 1Sept 2[3],2008,
71,23,<,NR,UCLA,Pac-10,1-0,151,NR,W 27-24 (1OT) H #18 Tennessee,Week 1Sept 2[3],2008,
72,24,<,20,Illinois,Big Ten,0-1,147,25,L 52-42 N #6 Missouri,Week 1Sept 2[3],2008,
73,24,<,NR,South Carolina,SEC,1-0,147,24,W 34-0 H NC State,Week 1Sept 2[3],2008,
74,RV,<,9,Clemson,ACC,0-1,143,,L 34-10 N #24 Alabama,Week 1Sept 2[3],2008,
75,RV,<,NR,East Carolina,CUSA,,108,,,Week 1Sept 2[3],2008,
76,RV,<,NR,California,Pac-10,,91,,,Week 1Sept 2[3],2008,
77,RV,<,NR,Boston College,ACC,,36,,,Week 1Sept 2[3],2008,
78,RV,<,NR,Florida State,ACC,,36,,,Week 1Sept 2[3],2008,
79,RV,<,NR,Cincinnati,Big East,,35,,,Week 1Sept 2[3],2008,
80,RV,<,18,Tennessee,SEC,,30,,L 27-24 (1OT) A UCLA,Week 1Sept 2[3],2008,
81,RV,<,NR,Boise State,WAC,,19,,,Week 1Sept 2[3],2008,
82,RV,<,NR,Bowling Green,MAC,,17,,,Week 1Sept 2[3],2008,
83,RV,<,17,Virginia Tech,ACC,,14,,L 27-22 N East Carolina,Week 1Sept 2[3],2008,
84,RV,<,NR,Connecticut,Big East,,9,,,Week 1Sept 2[3],2008,
85,RV,<,NR,Rutgers,Big East,,6,,,Week 1Sept 2[3],2008,
86,RV,<,NR,Kentucky,SEC,,5,,,Week 1Sept 2[3],2008,
87,RV,<,NR,Nebraska,Big 12,,4,,,Week 1Sept 2[3],2008,
88,RV,<,NR,Oklahoma State,Big 12,,3,,,Week 1Sept 2[3],2008,
89,RV,<,NR,Arizona,Pac-10,,2,,,Week 1Sept 2[3],2008,
90,RV,<,NR,TCU,MWC,,2,,,Week 1Sept 2[3],2008,
91,RV,<,NR,Miami (FL),ACC,,1,,,Week 1Sept 2[3],2008,
92,RV,<,NR,North Carolina,ACC,,1,,,Week 1Sept 2[3],2008,
93,RV,<,NR,Notre Dame,Ind,,1,,,Week 1Sept 2[3],2008,
94,RV,<,NR,Tulsa,CUSA,,1,,,Week 1Sept 2[3],2008,
95,RV,<,25,Pittsburgh,Big East,,0,,L 27-17 H Bowling Green,Week 1Sept 2[3],2008,
96,1,<,1,USC (33),Pac-10,1-0,1577,1,DNP,Week 2Sept 7[4],2008,
97,2,<,2,Georgia (23),SEC,2-0,1525,2,W 56-17 H Central Michigan,Week 2Sept 7[4],2008,
98,3,<,4,Oklahoma (2),Big 12,2-0,1458,3,W 52-26 H Cincinnati,Week 2Sept 7[4],2008,
99,4,<,5,Florida (4),SEC,2-0,1438,4,W 26-3 H Miami (FL),Week 2Sept 7[4],2008,
100,5,<,3,Ohio State (1),Big Ten,2-0,1347,5,W 26-14 H Ohio,Week 2Sept 7[4],2008,
101,6,<,6,Missouri (1),Big 12,2-0,1336,6,W 52-3 H Southeast Missouri State,Week 2Sept 7[4],2008,
102,7,<,7,LSU (1),SEC,1-0,1231,7,DNP,Week 2Sept 7[4],2008,
103,8,<,10,Texas,Big 12,2-0,1100,8,W 42-13 A UTEP,Week 2Sept 7[4],2008,
104,9,<,9,Auburn,SEC,2-0,1067,9,W 27-13 H Southern Miss,Week 2Sept 7[4],2008,
105,10,<,11,Wisconsin,Big Ten,2-0,910,10,W 51-14 H Marshall,Week 2Sept 7[4],2008,
106,11,<,13,Alabama,SEC,2-0,865,16,W 20-6 H Tulane,Week 2Sept 7[4],2008,
107,12,<,12,Texas Tech,Big 12,2-0,845,12,W 35-19 A Nevada,Week 2Sept 7[4],2008,
108,13,<,14,Kansas,Big 12,2-0,825,11,W 29-0 H Louisiana Tech,Week 2Sept 7[4],2008,
109,14,<,NR,East Carolina,CUSA,2-0,762,20,W 24-3 H #8 West Virginia,Week 2Sept 7[4],2008,
110,15,<,15,Arizona State,Pac-10,2-0,744,13,W 41-17 H Stanford,Week 2Sept 7[4],2008,
111,16,<,18,Oregon,Pac-10,2-0,616,14,W 66-24 H Utah State,Week 2Sept 7[4],2008,
112,17,<,19,Penn State,Big Ten,2-0,607,17,W 45-14 H Oregon State,Week 2Sept 7[4],2008,
113,18,<,15,BYU,MWC,2-0,537,15,W 28-27 A Washington,Week 2Sept 7[4],2008,
114,19,<,17,South Florida,Big East,2-0,493,18,W 31-24 (1OT) A UCF,Week 2Sept 7[4],2008,
115,20,<,20,Wake Forest,ACC,2-0,404,19,W 30-28 H Mississippi,Week 2Sept 7[4],2008,
116,21,<,21,Fresno State,WAC,1-0,290,21,DNP,Week 2Sept 7[4],2008,
117,22,<,22,Utah,MWC,2-0,258,22,W 42-21 H UNLV,Week 2Sept 7[4],2008,
118,23,<,NR,California,Pac-10,2-0,195,25,W 66-3 A Washington State,Week 2Sept 7[4],2008,
119,24,<,24,Illinois,Big Ten,1-1,164,NR,W 47-21 H Eastern Illinois,Week 2Sept 7[4],2008,
120,25,<,8,West Virginia,Big East,1-1,163,24,L 24-3 A East Carolina,Week 2Sept 7[4],2008,
121,RV,<,23,UCLA,Pac-10,,150,,DNP,Week 2Sept 7[4],2008,
122,RV,<,NR,Clemson,ACC,,73,,,Week 2Sept 7[4],2008,
123,RV,<,NR,Florida State,ACC,,50,,,Week 2Sept 7[4],2008,
124,RV,<,NR,Boise State,WAC,,22,,,Week 2Sept 7[4],2008,
125,RV,<,NR,Tennessee,SEC,,15,,,Week 2Sept 7[4],2008,
126,RV,<,NR,Georgia Tech,ACC,,14,,,Week 2Sept 7[4],2008,
127,RV,<,NR,Oklahoma State,Big 12,,11,,,Week 2Sept 7[4],2008,
128,RV,<,NR,Vanderbilt,SEC,,7,,,Week 2Sept 7[4],2008,
129,RV,<,NR,Kentucky,SEC,,6,,,Week 2Sept 7[4],2008,
130,RV,<,NR,TCU,MWC,,6,,,Week 2Sept 7[4],2008,
131,RV,<,NR,Virginia Tech,ACC,,4,,,Week 2Sept 7[4],2008,
132,RV,<,NR,Tulsa,CUSA,,3,,,Week 2Sept 7[4],2008,
133,RV,<,24,South Carolina,SEC,,2,,L 24-17 A Vanderbilt,Week 2Sept 7[4],2008,
134,RV,<,NR,Arizona,Pac-10,,2,,,Week 2Sept 7[4],2008,
135,RV,<,NR,Connecticut,Big East,,1,,,Week 2Sept 7[4],2008,
136,RV,<,NR,North Carolina,ACC,,1,,,Week 2Sept 7[4],2008,
137,RV,<,NR,Rice,CUSA,,1,,,Week 2Sept 7[4],2008,
138,1,<,1,USC (61),Pac-10,2-0,1596,1,W 35-3 H #5 Ohio State,Week 3Sept 14[5],2008,
139,2,<,3,Oklahoma,Big 12,3-0,1485,2,W 55-14 A Washington,Week 3Sept 14[5],2008,
140,3,<,2,Georgia (2),SEC,3-0,1437,3,W 14-7 A South Carolina,Week 3Sept 14[5],2008,
141,4,<,4,Florida (1),SEC,2-0,1414,4,DNP,Week 3Sept 14[5],2008,
142,5,<,6,Missouri,Big 12,3-0,1389,5,W 69-17 H Nevada,Week 3Sept 14[5],2008,
143,6,<,7,LSU,SEC,2-0,1274,6,W 41-3 H North Texas,Week 3Sept 14[5],2008,
144,7,<,8,Texas,Big 12,2-0,1140,7,DNP,Week 3Sept 14[5],2008,
145,8,<,10,Wisconsin,Big Ten,3-0,1076,8,W 13-10 A #21 Fresno State,Week 3Sept 14[5],2008,
146,9,<,11,Alabama,SEC,3-0,982,13,W 41-7 H Western Kentucky,Week 3Sept 14[5],2008,
147,10,<,9,Auburn,SEC,3-0,958,9,W 3-2 A Mississippi State,Week 3Sept 14[5],2008,
148,11,<,12,Texas Tech,Big 12,3-0,904,10,W 43-7 H SMU,Week 3Sept 14[5],2008,
149,12,<,19,South Florida,Big East,3-0,801,16,W 37-34 H #13 Kansas,Week 3Sept 14[5],2008,
150,13,<,5,Ohio State,Big Ten,2-1,800,14,L 35-3 A #1 USC,Week 3Sept 14[5],2008,
151,14,<,18,BYU,MWC,3-0,788,11,W 59-0 H UCLA,Week 3Sept 14[5],2008,
152,15,<,14,East Carolina,CUSA,3-0,781,17,W 28-24 A Tulane,Week 3Sept 14[5],2008,
153,16,<,17,Penn State,Big Ten,3-0,779,15,W 55-13 A Syracuse,Week 3Sept 14[5],2008,
154,17,<,16,Oregon,Pac-10,3-0,679,12,W 32-26 (2OT) A Purdue,Week 3Sept 14[5],2008,
155,18,<,20,Wake Forest,ACC,2-0,482,18,DNP,Week 3Sept 14[5],2008,
156,19,<,13,Kansas,Big 12,2-1,445,19,L 37-34 A #19 South Florida,Week 3Sept 14[5],2008,
157,20,<,22,Utah,MWC,3-0,428,20,W 58-10 A Utah State,Week 3Sept 14[5],2008,
158,21,<,25,West Virginia,Big East,1-1,179,22,DNP,Week 3Sept 14[5],2008,
159,22,<,24,Illinois,Big Ten,2-1,163,23,W 20-17 H Louisiana-Lafayette,Week 3Sept 14[5],2008,
160,23,<,NR,Clemson,ACC,2-1,160,21,W 27-9 H NC State,Week 3Sept 14[5],2008,
161,24,<,NR,Florida State,ACC,2-0,146,25,W 46-7 H Chattanooga,Week 3Sept 14[5],2008,
162,25,<,21,Fresno State,WAC,1-1,121,NR,L 13-10 H #10 Wisconsin,Week 3Sept 14[5],2008,
163,RV,<,NR,Vanderbilt,SEC,,63,,,Week 3Sept 14[5],2008,
164,RV,<,NR,Oklahoma State,Big 12,,62,,,Week 3Sept 14[5],2008,
165,RV,<,NR,TCU,MWC,,45,,,Week 3Sept 14[5],2008,
166,RV,<,NR,Boise State,WAC,,38,,,Week 3Sept 14[5],2008,
167,RV,<,15,Arizona State,Pac-10,,36,,L 23-20 H UNLV,Week 3Sept 14[5],2008,
168,RV,<,NR,North Carolina,ACC,,31,,,Week 3Sept 14[5],2008,
169,RV,<,NR,Virginia Tech,ACC,,28,,,Week 3Sept 14[5],2008,
170,RV,<,NR,Nebraska,Big 12,,21,,,Week 3Sept 14[5],2008,
171,RV,<,NR,Tennessee,SEC,,15,,,Week 3Sept 14[5],2008,
172,RV,<,NR,Connecticut,Big East,,13,,,Week 3Sept 14[5],2008,
173,RV,<,NR,Iowa,Big Ten,,12,,,Week 3Sept 14[5],2008,
174,RV,<,NR,Kentucky,SEC,,6,,,Week 3Sept 14[5],2008,
175,RV,<,NR,Tulsa,CUSA,,6,,,Week 3Sept 14[5],2008,
176,RV,<,NR,Minnesota,Big Ten,,4,,,Week 3Sept 14[5],2008,
177,RV,<,NR,Northwestern,Big Ten,,4,,,Week 3Sept 14[5],2008,
178,RV,<,NR,Notre Dame,Ind,,4,,,Week 3Sept 14[5],2008,
179,RV,<,NR,Arizona,Pac-10,,2,,,Week 3Sept 14[5],2008,
180,RV,<,NR,Ball State,MAC,,1,,,Week 3Sept 14[5],2008,
181,RV,<,NR,South Carolina,SEC,,1,,,Week 3Sept 14[5],2008,
182,RV,<,NR,UCF,CUSA,,1,,,Week 3Sept 14[5],2008,
183,RV,<,23,California,Pac-10,,0,,L 35-27 A Maryland,Week 3Sept 14[5],2008,
184,1,<,1,USC (62),Pac-10,2-0,1621,1,DNP,Week 4Sept 21[6],2008,
185,2,<,2,Oklahoma,Big 12,3-0,1484,2,DNP,Week 4Sept 21[6],2008,
186,3,<,3,Georgia (2),SEC,4-0,1475,3,W 27-10 A Arizona State,Week 4Sept 21[6],2008,
187,4,<,4,Florida (1),SEC,3-0,1442,4,W 30-6 A Tennessee,Week 4Sept 21[6],2008,
188,5,<,6,LSU,SEC,3-0,1363,6,W 26-21 A #10 Auburn,Week 4Sept 21[6],2008,
189,6,<,5,Missouri,Big 12,4-0,1360,5,W 42-21 H Buffalo,Week 4Sept 21[6],2008,
190,7,<,7,Texas,Big 12,3-0,1174,7,W 52-10 H Rice,Week 4Sept 21[6],2008,
191,8,<,9,Alabama,SEC,4-0,1132,10,W 49-14 A Arkansas,Week 4Sept 21[6],2008,
192,9,<,8,Wisconsin,Big Ten,3-0,1091,8,DNP,Week 4Sept 21[6],2008,
193,10,<,11,Texas Tech,Big 12,4-0,962,9,W 56-14 H Massachusetts,Week 4Sept 21[6],2008,
194,11,<,14,BYU,MWC,4-0,919,11,W 44-0 H Wyoming,Week 4Sept 21[6],2008,
195,12,<,16,Penn State,Big Ten,4-0,891,12,W 45-3 H Temple,Week 4Sept 21[6],2008,
196,13,<,12,South Florida,Big East,4-0,798,14,W 17-9 A FIU,Week 4Sept 21[6],2008,
197,14,<,13,Ohio State,Big Ten,3-1,790,13,W 28-10 H Troy,Week 4Sept 21[6],2008,
198,15,<,10,Auburn,SEC,3-1,785,16,L 26-21 H #6 LSU,Week 4Sept 21[6],2008,
199,16,<,18,Wake Forest,ACC,3-0,711,15,W 12-3 A #24 Florida State,Week 4Sept 21[6],2008,
200,17,<,20,Utah,MWC,4-0,574,17,W 30-23 A Air Force,Week 4Sept 21[6],2008,
201,18,<,19,Kansas,Big 12,3-1,555,18,W 38-14 H Sam Houston State,Week 4Sept 21[6],2008,
202,19,<,NR,Boise State,WAC,3-0,363,20,W 37-32 A #17 Oregon,Week 4Sept 21[6],2008,
203,20,<,23,Clemson,ACC,3-1,300,19,W 54-0 H South Carolina State,Week 4Sept 21[6],2008,
204,21,<,NR,Vanderbilt,SEC,4-0,242,25,W 23-17 A Mississippi,Week 4Sept 21[6],2008,
205,22,<,22,Illinois,Big Ten,2-1,224,21,DNP,Week 4Sept 21[6],2008,
206,23,<,15,East Carolina,CUSA,3-1,201,NR,L 30-24 (1OT) A NC State,Week 4Sept 21[6],2008,
207,24,<,NR,TCU,MWC,4-0,117,23,W 48-7 A SMU,Week 4Sept 21[6],2008,
208,25,<,25,Fresno State,WAC,2-1,105,24,W 55-54 (2OT) A Toledo,Week 4Sept 21[6],2008,
209,RV,<,17,Oregon,Pac-10,,100,,L 37-32 H Boise State,Week 4Sept 21[6],2008,
210,RV,<,NR,Oklahoma State,Big 12,,98,,,Week 4Sept 21[6],2008,
211,RV,<,NR,Virginia Tech,ACC,,63,,,Week 4Sept 21[6],2008,
212,RV,<,NR,Colorado,Big 12,,39,,,Week 4Sept 21[6],2008,
213,RV,<,NR,Nebraska,Big 12,,32,,,Week 4Sept 21[6],2008,
214,RV,<,NR,Connecticut,Big East,,26,,,Week 4Sept 21[6],2008,
215,RV,<,NR,Tulsa,CUSA,,19,,,Week 4Sept 21[6],2008,
216,RV,<,NR,Miami (FL),ACC,,17,,,Week 4Sept 21[6],2008,
217,RV,<,NR,Michigan State,Big Ten,,14,,,Week 4Sept 21[6],2008,
218,RV,<,NR,Georgia Tech,ACC,,8,,,Week 4Sept 21[6],2008,
219,RV,<,NR,Kentucky,SEC,,7,,,Week 4Sept 21[6],2008,
220,RV,<,NR,Northwestern,Big Ten,,7,,,Week 4Sept 21[6],2008,
221,RV,<,NR,Ball State,MAC,,6,,,Week 4Sept 21[6],2008,
222,RV,<,NR,South Carolina,SEC,,3,,,Week 4Sept 21[6],2008,
223,RV,<,21,West Virginia,Big East,,2,,L 17-14 A Colorado,Week 4Sept 21[6],2008,
224,RV,<,24,Florida State,ACC,,2,,L 12-3 H #18 Wake Forest,Week 4Sept 21[6],2008,
225,RV,<,NR,North Carolina,ACC,,2,,,Week 4Sept 21[6],2008,
226,RV,<,NR,Minnesota,Big Ten,,1,,,Week 4Sept 21[6],2008,
227,1,<,2,Oklahoma (43),Big 12,4-0,1599,1.0,W 35-10 H #24 TCU,Week 5Sept 28[7],2008,
228,2,<,8,Alabama (21),SEC,5-0,1565,4.0,W 41-30 A #3 Georgia,Week 5Sept 28[7],2008,
229,3,<,5,LSU,SEC,4-0,1466,2.0,W 34-24 H Mississippi State,Week 5Sept 28[7],2008,
230,4,<,6,Missouri (1),Big 12,4-0,1453,3.0,DNP,Week 5Sept 28[7],2008,
231,5,<,7,Texas,Big 12,4-0,1362,5.0,W 52-10 H Arkansas,Week 5Sept 28[7],2008,
232,6,<,12,Penn State,Big Ten,5-0,1252,6.0,W 38-24 H #22 Illinois,Week 5Sept 28[7],2008,
233,7,<,10,Texas Tech,Big 12,4-0,1105,8.0,DNP,Week 5Sept 28[7],2008,
234,8,<,11,BYU,MWC,4-0,1098,7.0,DNP,Week 5Sept 28[7],2008,
235,9,<,1,USC,Pac-10,2-1,1087,9.0,L 27-21 A Oregon State,Week 5Sept 28[7],2008,
236,10,<,13,South Florida,Big East,5-0,1035,10.0,W 41-10 A NC State,Week 5Sept 28[7],2008,
237,11,<,3,Georgia,SEC,4-1,1018,10.0,L 41-30 H #8 Alabama,Week 5Sept 28[7],2008,
238,12,<,4,Florida,SEC,3-1,914,13.0,L 31-30 H Mississippi,Week 5Sept 28[7],2008,
239,13,<,15,Auburn,SEC,4-1,860,14.0,W 14-12 H Tennessee,Week 5Sept 28[7],2008,
240,14,<,14,Ohio State,Big Ten,4-1,829,12.0,W 34-21 H Minnesota,Week 5Sept 28[7],2008,
241,15,<,17,Utah,MWC,5-0,713,15.0,W 37-21 H Weber State,Week 5Sept 28[7],2008,
242,16,<,18,Kansas,Big 12,3-1,650,16.0,DNP,Week 5Sept 28[7],2008,
243,17,<,19,Boise State,WAC,3-0,549,18.0,DNP,Week 5Sept 28[7],2008,
244,18,<,9,Wisconsin,Big Ten,3-1,520,17.0,L 27-25 A Michigan,Week 5Sept 28[7],2008,
245,19,<,21,Vanderbilt,SEC,4-0,459,19.0,DNP,Week 5Sept 28[7],2008,
246,20,<,NR,Virginia Tech,ACC,4-1,290,24.0,W 35-30 A Nebraska,Week 5Sept 28[7],2008,
247,21,<,NR,Oklahoma State,Big 12,4-0,277,22.0,W 55-24 H Troy,Week 5Sept 28[7],2008,
248,22,<,25,Fresno State,WAC,3-1,232,21.0,W 36-31 A UCLA,Week 5Sept 28[7],2008,
249,23,<,NR,Oregon,Pac-10,4-1,199,20.0,W 63-14 A Washington State,Week 5Sept 28[7],2008,
250,24,<,NR,Connecticut,Big East,5-0,126,23.0,W 26-21 A Louisville,Week 5Sept 28[7],2008,
251,25,<,16,Wake Forest,ACC,3-1,107,25.0,L 24-17 H Navy,Week 5Sept 28[7],2008,
252,RV,<,NR,Maryland,ACC,,46,,,Week 5Sept 28[7],2008,
253,RV,<,NR,Michigan State,Big Ten,,42,,,Week 5Sept 28[7],2008,
254,RV,<,NR,Kentucky,SEC,,40,,,Week 5Sept 28[7],2008,
255,RV,<,NR,Ball State,MAC,,38,,,Week 5Sept 28[7],2008,
256,RV,<,NR,Northwestern,Big Ten,,32,,,Week 5Sept 28[7],2008,
257,RV,<,NR,Tulsa,CUSA,,32,,,Week 5Sept 28[7],2008,
258,RV,<,24,TCU,MWC,,30,,L 35-10 A #2 Oklahoma,Week 5Sept 28[7],2008,
259,RV,<,22,Illinois,Big Ten,,24,,DNP,Week 5Sept 28[7],2008,
260,RV,<,NR,North Carolina,ACC,,21,,,Week 5Sept 28[7],2008,
261,RV,<,NR,Florida State,ACC,,14,,,Week 5Sept 28[7],2008,
262,RV,<,NR,Mississippi,SEC,,13,,,Week 5Sept 28[7],2008,
263,RV,<,NR,Georgia Tech,ACC,,10,,,Week 5Sept 28[7],2008,
264,RV,<,NR,California,Pac-10,,5,,,Week 5Sept 28[7],2008,
265,RV,<,NR,Nebraska,Big 12,,5,,,Week 5Sept 28[7],2008,
266,RV,<,NR,Boston College,ACC,,3,,,Week 5Sept 28[7],2008,
267,RV,<,NR,Oregon State,Pac-10,,3,,,Week 5Sept 28[7],2008,
268,RV,<,NR,Colorado,Big 12,,2,,,Week 5Sept 28[7],2008,
269,RV,<,20,Clemson,ACC,,0,,L 20-17 H Maryland,Week 5Sept 28[7],2008,
270,RV,<,23,East Carolina,CUSA,,0,,L 41-24 H Houston,Week 5Sept 28[7],2008,
271,1,<,1,Oklahoma (51),Big 12,5-0,1608,1,W 49-17 A Baylor,Week 6Oct 5[8],2008,
272,2,<,2,Alabama (13),SEC,6-0,1537,4,W 17-14 H Kentucky,Week 6Oct 5[8],2008,
273,3,<,4,Missouri (1),Big 12,5-0,1487,2,W 52-17 A Nebraska,Week 6Oct 5[8],2008,
274,4,<,3,LSU,SEC,4-0,1444,3,DNP,Week 6Oct 5[8],2008,
275,5,<,5,Texas,Big 12,5-0,1374,5,W 38-14 A Colorado,Week 6Oct 5[8],2008,
276,6,<,6,Penn State,Big Ten,6-0,1287,6,W 20-6 A Purdue,Week 6Oct 5[8],2008,
277,7,<,7,Texas Tech,Big 12,5-0,1163,7,W 58-28 A Kansas State,Week 6Oct 5[8],2008,
278,8,<,9,USC,Pac-10,3-1,1137,9,W 44-10 H #23 Oregon,Week 6Oct 5[8],2008,
279,9,<,8,BYU,MWC,5-0,1103,8,W 34-14 A Utah State,Week 6Oct 5[8],2008,
280,10,<,11,Georgia,SEC,4-1,1014,10,DNP,Week 6Oct 5[8],2008,
