,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,CFP
99,NR,<,NR,Iowa,Big Ten,,0,RV,W 7-3 H South Dakota State,Week 1Sep 6[2],2022,
100,NR,<,NR,Louisiana,Sun Belt,,0,RV,W 24-7 H Southeast Louisiana,Week 1Sep 6[2],2022,
101,NR,<,NR,Northwestern,Big Ten,,0,RV,W 31-28 N Nebraska,Week 1Sep 6[2],2022,
102,NR,<,NR,Syracuse,ACC,,0,RV,W 31-7 H Louisville,Week 1Sep 6[2],2022,
103,NR,<,NR,TCU,Big 12,,0,RV,W 38-13 A Colorado,Week 1Sep 6[2],2022,
104,NR,<,NR,Texas Tech,Big 12,,0,RV,W 63-10 H Murray State,Week 1Sep 6[2],2022,
105,NR,<,NR,Utah State,MWC,,0,RV,L 55-0 A #1 Alabama,Week 1Sep 6[2],2022,
106,1,<,2,Georgia (53),SEC,2-0,1561,*2,W 33-0 H Samford,Week 2Sep 11[3],2022,
107,2,<,1,Alabama (9),SEC,2-0,1496,*1,W 20-19 A Texas,Week 2Sep 11[3],2022,
108,3,<,3,Ohio State (1),Big Ten,2-0,1475,*3,W 45-12 H Arkansas State,Week 2Sep 11[3],2022,
109,4,<,4,Michigan,Big Ten,2-0,1359,5,W 56-10 H Hawaii,Week 2Sep 11[3],2022,
110,5,<,5,Clemson,ACC,2-0,1285,4,W 35-12 H Furman,Week 2Sep 11[3],2022,
111,6,<,7,Oklahoma,Big 12,2-0,1209,6,W 33-3 H Kent State,Week 2Sep 11[3],2022,
112,7,<,10,USC,Pac-12,2-0,1139,8,W 41-28 A Stanford,Week 2Sep 11[3],2022,
113,8,<,11,Oklahoma State,Big 12,2-0,1004,7,W 34-17 H Arizona State,Week 2Sep 11[3],2022,
114,9,<,20,Kentucky,SEC,2-0,992,10,W 26-16 A #12 Florida,Week 2Sep 11[3],2022,
115,10,<,16,Arkansas,SEC,2-0,938,11,W 44-30 H South Carolina,Week 2Sep 11[3],2022,
116,11,<,14,Michigan State,Big Ten,2-0,902,9,W 52-0 H Akron,Week 2Sep 11[3],2022,
117,12,<,21,BYU,Ind,2-0,880,14,W 26-20 (2OT) H #9 Baylor,Week 2Sep 11[3],2022,
118,13,<,15,Miami (FL),ACC,2-0,772,13,W 30-7 H Southern Miss,Week 2Sep 11[3],2022,
119,14,<,13,Utah,Pac-12,1-1,673,15,W 73-7 H Southern Utah,Week 2Sep 11[3],2022,
120,15,<,24,Tennessee,SEC,2-0,658,16,W 34-27 (1OT) A #17 Pittsburgh,Week 2Sep 11[3],2022,
121,16,<,18,NC State,ACC,2-0,623,12,W 55-3 H Charleston Southern,Week 2Sep 11[3],2022,
122,17,<,9,Baylor,Big 12,1-1,562,19,L 26-20 (2OT) A #21 BYU,Week 2Sep 11[3],2022,
123,18,<,12,Florida,SEC,1-1,484,21,L 26-16 H #20 Kentucky,Week 2Sep 11[3],2022,
124,19,<,23,Wake Forest,ACC,2-0,449,18,W 45-25 A Vanderbilt,Week 2Sep 11[3],2022,
125,20,<,22,Mississippi,SEC,2-0,411,17,W 59-3 H Central Arkansas,Week 2Sep 11[3],2022,
126,21,<,NR,Texas,Big 12,1-1,276,20,L 20-19 H #1 Alabama,Week 2Sep 11[3],2022,
127,22,<,NR,Penn State,Big Ten,2-0,271,23,W 46-10 H Ohio,Week 2Sep 11[3],2022,
128,23,<,17,Pittsburgh,ACC,1-1,160,25,L 34-27 (1OT) H #24 Tennessee,Week 2Sep 11[3],2022,
129,24,<,6,Texas A&M,SEC,1-1,145,22,L 17-14 H Appalachian State,Week 2Sep 11[3],2022,
130,25,<,NR,Oregon,Pac-12,1-1,89,24,W 70-14 H Eastern Washington,Week 2Sep 11[3],2022,
131,RV,<,NR,Marshall,CUSA,,85,RV,W 26-21 A #8 Notre Dame,Week 2Sep 11[3],2022,
132,RV,<,NR,Appalachian State,Sun Belt,,80,RV,W 17-14 A #6 Texas A&M,Week 2Sep 11[3],2022,
133,RV,<,NR,Cincinnati,AAC,,80,RV,W 63-10 H Kennesaw State,Week 2Sep 11[3],2022,
134,RV,<,NR,Kansas State,Big 12,,77,RV,W 40-12 H Missouri,Week 2Sep 11[3],2022,
135,RV,<,NR,North Carolina,ACC,,71,RV,W 35-28 A Georgia State,Week 2Sep 11[3],2022,
136,RV,<,NR,Mississippi State,SEC,,43,RV,W 39-17 A Arizona,Week 2Sep 11[3],2022,
137,RV,<,NR,Florida State,ACC,,42,RV,DNP,Week 2Sep 11[3],2022,
138,RV,<,NR,Oregon State,Pac-12,,42,RV,W 35-32 A Fresno State,Week 2Sep 11[3],2022,
139,RV,<,NR,Minnesota,Big Ten,,37,RV,W 62-10 H Western Illinois,Week 2Sep 11[3],2022,
140,RV,<,NR,Washington State,Pac-12,,30,RV,W 17-14 A #19 Wisconsin,Week 2Sep 11[3],2022,
141,RV,<,8,Notre Dame,Ind,,23,RV,L 26-21 H Marshall,Week 2Sep 11[3],2022,
142,RV,<,NR,Air Force,MWC,,19,RV,W 41-10 H Colorado,Week 2Sep 11[3],2022,
143,RV,<,NR,Texas Tech,Big 12,,17,RV,W 33-30 (2OT) H #25 Houston,Week 2Sep 11[3],2022,
144,RV,<,19,Wisconsin,Big Ten,,7,RV,L 17-14 H Washington State,Week 2Sep 11[3],2022,
145,RV,<,NR,Auburn,SEC,,4,RV,W 24-16 H San Jose State,Week 2Sep 11[3],2022,
146,RV,<,NR,Iowa State,Big 12,,4,RV,W 10-7 A Iowa,Week 2Sep 11[3],2022,
147,RV,<,NR,Purdue,Big Ten,,1,NR,W 56-0 H Indiana State,Week 2Sep 11[3],2022,
148,NR,<,25,Houston,AAC,,0,RV,L 33-30 (2OT) A Texas Tech,Week 2Sep 11[3],2022,
149,NR,<,NR,Syracuse,ACC,,0,RV,W 48-14 A Connecticut,Week 2Sep 11[3],2022,
150,NR,<,NR,TCU,Big 12,,0,RV,W 59-17 H Tarleton,Week 2Sep 11[3],2022,
151,NR,<,NR,UCLA,Pac-12,,0,RV,W 45-7 H Alabama State,Week 2Sep 11[3],2022,
152,NR,<,NR,Washington,Pac-12,,0,RV,W 52-6 H Portland State,Week 2Sep 11[3],2022,
153,1,<,1,Georgia (59),SEC,3-0,1569,*1,W 48-7 A South Carolina,Week 3Sep 18[4],2022,
154,2,<,2,Alabama (3),SEC,3-0,1492,*2,W 63-7 H Louisiana-Monroe,Week 3Sep 18[4],2022,
155,3,<,3,Ohio State (1),Big Ten,3-0,1473,*3,W 77-21 H Toledo,Week 3Sep 18[4],2022,
156,4,<,4,Michigan,Big Ten,3-0,1364,4,W 59-0 H Connecticut,Week 3Sep 18[4],2022,
157,5,<,5,Clemson,ACC,3-0,1268,5,W 48-20 H Louisiana Tech,Week 3Sep 18[4],2022,
158,6,<,6,Oklahoma,Big 12,3-0,1257,6,W 49-14 A Nebraska,Week 3Sep 18[4],2022,
159,7,<,7,USC,Pac-12,3-0,1197,7,W 45-17 H Fresno State,Week 3Sep 18[4],2022,
160,8,<,9,Kentucky,SEC,3-0,1096,9,W 31-0 H Youngstown State,Week 3Sep 18[4],2022,
161,9,<,8,Oklahoma State,Big 12,3-0,1071,8,W 63-7 H Arkansas-Pine Bluff,Week 3Sep 18[4],2022,
162,10,<,10,Arkansas,SEC,3-0,920,10,W 38-27 H Missouri State,Week 3Sep 18[4],2022,
163,11,<,15,Tennessee,SEC,3-0,866,12,W 63-6 H Akron,Week 3Sep 18[4],2022,
164,12,<,16,NC State,ACC,3-0,781,11,W 27-14 H Texas Tech,Week 3Sep 18[4],2022,
165,13,<,14,Utah,Pac-12,2-1,684,14,W 35-7 H San Diego State,Week 3Sep 18[4],2022,
166,14,<,22,Penn State,Big Ten,3-0,666,15,W 41-12 A Auburn,Week 3Sep 18[4],2022,
167,15,<,25,Oregon,Pac-12,2-1,593,18,W 41-20 H #12 BYU,Week 3Sep 18[4],2022,
168,16,<,20,Mississippi,SEC,3-0,585,13,W 42-0 A Georgia Tech,Week 3Sep 18[4],2022,
169,17,<,17,Baylor,Big 12,2-1,494,17,W 42-7 H Texas State,Week 3Sep 18[4],2022,
170,18,<,NR,Washington,Pac-12,3-0,485,24,W 39-28 H #11 Michigan State,Week 3Sep 18[4],2022,
171,19,<,12,BYU,Ind,2-1,381,23,L 41-20 A #25 Oregon,Week 3Sep 18[4],2022,
172,20,<,18,Florida,SEC,2-1,360,22,W 31-28 H South Florida,Week 3Sep 18[4],2022,
173,21,<,19,Wake Forest,ACC,3-0,345,16,W 37-36 H Liberty,Week 3Sep 18[4],2022,
174,22,<,21,Texas,Big 12,2-1,339,19,W 41-20 H UTSA,Week 3Sep 18[4],2022,
175,23,<,24,Texas A&M,SEC,2-1,309,20,W 17-9 H #13 Miami (FL),Week 3Sep 18[4],2022,
176,24,<,23,Pittsburgh,ACC,2-1,181,RV,W 34-13 A Western Michigan,Week 3Sep 18[4],2022,
177,25,<,13,Miami (FL),ACC,2-1,123,25,L 17-9 A #24 Texas A&M,Week 3Sep 18[4],2022,
178,RV,<,11,Michigan State,Big Ten,,91,21,L 39-28 A Washington,Week 3Sep 18[4],2022,
179,RV,<,NR,Florida State,ACC,,85,RV,W 35-31 A Louisville,Week 3Sep 18[4],2022,
180,RV,<,NR,Appalachian State,Sun Belt,,77,RV,W 32-28 H Troy,Week 3Sep 18[4],2022,
181,RV,<,NR,North Carolina,ACC,,72,RV,DNP,Week 3Sep 18[4],2022,
182,RV,<,NR,Washington State,Pac-12,,62,RV,W 38-7 H Colorado State,Week 3Sep 18[4],2022,
183,RV,<,NR,Cincinnati,AAC,,52,RV,W 38-17 A Miami (OH),Week 3Sep 18[4],2022,
184,RV,<,NR,Oregon State,Pac-12,,49,RV,W 68-28 H Montana State,Week 3Sep 18[4],2022,
185,RV,<,NR,Minnesota,Big Ten,,48,RV,W 49-7 H Colorado,Week 3Sep 18[4],2022,
186,RV,<,NR,Kansas,Big 12,,23,RV,W 48-30 A Houston,Week 3Sep 18[4],2022,
187,RV,<,NR,Syracuse,ACC,,7,RV,W 32-29 H Purdue,Week 3Sep 18[4],2022,
188,RV,<,NR,LSU,SEC,,6,RV,W 31-16 H Mississippi State,Week 3Sep 18[4],2022,
189,RV,<,NR,Wisconsin,Big Ten,,4,RV,W 66-7 H New Mexico State,Week 3Sep 18[4],2022,
190,NR,<,NR,Air Force,MWC,,0,RV,L 17-14 A Wyoming,Week 3Sep 18[4],2022,
191,NR,<,NR,Coastal Carolina,Sun Belt,,0,RV,W 38-26 H Buffalo,Week 3Sep 18[4],2022,
192,NR,<,NR,Duke,ACC,,0,RV,W 49-20 H North Carolina A&T,Week 3Sep 18[4],2022,
193,NR,<,NR,East Carolina,AAC,,0,RV,W 49-10 H Campbell,Week 3Sep 18[4],2022,
194,NR,<,NR,Iowa State,Big 12,,0,RV,W 43-10 H Ohio,Week 3Sep 18[4],2022,
195,NR,<,NR,Mississippi State,SEC,,0,RV,L 31-16 A LSU,Week 3Sep 18[4],2022,
196,NR,<,NR,Notre Dame,Ind,,0,RV,W 24-17 H California,Week 3Sep 18[4],2022,
197,NR,<,NR,TCU,Big 12,,0,RV,DNP,Week 3Sep 18[4],2022,
198,1,<,1,Georgia (55),SEC,4-0,1565,*1,W 39-22 H Kent State,Week 4Sep 25[5],2022,
199,2,<,2,Alabama (4),SEC,4-0,1487,*2,W 55-3 H Vanderbilt,Week 4Sep 25[5],2022,
200,3,<,3,Ohio State (4),Big Ten,4-0,1483,*3,W 52-21 H Wisconsin,Week 4Sep 25[5],2022,
201,4,<,4,Michigan,Big Ten,4-0,1354,4,W 34-27 H Maryland,Week 4Sep 25[5],2022,
202,5,<,5,Clemson,ACC,4-0,1311,5,W 51-45 (2OT) A #21 Wake Forest,Week 4Sep 25[5],2022,
203,6,<,7,USC,Pac-12,4-0,1236,6,W 17-14 A Oregon State,Week 4Sep 25[5],2022,
204,7,<,8,Kentucky,SEC,4-0,1127,8,W 31-23 H Northern Illinois,Week 4Sep 25[5],2022,
205,8,<,11,Tennessee,SEC,4-0,1119,9,W 38-33 H #20 Florida,Week 4Sep 25[5],2022,
206,9,<,9,Oklahoma State,Big 12,3-0,1081,7,DNP,Week 4Sep 25[5],2022,
207,10,<,12,NC State,ACC,4-0,920,10,W 41-10 H Connecticut,Week 4Sep 25[5],2022,
208,11,<,14,Penn State,Big Ten,4-0,876,12,W 33-14 H Central Michigan,Week 4Sep 25[5],2022,
209,12,<,13,Utah,Pac-12,3-1,760,13,W 34-13 A Arizona State,Week 4Sep 25[5],2022,
210,13,<,15,Oregon,Pac-12,3-1,727,15,W 44-41 A Washington State,Week 4Sep 25[5],2022,
211,14,<,16,Mississippi,SEC,4-0,691,11,W 35-27 H Tulsa,Week 4Sep 25[5],2022,
212,15,<,18,Washington,Pac-12,4-0,657,18,W 40-22 H Stanford,Week 4Sep 25[5],2022,
213,16,<,17,Baylor,Big 12,3-1,550,14,W 31-24 A Iowa State,Week 4Sep 25[5],2022,
214,17,<,23,Texas A&M,SEC,3-1,543,17,W 23-21 N #10 Arkansas (Southwest Classic),Week 4Sep 25[5],2022,
215,18,<,6,Oklahoma,Big 12,3-1,529,16,L 41-34 H Kansas State,Week 4Sep 25[5],2022,
216,19,<,19,BYU,Ind,3-1,482,20,W 38-24 A Wyoming,Week 4Sep 25[5],2022,
217,20,<,10,Arkansas,SEC,3-1,457,19,L 23-21 N #23 Texas A&M (Southwest Classic),Week 4Sep 25[5],2022,
218,21,<,NR,Minnesota,Big Ten,4-0,288,23,W 34-7 A Michigan State,Week 4Sep 25[5],2022,
219,22,<,21,Wake Forest,ACC,3-1,265,21,L 51-45 (2OT) H #5 Clemson,Week 4Sep 25[5],2022,
220,23,<,NR,Florida State,ACC,4-0,244,22,W 44-14 H Boston College,Week 4Sep 25[5],2022,
221,24,<,24,Pittsburgh,ACC,3-1,209,24,W 45-24 H Rhode Island,Week 4Sep 25[5],2022,
222,25,<,NR,Kansas State,Big 12,3-1,166,RV,W 41-34 A #6 Oklahoma,Week 4Sep 25[5],2022,
223,RV,<,NR,Kansas,Big 12,,125,RV,W 35-27 H Duke,Week 4Sep 25[5],2022,
224,RV,<,NR,Cincinnati,AAC,,60,RV,W 45-24 H Indiana,Week 4Sep 25[5],2022,
225,RV,<,20,Florida,SEC,,56,RV,L 38-33 A #11 Tennessee,Week 4Sep 25[5],2022,
226,RV,<,NR,Washington State,Pac-12,,31,RV,L 44-41 H #15 Oregon,Week 4Sep 25[5],2022,
227,RV,<,NR,Syracuse,ACC,,22,25,W 22-20 H Virginia,Week 4Sep 25[5],2022,
228,RV,<,NR,Oregon State,Pac-12,,16,RV,L 17-14 H #7 USC,Week 4Sep 25[5],2022,
229,RV,<,NR,Texas Tech,Big 12,,11,RV,W 37-34 (1OT) H #22 Texas,Week 4Sep 25[5],2022,
230,RV,<,NR,North Carolina,ACC,,9,NR,L 45-32 H Notre Dame,Week 4Sep 25[5],2022,
231,RV,<,NR,LSU,SEC,,7,RV,W 38-0 H New Mexico,Week 4Sep 25[5],2022,
232,RV,<,NR,James Madison,Sun Belt,,4,RV,W 32-28 A Appalachian State,Week 4Sep 25[5],2022,
233,RV,<,NR,Tulane,AAC,,3,NR,L 27-24 H Southern Miss,Week 4Sep 25[5],2022,
234,RV,<,NR,UCLA,Pac-12,,3,RV,W 45-17 A Colorado,Week 4Sep 25[5],2022,
235,RV,<,NR,TCU,Big 12,,1,RV,W 42-34 A SMU,Week 4Sep 25[5],2022,
236,NR,<,22,Texas,Big 12,,0,RV,L 37-34 (1OT) A Texas Tech,Week 4Sep 25[5],2022,
237,NR,<,25,Miami (FL),ACC,,0,NR,L 45-31 H Middle Tennessee,Week 4Sep 25[5],2022,
238,NR,<,NR,Air Force,MWC,,0,RV,W 48-20 H Nevada,Week 4Sep 25[5],2022,
239,NR,<,NR,Coastal Carolina,Sun Belt,,0,RV,W 41-24 A Georgia State,Week 4Sep 25[5],2022,
240,NR,<,NR,Iowa State,Big 12,,0,RV,L 31-24 H #17 Baylor,Week 4Sep 25[5],2022,
241,NR,<,NR,Maryland,Big Ten,,0,RV,L 34-27 A #4 Michigan,Week 4Sep 25[5],2022,
242,NR,<,NR,Michigan State,Big Ten,,0,RV,L 34-7 H Minnesota,Week 4Sep 25[5],2022,
243,NR,<,NR,Mississippi State,SEC,,0,RV,W 45-14 H Bowling Green,Week 4Sep 25[5],2022,
244,NR,<,NR,Notre Dame,Ind,,0,RV,W 45-32 A North Carolina,Week 4Sep 25[5],2022,
245,1,<,2,Alabama (25),SEC,5-0,1523,*1,W 49-26 A #20 Arkansas,Week 5Oct 2[6],2022,
246,2,<,1,Georgia (28),SEC,5-0,1521,*2,W 26-22 A Missouri,Week 5Oct 2[6],2022,
247,3,<,3,Ohio State (10),Big Ten,5-0,1488,*3,W 49-10 H Rutgers,Week 5Oct 2[6],2022,
248,4,<,4,Michigan,Big Ten,5-0,1348,4,W 27-14 A Iowa,Week 5Oct 2[6],2022,
249,5,<,5,Clemson,ACC,5-0,1345,5,W 30-20 H #10 NC State,Week 5Oct 2[6],2022,
250,6,<,6,USC,Pac-12,5-0,1233,6,W 42-25 H Arizona State,Week 5Oct 2[6],2022,
251,7,<,9,Oklahoma State,Big 12,4-0,1182,7,W 36-25 A #16 Baylor,Week 5Oct 2[6],2022,
252,8,<,8,Tennessee,SEC,4-0,1129,8,DNP,Week 5Oct 2[6],2022,
253,9,<,14,Mississippi,SEC,5-0,1068,9,W 22-19 H #7 Kentucky,Week 5Oct 2[6],2022,
