,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year,BCS
79,19,<,20,West Virginia,Big East,0-1,456,,Week 2Sep 14[4],1998,
80,20,<,NR,NC State,ACC,2-0,434,,Week 2Sep 14[4],1998,
81,21,<,25,Missouri,Big 12,2-0,330,,Week 2Sep 14[4],1998,
82,22,<,24,Oregon,Pac-10,2-0,245,,Week 2Sep 14[4],1998,
83,23,<,10,Notre Dame,Ind,1-1,199,L 45-23 A Michigan State,Week 2Sep 14[4],1998,
84,24,<,NR,Alabama,SEC,2-0,163,,Week 2Sep 14[4],1998,
85,25,<,NR,Mississippi State,SEC,2-0,110,,Week 2Sep 14[4],1998,
86,NR,<,13,Michigan,Big Ten,,0,,Week 2Sep 14[4],1998,
87,NR,<,14,Arizona State,Pac-10,,0,,Week 2Sep 14[4],1998,
88,NR,<,23,Texas,Big 12,,0,,Week 2Sep 14[4],1998,
89,1,<,1,Ohio State (64),Big Ten,3-0,1744,W 35-14 H #21 Missouri,Week 3Sep 21[5],1998,
90,2,<,3,Nebraska (1),Big 12,3-0,1601,,Week 3Sep 21[5],1998,
91,3,<,4,UCLA (1),Pac-10,2-0,1562,,Week 3Sep 21[5],1998,
92,4,<,6,Tennessee (2),SEC,2-0,1542,,Week 3Sep 21[5],1998,
93,5,<,5,Kansas State (2),Big 12,3-0,1522,,Week 3Sep 21[5],1998,
94,6,<,7,LSU,SEC,2-0,1389,,Week 3Sep 21[5],1998,
95,7,<,8,Penn State,Big Ten,3-0,1255,,Week 3Sep 21[5],1998,
96,8,<,2,Florida,SEC,2-1,1242,,Week 3Sep 21[5],1998,
97,9,<,9,Washington,Pac-10,2-0,1217,,Week 3Sep 21[5],1998,
98,10,<,11,Florida State,ACC,2-1,1043,,Week 3Sep 21[5],1998,
99,11,<,10,Virginia,ACC,3-0,1011,,Week 3Sep 21[5],1998,
100,12,<,13,Syracuse,Big East,2-1,981,,Week 3Sep 21[5],1998,
101,13,<,12,Georgia,SEC,3-0,930,,Week 3Sep 21[5],1998,
102,14,<,14,Wisconsin,Big Ten,3-0,783,,Week 3Sep 21[5],1998,
103,15,<,15,Colorado,Big 12,3-0,714,,Week 3Sep 21[5],1998,
104,16,<,16,Arizona,Pac-10,3-0,684,W 35-11 H Iowa,Week 3Sep 21[5],1998,
105,17,<,17,Texas A&M,Big 12,2-1,613,,Week 3Sep 21[5],1998,
106,18,<,18,USC,Pac-10,3-0,604,,Week 3Sep 21[5],1998,
107,19,<,19,West Virginia,Big East,1-1,538,,Week 3Sep 21[5],1998,
108,20,<,22,Oregon,Pac-10,3-0,399,,Week 3Sep 21[5],1998,
109,21,<,NR,Virginia Tech,Big East,3-0,304,,Week 3Sep 21[5],1998,
110,22,<,24,Alabama,SEC,2-0,277,,Week 3Sep 21[5],1998,
111,23,<,23,Notre Dame,Ind,1-1,155,,Week 3Sep 21[5],1998,
112,23,<,NR,Air Force,WAC,3-0,155,,Week 3Sep 21[5],1998,
113,25,<,21,Missouri,Big 12,2-1,132,,Week 3Sep 21[5],1998,
114,NR,<,20,NC State,ACC,,0,,Week 3Sep 21[5],1998,
115,NR,<,25,Mississippi State,SEC,,0,,Week 3Sep 21[5],1998,
116,1,<,1,Ohio State (58),Big Ten,3-0,1737,DNP,Week 4Sep 28[6],1998,
117,2,<,2,Nebraska (7),Big 12,4-0,1660,,Week 4Sep 28[6],1998,
118,3,<,4,Tennessee (2),SEC,3-0,1544,,Week 4Sep 28[6],1998,
119,4,<,3,UCLA (1),Pac-10,2-0,1538,,Week 4Sep 28[6],1998,
120,5,<,5,Kansas State (2),Big 12,4-0,1503,,Week 4Sep 28[6],1998,
121,6,<,6,LSU,SEC,3-0,1395,,Week 4Sep 28[6],1998,
122,7,<,7,Penn State,Big Ten,3-0,1293,,Week 4Sep 28[6],1998,
123,8,<,8,Florida,SEC,3-1,1275,,Week 4Sep 28[6],1998,
124,9,<,10,Florida State,ACC,3-1,1151,,Week 4Sep 28[6],1998,
125,10,<,11,Virginia,ACC,4-0,1069,,Week 4Sep 28[6],1998,
126,11,<,12,Syracuse,Big East,2-1,1050,,Week 4Sep 28[6],1998,
127,12,<,13,Georgia,SEC,3-0,971,,Week 4Sep 28[6],1998,
128,13,<,14,Wisconsin,Big Ten,4-0,885,,Week 4Sep 28[6],1998,
129,14,<,16,Arizona,Pac-10,4-0,823,W 35-16 A San Diego State,Week 4Sep 28[6],1998,
130,15,<,15,Colorado,Big 12,4-0,701,,Week 4Sep 28[6],1998,
131,16,<,19,West Virginia,Big East,2-1,626,,Week 4Sep 28[6],1998,
132,17,<,20,Oregon,Pac-10,4-0,613,,Week 4Sep 28[6],1998,
133,18,<,17,Texas A&M,Big 12,3-1,570,,Week 4Sep 28[6],1998,
134,19,<,21,Virginia Tech,Big East,4-0,531,,Week 4Sep 28[6],1998,
135,20,<,9,Washington,Pac-10,2-1,492,,Week 4Sep 28[6],1998,
136,21,<,18,USC,Pac-10,3-1,294,,Week 4Sep 28[6],1998,
137,22,<,NR,Arkansas,SEC,3-0,226,,Week 4Sep 28[6],1998,
138,23,<,23,Notre Dame,Ind,2-1,218,,Week 4Sep 28[6],1998,
139,23,<,25,Missouri,Big 12,2-1,218,,Week 4Sep 28[6],1998,
140,25,<,NR,Michigan,Big Ten,2-2,64,,Week 4Sep 28[6],1998,
141,NR,<,22,Alabama,SEC,,0,,Week 4Sep 28[6],1998,
142,NR,<,23,Air Force,WAC,,0,,Week 4Sep 28[6],1998,
143,1,<,1,Ohio State (66),Big Ten,4-0,1746,W 28-9 H #7 Penn State,Week 5Oct 5[7],1998,
144,2,<,2,Nebraska (1),Big 12,5-0,1640,,Week 5Oct 5[7],1998,
145,3,<,4,UCLA (1),Pac-10,3-0,1575,,Week 5Oct 5[7],1998,
146,4,<,3,Tennessee,SEC,4-0,1541,,Week 5Oct 5[7],1998,
147,5,<,5,Kansas State (2),Big 12,4-0,1519,,Week 5Oct 5[7],1998,
148,6,<,8,Florida,SEC,4-1,1326,,Week 5Oct 5[7],1998,
149,7,<,12,Georgia,SEC,4-0,1313,,Week 5Oct 5[7],1998,
150,8,<,9,Florida State,ACC,4-1,1235,,Week 5Oct 5[7],1998,
151,9,<,10,Virginia,ACC,5-0,1219,,Week 5Oct 5[7],1998,
152,10,<,14,Arizona,Pac-10,5-0,1043,W 31-28 A #20 Washington,Week 5Oct 5[7],1998,
153,11,<,6,LSU,SEC,3-1,1010,,Week 5Oct 5[7],1998,
154,12,<,13,Wisconsin,Big Ten,5-0,937,,Week 5Oct 5[7],1998,
155,13,<,7,Penn State,Big Ten,3-1,894,,Week 5Oct 5[7],1998,
156,14,<,15,Colorado,Big 12,5-0,755,,Week 5Oct 5[7],1998,
157,15,<,17,Oregon,Pac-10,4-0,747,,Week 5Oct 5[7],1998,
158,16,<,16,West Virginia,Big East,3-1,728,,Week 5Oct 5[7],1998,
159,17,<,19,Virginia Tech,Big East,4-0,637,,Week 5Oct 5[7],1998,
160,18,<,18,Texas A&M,Big 12,4-1,594,,Week 5Oct 5[7],1998,
161,19,<,21,USC,Pac-10,4-1,462,,Week 5Oct 5[7],1998,
162,20,<,22,Arkansas,SEC,4-0,404,,Week 5Oct 5[7],1998,
163,21,<,23,Missouri,Big 12,3-1,288,,Week 5Oct 5[7],1998,
164,22,<,23,Notre Dame,Ind,3-1,274,,Week 5Oct 5[7],1998,
165,23,<,NR,NC State,ACC,3-1,262,,Week 5Oct 5[7],1998,
166,24,<,11,Syracuse,Big East,2-2,169,L 38-17 A NC State,Week 5Oct 5[7],1998,
167,25,<,NR,Tulane,CUSA,4-0,114,W 21-7 H Southern Miss,Week 5Oct 5[7],1998,
168,NR,<,20,Washington,Pac-10,,0,,Week 5Oct 5[7],1998,
169,NR,<,25,Michigan,Big Ten,,0,,Week 5Oct 5[7],1998,
170,1,<,1,Ohio State (64),Big Ten,5-0,1744,W 41-0 A Illinois,Week 6Oct 12[8],1998,
171,2,<,3,UCLA (1),Pac-10,4-0,1647,,Week 6Oct 12[8],1998,
172,3,<,4,Tennessee (3),SEC,5-0,1622,,Week 6Oct 12[8],1998,
173,4,<,5,Kansas State (2),Big 12,5-0,1554,,Week 6Oct 12[8],1998,
174,5,<,6,Florida,SEC,5-1,1449,,Week 6Oct 12[8],1998,
175,6,<,8,Florida State,ACC,5-1,1369,,Week 6Oct 12[8],1998,
176,7,<,9,Virginia,ACC,5-0,1314,,Week 6Oct 12[8],1998,
177,8,<,2,Nebraska,Big 12,5-1,1201,,Week 6Oct 12[8],1998,
178,9,<,12,Wisconsin,Big Ten,6-0,1100,,Week 6Oct 12[8],1998,
179,10,<,18,Texas A&M,Big 12,5-1,1099,,Week 6Oct 12[8],1998,
180,11,<,15,Oregon,Pac-10,5-0,1021,,Week 6Oct 12[8],1998,
181,12,<,13,Penn State,Big Ten,4-1,1011,,Week 6Oct 12[8],1998,
182,13,<,7,Georgia,SEC,4-1,889,,Week 6Oct 12[8],1998,
183,14,<,17,Virginia Tech,Big East,5-0,833,,Week 6Oct 12[8],1998,
184,15,<,16,West Virginia,Big East,4-1,806,,Week 6Oct 12[8],1998,
185,16,<,10,Arizona,Pac-10,5-1,673,L 52-28 H UCLA,Week 6Oct 12[8],1998,
186,17,<,20,Arkansas,SEC,5-0,578,,Week 6Oct 12[8],1998,
187,18,<,22,Notre Dame,Ind,4-1,477,,Week 6Oct 12[8],1998,
188,19,<,14,Colorado,Big 12,5-1,462,,Week 6Oct 12[8],1998,
189,20,<,21,Missouri,Big 12,4-1,457,,Week 6Oct 12[8],1998,
190,21,<,11,LSU,SEC,3-2,441,,Week 6Oct 12[8],1998,
191,22,<,NR,Texas Tech,Big 12,6-0,228,,Week 6Oct 12[8],1998,
192,23,<,24,Syracuse,Big East,3-2,187,,Week 6Oct 12[8],1998,
193,24,<,25,Tulane,CUSA,4-0,171,DNP,Week 6Oct 12[8],1998,
194,25,<,NR,Georgia Tech,ACC,4-1,117,,Week 6Oct 12[8],1998,
195,NR,<,19,USC,Pac-10,,0,,Week 6Oct 12[8],1998,
196,NR,<,23,NC State,ACC,,0,,Week 6Oct 12[8],1998,
197,1,<,1,Ohio State (64),Big Ten,6-0,1743,W 45-15 H Minnesota,Week 7Oct 19[9],1998,
198,2,<,2,UCLA (1),Pac-10,5-0,1647,,Week 7Oct 19[9],1998,
199,3,<,3,Tennessee (3),SEC,5-0,1618,,Week 7Oct 19[9],1998,
200,4,<,4,Kansas State (2),Big 12,6-0,1558,,Week 7Oct 19[9],1998,
201,5,<,5,Florida,SEC,6-1,1451,,Week 7Oct 19[9],1998,
202,6,<,6,Florida State,ACC,6-1,1411,,Week 7Oct 19[9],1998,
203,7,<,8,Nebraska,Big 12,6-1,1269,,Week 7Oct 19[9],1998,
204,8,<,10,Texas A&M,Big 12,6-1,1215,,Week 7Oct 19[9],1998,
205,9,<,9,Wisconsin,Big Ten,7-0,1186,,Week 7Oct 19[9],1998,
206,10,<,12,Penn State,Big Ten,5-1,1119,,Week 7Oct 19[9],1998,
207,11,<,13,Georgia,SEC,5-1,1002,,Week 7Oct 19[9],1998,
208,12,<,11,Oregon,Pac-10,5-1,939,,Week 7Oct 19[9],1998,
209,13,<,15,West Virginia,Big East,4-1,860,,Week 7Oct 19[9],1998,
210,14,<,16,Arizona,Pac-10,6-1,800,W 28-7 A Oregon State,Week 7Oct 19[9],1998,
211,15,<,17,Arkansas,SEC,6-0,746,,Week 7Oct 19[9],1998,
212,16,<,7,Virginia,ACC,5-1,714,,Week 7Oct 19[9],1998,
213,17,<,19,Colorado,Big 12,6-1,604,,Week 7Oct 19[9],1998,
214,18,<,18,Notre Dame,Ind,4-1,556,,Week 7Oct 19[9],1998,
215,19,<,20,Missouri,Big 12,5-1,547,,Week 7Oct 19[9],1998,
216,20,<,25,Georgia Tech,ACC,5-1,538,,Week 7Oct 19[9],1998,
217,21,<,23,Syracuse,Big East,4-2,286,,Week 7Oct 19[9],1998,
218,22,<,24,Tulane,CUSA,5-0,233,W 28-22 H Louisville,Week 7Oct 19[9],1998,
219,23,<,14,Virginia Tech,Big East,5-1,141,,Week 7Oct 19[9],1998,
220,24,<,NR,Mississippi State,SEC,5-1,129,,Week 7Oct 19[9],1998,
221,25,<,22,Texas Tech,Big 12,6-1,116,,Week 7Oct 19[9],1998,
222,NR,<,21,LSU,SEC,,0,,Week 7Oct 19[9],1998,
223,1,<,1,Ohio State (64),Big Ten,7-0,1744,W 36-10 A Northwestern,Week 8Oct 26[10],1998,2
224,2,<,2,UCLA (1),Pac-10,6-0,1641,,Week 8Oct 26[10],1998,1
225,3,<,3,Tennessee (3),SEC,6-0,1617,,Week 8Oct 26[10],1998,3
226,4,<,4,Kansas State (2),Big 12,7-0,1565,,Week 8Oct 26[10],1998,4
227,5,<,6,Florida State,ACC,7-1,1438,,Week 8Oct 26[10],1998,5
228,6,<,5,Florida,SEC,6-1,1437,,Week 8Oct 26[10],1998,7
229,7,<,7,Nebraska,Big 12,7-1,1250,,Week 8Oct 26[10],1998,6
230,8,<,8,Texas A&M,Big 12,7-1,1240,,Week 8Oct 26[10],1998,8
231,9,<,9,Wisconsin,Big Ten,8-0,1209,,Week 8Oct 26[10],1998,9
232,10,<,10,Penn State,Big Ten,5-1,1118,,Week 8Oct 26[10],1998,10
233,11,<,11,Georgia,SEC,6-1,1036,,Week 8Oct 26[10],1998,13
234,12,<,12,Oregon,Pac-10,6-1,997,,Week 8Oct 26[10],1998,11
235,13,<,14,Arizona,Pac-10,7-1,887,W 45-7 H Louisiana-Monroe,Week 8Oct 26[10],1998,14
236,14,<,15,Arkansas,SEC,6-0,847,,Week 8Oct 26[10],1998,12
237,15,<,16,Virginia,ACC,6-1,811,,Week 8Oct 26[10],1998,15
238,16,<,18,Notre Dame,Ind,5-1,621,,Week 8Oct 26[10],1998,16
239,17,<,21,Syracuse,Big East,4-2,476,,Week 8Oct 26[10],1998,20
240,18,<,19,Missouri,Big 12,5-2,472,,Week 8Oct 26[10],1998,18
241,19,<,22,Tulane,CUSA,6-0,463,W 52-24 A Rutgers,Week 8Oct 26[10],1998,19
242,20,<,23,Virginia Tech,Big East,6-1,394,,Week 8Oct 26[10],1998,NR
243,21,<,13,West Virginia,Big East,4-2,291,,Week 8Oct 26[10],1998,NR
244,22,<,NR,Michigan,Big Ten,5-2,231,,Week 8Oct 26[10],1998,NR
245,23,<,20,Georgia Tech,ACC,5-2,175,,Week 8Oct 26[10],1998,17
246,24,<,17,Colorado,Big 12,6-2,164,,Week 8Oct 26[10],1998,NR
247,25,<,NR,Miami (FL),Big East,4-2,119,,Week 8Oct 26[10],1998,NR
248,NR,<,24,Mississippi State,SEC,,0,,Week 8Oct 26[10],1998,NR
249,NR,<,25,Texas Tech,Big 12,,0,,Week 8Oct 26[10],1998,NR
250,1,<,1,Ohio State (63),Big Ten,8-0,1743,W 38-7 A Indiana,Week 9Nov 2[11],1998,1
251,2,<,3,Tennessee (3),SEC,7-0,1642,,Week 9Nov 2[11],1998,2
252,3,<,2,UCLA (1),Pac-10,7-0,1601,,Week 9Nov 2[11],1998,3
253,4,<,4,Kansas State (3),Big 12,8-0,1583,,Week 9Nov 2[11],1998,4
254,5,<,6,Florida,SEC,7-1,1444,,Week 9Nov 2[11],1998,5
255,6,<,5,Florida State,ACC,8-1,1433,,Week 9Nov 2[11],1998,6
256,7,<,8,Texas A&M,Big 12,8-1,1280,,Week 9Nov 2[11],1998,7
257,8,<,9,Wisconsin,Big Ten,8-0,1248,,Week 9Nov 2[11],1998,8
258,9,<,10,Penn State,Big Ten,6-1,1208,,Week 9Nov 2[11],1998,9
259,10,<,13,Arizona,Pac-10,8-1,1120,W 38-3 H Oregon,Week 9Nov 2[11],1998,10
260,11,<,14,Arkansas,SEC,7-0,1031,,Week 9Nov 2[11],1998,11
261,12,<,15,Virginia,ACC,7-1,958,,Week 9Nov 2[11],1998,15
262,13,<,16,Notre Dame,Ind,6-1,800,,Week 9Nov 2[11],1998,13
263,14,<,7,Nebraska,Big 12,7-2,775,,Week 9Nov 2[11],1998,12
264,15,<,17,Syracuse,Big East,5-2,608,,Week 9Nov 2[11],1998,17
265,15,<,19,Tulane,CUSA,7-0,608,W 72-20 H Louisiana-Lafayette,Week 9Nov 2[11],1998,16
266,15,<,20,Virginia Tech,Big East,7-1,608,,Week 9Nov 2[11],1998,NR
267,18,<,18,Missouri,Big 12,6-2,578,,Week 9Nov 2[11],1998,NR
268,19,<,11,Georgia,SEC,6-2,543,,Week 9Nov 2[11],1998,NR
269,20,<,NR,Texas,Big 12,6-2,437,,Week 9Nov 2[11],1998,14
270,21,<,12,Oregon,Pac-10,6-2,420,,Week 9Nov 2[11],1998,NR
271,22,<,22,Michigan,Big Ten,6-2,274,,Week 9Nov 2[11],1998,NR
272,23,<,23,Georgia Tech,ACC,6-2,261,,Week 9Nov 2[11],1998,NR
273,24,<,25,Miami (FL),Big East,5-2,182,,Week 9Nov 2[11],1998,NR
274,25,<,NR,Air Force,WAC,7-1,164,,Week 9Nov 2[11],1998,NR
275,NR,<,21,West Virginia,Big East,,0,,Week 9Nov 2[11],1998,NR
276,NR,<,24,Colorado,Big 12,,0,,Week 9Nov 2[11],1998,NR
277,1,<,2,Tennessee (46),SEC,8-0,1718,W 37-13 H UAB,Week 10Nov 9[12],1998,1
278,2,<,4,Kansas State (19),Big 12,9-0,1677,,Week 10Nov 9[12],1998,3
279,3,<,3,UCLA (4),Pac-10,8-0,1615,,Week 10Nov 9[12],1998,2
280,4,<,5,Florida,SEC,8-1,1516,,Week 10Nov 9[12],1998,5
281,5,<,6,Florida State (1),ACC,9-1,1510,,Week 10Nov 9[12],1998,4
282,6,<,7,Texas A&M,Big 12,9-1,1319,,Week 10Nov 9[12],1998,6
283,7,<,1,Ohio State,Big Ten,8-1,1311,L 28-24 H Michigan State,Week 10Nov 9[12],1998,8
284,8,<,8,Wisconsin,Big Ten,9-0,1309,,Week 10Nov 9[12],1998,9
285,9,<,10,Arizona,Pac-10,9-1,1189,W 41-7 H Washington State,Week 10Nov 9[12],1998,10
286,10,<,11,Arkansas,SEC,8-0,1171,,Week 10Nov 9[12],1998,7
287,11,<,14,Nebraska,Big 12,8-2,931,,Week 10Nov 9[12],1998,11
288,12,<,13,Notre Dame,Ind,7-1,899,,Week 10Nov 9[12],1998,12
289,13,<,18,Missouri,Big 12,7-2,752,,Week 10Nov 9[12],1998,13
290,14,<,15,Tulane,CUSA,8-0,747,W 41-31 A Memphis,Week 10Nov 9[12],1998,16
291,15,<,22,Michigan,Big Ten,7-2,729,,Week 10Nov 9[12],1998,19
292,16,<,15,Virginia Tech,Big East,7-1,722,,Week 10Nov 9[12],1998,20
293,17,<,19,Georgia,SEC,6-2,596,,Week 10Nov 9[12],1998,17
294,18,<,20,Texas,Big 12,7-2,577,,Week 10Nov 9[12],1998,15
295,19,<,9,Penn State,Big Ten,6-2,575,,Week 10Nov 9[12],1998,18
296,20,<,21,Oregon,Pac-10,7-2,498,,Week 10Nov 9[12],1998,14
297,21,<,12,Virginia,ACC,7-2,360,,Week 10Nov 9[12],1998,NR
298,22,<,23,Georgia Tech,ACC,6-2,315,,Week 10Nov 9[12],1998,NR
299,23,<,25,Air Force,WAC,8-1,260,,Week 10Nov 9[12],1998,NR
300,24,<,24,Miami (FL),Big East,5-2,244,,Week 10Nov 9[12],1998,NR
301,25,<,NR,Wyoming,WAC,8-1,69,W 27-19 A Colorado State,Week 10Nov 9[12],1998,NR
302,NR,<,15,Syracuse,Big East,,0,,Week 10Nov 9[12],1998,NR
303,1,<,1,Tennessee (37),SEC,9-0,1709,W 28-24 H #10 Arkansas,Week 11Nov 16[13],1998,1
304,2,<,2,Kansas State (29),Big 12,10-0,1699,,Week 11Nov 16[13],1998,3
305,3,<,3,UCLA (4),Pac-10,9-0,1618,,Week 11Nov 16[13],1998,2
306,4,<,4,Florida,SEC,9-1,1526,,Week 11Nov 16[13],1998,5
307,5,<,5,Florida State,ACC,10-1,1489,,Week 11Nov 16[13],1998,4
308,6,<,6,Texas A&M,Big 12,10-1,1361,,Week 11Nov 16[13],1998,6
309,7,<,7,Ohio State,Big Ten,9-1,1350,,Week 11Nov 16[13],1998,7
310,8,<,9,Arizona,Pac-10,10-1,1262,W 27-23 A California,Week 11Nov 16[13],1998,8
311,9,<,10,Arkansas,SEC,8-1,1127,,Week 11Nov 16[13],1998,9
312,10,<,12,Notre Dame,Ind,8-1,1081,,Week 11Nov 16[13],1998,10
