,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year,BCS
38,RV,<,NR,Iowa State,Big 12,,3,,1,2006,
39,RV,<,NR,Mississippi,SEC,,3,,1,2006,
40,RV,<,NR,Northern Illinois,MAC,,3,,1,2006,
41,RV,<,NR,Michigan State,Big Ten,,2,,1,2006,
42,RV,<,NR,Arizona,Pac-10,,1,,1,2006,
43,NR,<,16,UCLA,Pac-10,0-0,0,DNP,1,2006,
44,1,<,1,Ohio State (39),Big Ten,1-0,1568,W 35-12 H Northern Illinois,2,2006,
45,2,<,3,Texas (7),Big 12,1-0,1453,,2,2006,
46,3,<,6,USC (3),Pac-10,1-0,1410,,2,2006,
47,4,<,2,Notre Dame (8),Ind,1-0,1408,,2,2006,
48,4,<,4,Auburn (3),SEC,1-0,1408,,2,2006,
49,6,<,5,West Virginia (5),Big East,1-0,1356,,2,2006,
50,7,<,7,Florida,SEC,1-0,1191,,2,2006,
51,8,<,8,LSU,SEC,1-0,1185,,2,2006,
52,9,<,11,Florida State,ACC,1-0,1130,,2,2006,
53,10,<,14,Michigan,Big Ten,1-0,841,,2,2006,
54,11,<,23,Tennessee,SEC,1-0,839,,2,2006,
55,12,<,15,Georgia,SEC,1-0,836,,2,2006,
56,13,<,13,Louisville,Big East,1-0,820,W 59-28 H Kentucky,2,2006,
57,14,<,16,Iowa,Big Ten,1-0,800,,2,2006,
58,15,<,10,Oklahoma,Big 12,1-0,725,W 24-17 H UAB,2,2006,
59,16,<,17,Virginia Tech,ACC,1-0,673,,2,2006,
60,17,<,12,Miami (FL),ACC,0-1,624,,2,2006,
61,18,<,18,Clemson,ACC,1-0,564,,2,2006,
62,19,<,19,Penn State,Big Ten,1-0,467,,2,2006,
63,20,<,21,Oregon,Pac-10,1-0,436,,2,2006,
64,21,<,20,Nebraska,Big 12,1-0,358,,2,2006,
65,22,<,9,California,Pac-10,0-1,212,L 35-18 A #23 Tennessee,2,2006,
66,23,<,22,TCU,MWC,1-0,198,W 17-7 A Baylor,2,2006,
67,24,<,25,Texas Tech,Big 12,1-0,196,,2,2006,
68,25,<,24,Arizona State,Pac-10,1-0,134,,2,2006,
69,RV,<,NR,Alabama,SEC,,96,,2,2006,
70,RV,<,NR,Wisconsin,Big Ten,,35,,2,2006,
71,RV,<,NR,UCLA,Pac-10,,29,,2,2006,
72,RV,<,NR,Georgia Tech,ACC,,27,,2,2006,
73,RV,<,NR,Boise State,WAC,,25,,2,2006,
74,RV,<,NR,South Carolina,SEC,,13,,2,2006,
75,RV,<,NR,Boston College,ACC,,11,,2,2006,
76,RV,<,NR,Texas A&M,Big 12,,11,,2,2006,
77,RV,<,NR,Pittsburgh,Big East,,9,,2,2006,
78,RV,<,NR,Purdue,Big Ten,,9,,2,2006,
79,RV,<,NR,Rutgers,Big East,,7,,2,2006,
80,RV,<,NR,Tulsa,CUSA,,7,,2,2006,
81,RV,<,NR,Arizona,Pac-10,,6,,2,2006,
82,RV,<,NR,Fresno State,WAC,,3,,2,2006,
83,RV,<,NR,Missouri,Big 12,,3,,2,2006,
84,RV,<,NR,UTEP,CUSA,,2,,2,2006,
85,1,<,1,Ohio State (56),Big Ten,2-0,1614,W 24-7 A #2 Texas,3,2006,
86,2,<,4,Notre Dame (3),Ind,2-0,1468,,3,2006,
87,3,<,4,Auburn (2),SEC,2-0,1447,,3,2006,
88,4,<,3,USC (2),Pac-10,1-0,1446,,3,2006,
89,5,<,6,West Virginia (2),Big East,2-0,1380,,3,2006,
90,6,<,8,LSU,SEC,2-0,1287,,3,2006,
91,7,<,7,Florida,SEC,2-0,1249,,3,2006,
92,8,<,2,Texas,Big 12,1-1,1150,L 24-7 H #1 Ohio State,3,2006,
93,9,<,9,Florida State,ACC,2-0,1029,,3,2006,
94,10,<,12,Georgia,SEC,2-0,944,,3,2006,
95,11,<,10,Michigan,Big Ten,2-0,942,,3,2006,
96,12,<,13,Louisville,Big East,2-0,911,W 62-0 A Temple,3,2006,
97,13,<,11,Tennessee,SEC,2-0,782,,3,2006,
98,14,<,16,Virginia Tech,ACC,2-0,763,,3,2006,
99,15,<,15,Oklahoma,Big 12,2-0,755,W 37-20 H Washington,3,2006,
100,16,<,14,Iowa,Big Ten,2-0,690,,3,2006,
101,17,<,17,Miami (FL),ACC,1-1,625,,3,2006,
102,18,<,20,Oregon,Pac-10,2-0,547,,3,2006,
103,19,<,21,Nebraska,Big 12,2-0,455,,3,2006,
104,20,<,23,TCU,MWC,2-0,285,W 46-13 H UC Davis,3,2006,
105,21,<,22,California,Pac-10,1-1,284,,3,2006,
106,22,<,25,Arizona State,Pac-10,2-0,206,,3,2006,
107,23,<,NR,Boston College,ACC,2-0,193,,3,2006,
108,24,<,24,Texas Tech,Big 12,2-0,186,,3,2006,
109,25,<,19,Penn State,Big Ten,1-1,95,,3,2006,
110,RV,<,18,Clemson,ACC,,92,,3,2006,
111,RV,<,NR,Boise State,WAC,,72,,3,2006,
112,RV,<,NR,Alabama,SEC,,70,,3,2006,
113,RV,<,NR,Georgia Tech,ACC,,33,,3,2006,
114,RV,<,NR,UCLA,Pac-10,,33,,3,2006,
115,RV,<,NR,Rutgers,Big East,,32,,3,2006,
116,RV,<,NR,Wisconsin,Big Ten,,28,,3,2006,
117,RV,<,NR,Pittsburgh,Big East,,11,,3,2006,
118,RV,<,NR,Texas A&M,Big 12,,11,,3,2006,
119,RV,<,NR,Missouri,Big 12,,9,,3,2006,
120,RV,<,NR,Purdue,Big Ten,,1,,3,2006,
121,1,<,1,Ohio State (59),Big Ten,3-0,1617,W 37-7 H Cincinnati,4,2006,
122,2,<,3,Auburn (2),SEC,3-0,1507,,4,2006,
123,3,<,4,USC (2),Pac-10,2-0,1494,,4,2006,
124,4,<,5,West Virginia (2),Big East,3-0,1419,,4,2006,
125,5,<,7,Florida,SEC,3-0,1354,,4,2006,
126,6,<,11,Michigan,Big Ten,3-0,1301,,4,2006,
127,7,<,8,Texas,Big 12,2-1,1179,,4,2006,
128,8,<,12,Louisville,Big East,3-0,1127,W 31-7 H Miami (FL),4,2006,
129,9,<,10,Georgia,SEC,3-0,1104,,4,2006,
130,10,<,6,LSU,SEC,2-1,1085,,4,2006,
131,11,<,14,Virginia Tech,ACC,3-0,934,,4,2006,
132,12,<,2,Notre Dame,Ind,2-1,902,,4,2006,
133,13,<,18,Oregon,Pac-10,3-0,837,,4,2006,
134,14,<,16,Iowa,Big Ten,3-0,833,,4,2006,
135,15,<,13,Tennessee,SEC,2-1,583,,4,2006,
136,16,<,20,TCU,MWC,3-0,530,W 12-3 H Texas Tech,4,2006,
137,17,<,15,Oklahoma,Big 12,2-1,513,L 34-33 A #18 Oregon,4,2006,
138,18,<,9,Florida State,ACC,2-1,456,,4,2006,
139,19,<,NR,Clemson,ACC,2-1,407,,4,2006,
140,20,<,23,Boston College,ACC,3-0,393,,4,2006,
141,21,<,21,California,Pac-10,2-1,386,,4,2006,
142,22,<,22,Arizona State,Pac-10,3-0,384,,4,2006,
143,23,<,19,Nebraska,Big 12,2-1,160,,4,2006,
144,24,<,25,Penn State,Big Ten,2-1,143,,4,2006,
145,25,<,NR,Boise State,WAC,3-0,109,,4,2006,
146,RV,<,NR,Alabama,SEC,,94,,4,2006,
147,RV,<,17,Miami (FL),ACC,,64,,4,2006,
148,RV,<,NR,Rutgers,Big East,,46,,4,2006,
149,RV,<,NR,UCLA,Pac-10,,40,,4,2006,
150,RV,<,NR,Michigan State,Big Ten,,33,,4,2006,
151,RV,<,NR,Wisconsin,Big Ten,,29,,4,2006,
152,RV,<,NR,Missouri,Big 12,,22,,4,2006,
153,RV,<,NR,Georgia Tech,ACC,,18,,4,2006,
154,RV,<,24,Texas Tech,Big 12,,9,,4,2006,
155,RV,<,NR,Texas A&M,Big 12,,9,,4,2006,
156,RV,<,NR,Arkansas,SEC,,2,,4,2006,
157,RV,<,NR,Purdue,Big Ten,,2,,4,2006,
158,1,<,1,Ohio State (59),Big Ten,4-0,1617,W 28-6 H #24 Penn State,5,2006,
159,2,<,2,Auburn (2),SEC,4-0,1513,,5,2006,
160,3,<,3,USC (2),Pac-10,3-0,1491,,5,2006,
161,4,<,4,West Virginia (2),Big East,4-0,1404,,5,2006,
162,5,<,5,Florida,SEC,4-0,1363,,5,2006,
163,6,<,6,Michigan,Big Ten,4-0,1318,,5,2006,
164,7,<,7,Texas,Big 12,3-1,1196,,5,2006,
165,8,<,8,Louisville,Big East,4-0,1166,W 24-6 A Kansas State,5,2006,
166,9,<,10,LSU,SEC,3-1,1114,,5,2006,
167,10,<,9,Georgia,SEC,4-0,972,,5,2006,
168,11,<,11,Virginia Tech,ACC,4-0,945,,5,2006,
169,12,<,12,Notre Dame,Ind,3-1,879,,5,2006,
170,13,<,14,Iowa,Big Ten,4-0,864,,5,2006,
171,14,<,13,Oregon,Pac-10,3-0,805,,5,2006,
172,15,<,15,Tennessee,SEC,3-1,658,,5,2006,
173,16,<,17,Oklahoma,Big 12,3-1,613,W 59-0 H Middle Tennessee,5,2006,
174,17,<,16,TCU,MWC,3-0,563,DNP,5,2006,
175,18,<,19,Clemson,ACC,3-1,529,,5,2006,
176,19,<,18,Florida State,ACC,3-1,510,,5,2006,
177,20,<,21,California,Pac-10,3-1,508,,5,2006,
178,21,<,23,Nebraska,Big 12,3-1,327,,5,2006,
179,22,<,25,Boise State,WAC,4-0,226,,5,2006,
180,23,<,NR,Rutgers,Big East,4-0,117,,5,2006,
181,24,<,NR,Georgia Tech,ACC,3-1,77,,5,2006,
182,25,<,NR,Missouri,Big 12,4-0,70,,5,2006,
183,RV,<,20,Boston College,ACC,,42,,5,2006,
184,RV,<,NR,Miami (FL),ACC,,37,,5,2006,
185,RV,<,22,Arizona State,Pac-10,,34,,5,2006,
186,RV,<,NR,Purdue,Big Ten,,34,,5,2006,
187,RV,<,NR,Michigan State,Big Ten,,20,,5,2006,
188,RV,<,NR,Texas A&M,Big 12,,20,,5,2006,
189,RV,<,24,Penn State,Big Ten,,19,,5,2006,
190,RV,<,NR,Texas Tech,Big 12,,17,,5,2006,
191,RV,<,NR,Arkansas,SEC,,13,,5,2006,
192,RV,<,NR,Washington,Pac-10,,13,,5,2006,
193,RV,<,NR,Wake Forest,ACC,,12,,5,2006,
194,RV,<,NR,Wisconsin,Big Ten,,6,,5,2006,
195,RV,<,NR,Houston,CUSA,,5,,5,2006,
196,RV,<,NR,UCLA,Pac-10,,5,,5,2006,
197,RV,<,NR,Alabama,SEC,,3,,5,2006,
198,1,<,1,Ohio State (62),Big Ten,5-0,1622,W 38-17 A #13 Iowa,6,2006,
199,2,<,2,Auburn,SEC,5-0,1498,,6,2006,
200,3,<,3,USC (1),Pac-10,4-0,1470,,6,2006,
201,4,<,4,West Virginia (2),Big East,4-0,1395,,6,2006,
202,5,<,5,Florida,SEC,5-0,1393,,6,2006,
203,6,<,6,Michigan,Big Ten,5-0,1342,,6,2006,
204,7,<,7,Texas,Big 12,4-1,1204,,6,2006,
205,8,<,8,Louisville,Big East,4-0,1165,DNP,6,2006,
206,9,<,9,LSU,SEC,4-1,1157,,6,2006,
207,10,<,10,Georgia,SEC,5-0,968,,6,2006,
208,11,<,14,Oregon,Pac-10,4-0,946,,6,2006,
209,12,<,12,Notre Dame,Ind,4-1,921,,6,2006,
210,13,<,15,Tennessee,SEC,4-1,824,,6,2006,
211,14,<,16,Oklahoma,Big 12,3-1,735,DNP,6,2006,
212,15,<,18,Clemson,ACC,4-1,689,,6,2006,
213,16,<,20,California,Pac-10,4-1,633,,6,2006,
214,17,<,19,Florida State,ACC,3-1,548,,6,2006,
215,18,<,24,Georgia Tech,ACC,4-1,539,,6,2006,
216,19,<,13,Iowa,Big Ten,4-1,444,,6,2006,
217,20,<,22,Boise State,WAC,5-0,353,,6,2006,
218,21,<,11,Virginia Tech,ACC,4-1,339,,6,2006,
219,22,<,21,Nebraska,Big 12,4-1,325,,6,2006,
220,23,<,25,Missouri,Big 12,5-0,208,,6,2006,
221,24,<,23,Rutgers,Big East,5-0,178,,6,2006,
222,25,<,NR,Boston College,ACC,4-1,52,,6,2006,
223,RV,<,NR,Texas Tech,Big 12,,34,,6,2006,
224,RV,<,NR,Wake Forest,ACC,,29,,6,2006,
225,RV,<,NR,Washington,Pac-10,,28,,6,2006,
226,RV,<,17,TCU,MWC,,25,,6,2006,
227,RV,<,NR,Wisconsin,Big Ten,,19,,6,2006,
228,RV,<,NR,Penn State,Big Ten,,15,,6,2006,
229,RV,<,NR,Miami (FL),ACC,,14,,6,2006,
230,RV,<,NR,UCLA,Pac-10,,7,,6,2006,
231,RV,<,NR,Arkansas,SEC,,5,,6,2006,
232,RV,<,NR,Pittsburgh,Big East,,1,,6,2006,
233,1,<,1,Ohio State (63),Big Ten,6-0,1623,W 35-7 H Bowling Green,7,2006,
234,2,<,5,Florida,SEC,6-0,1516,,7,2006,
235,3,<,3,USC,Pac-10,5-0,1451,,7,2006,
236,4,<,6,Michigan,Big Ten,6-0,1429,,7,2006,
237,5,<,4,West Virginia (2),Big East,5-0,1416,,7,2006,
238,6,<,7,Texas,Big 12,5-1,1294,,7,2006,
239,7,<,8,Louisville,Big East,5-0,1247,W 44-17 A Middle Tennessee,7,2006,
240,8,<,13,Tennessee,SEC,5-1,1159,,7,2006,
241,9,<,12,Notre Dame,Ind,5-1,1068,,7,2006,
242,10,<,16,California,Pac-10,5-1,1017,,7,2006,
243,11,<,2,Auburn,SEC,5-1,943,,7,2006,
244,12,<,15,Clemson,ACC,5-1,876,,7,2006,
245,13,<,18,Georgia Tech,ACC,5-1,739,,7,2006,
246,14,<,9,LSU,SEC,4-2,693,,7,2006,
247,15,<,19,Iowa,Big Ten,5-1,661,,7,2006,
248,16,<,10,Georgia,SEC,5-1,615,,7,2006,
249,17,<,NR,Arkansas,SEC,4-1,482,,7,2006,
250,18,<,11,Oregon,Pac-10,4-1,474,,7,2006,
251,19,<,23,Missouri,Big 12,6-0,469,,7,2006,
252,20,<,20,Boise State,WAC,6-0,449,,7,2006,
253,21,<,22,Nebraska,Big 12,5-1,431,,7,2006,
254,22,<,21,Virginia Tech,ACC,4-1,360,,7,2006,
255,23,<,14,Oklahoma,Big 12,3-2,271,L 28-10 N #7 Texas,7,2006,
256,24,<,24,Rutgers,Big East,5-0,194,,7,2006,
257,25,<,NR,Wisconsin,Big Ten,5-1,86,,7,2006,
258,RV,<,25,Boston College,ACC,,79,,7,2006,
259,RV,<,17,Florida State,ACC,,25,,7,2006,
260,RV,<,NR,Miami (FL),ACC,,13,,7,2006,
261,RV,<,NR,UCLA,Pac-10,,13,,7,2006,
262,RV,<,NR,Penn State,Big Ten,,10,,7,2006,
263,RV,<,NR,Washington,Pac-10,,9,,7,2006,
264,RV,<,NR,Pittsburgh,Big East,,6,,7,2006,
265,RV,<,NR,NC State,ACC,,3,,7,2006,
266,RV,<,NR,Texas Tech,Big 12,,2,,7,2006,
267,RV,<,NR,BYU,MWC,,1,,7,2006,
268,RV,<,NR,Wake Forest,ACC,,1,,7,2006,
269,1,<,1,Ohio State (63),Big Ten,7-0,1623,W 38-7 A Michigan State,8,2006,1
270,2,<,4,Michigan,Big Ten,7-0,1528,,8,2006,3
271,3,<,3,USC,Pac-10,6-0,1465,,8,2006,2
272,4,<,5,West Virginia (2),Big East,6-0,1459,,8,2006,5
273,5,<,6,Texas,Big 12,6-1,1355,,8,2006,9
274,6,<,7,Louisville,Big East,6-0,1223,W 23-17 H Cincinnati,8,2006,7
275,7,<,8,Tennessee,SEC,5-1,1179,,8,2006,11
276,8,<,11,Auburn,SEC,6-1,1176,,8,2006,4
277,9,<,2,Florida,SEC,6-1,1143,,8,2006,6
278,10,<,9,Notre Dame,Ind,5-1,1042,,8,2006,8
279,11,<,10,California,Pac-10,6-1,1027,,8,2006,10
280,12,<,12,Clemson,ACC,6-1,885,,8,2006,12
281,13,<,13,Georgia Tech,ACC,5-1,772,,8,2006,19
282,14,<,14,LSU,SEC,5-2,751,,8,2006,18
283,15,<,17,Arkansas,SEC,5-1,734,,8,2006,13
284,16,<,18,Oregon,Pac-10,5-1,639,,8,2006,14
285,17,<,21,Nebraska,Big 12,6-1,555,,8,2006,17
286,18,<,20,Boise State,WAC,6-0,519,,8,2006,15
287,19,<,24,Rutgers,Big East,6-0,400,,8,2006,16
288,20,<,23,Oklahoma,Big 12,4-2,394,W 34-9 H Iowa State,8,2006,22
289,21,<,25,Wisconsin,Big Ten,6-1,366,,8,2006,21
290,22,<,NR,Boston College,ACC,5-1,330,,8,2006,20
291,23,<,NR,Texas A&M,Big 12,6-1,127,,8,2006,NR
292,24,<,19,Missouri,Big 12,6-1,93,,8,2006,24
293,25,<,NR,Wake Forest,ACC,6-1,83,W 25-23 A NC State,8,2006,NR
294,RV,<,NR,Pittsburgh,Big East,,73,,8,2006,NR
295,RV,<,16,Georgia,SEC,,63,,8,2006,NR
296,RV,<,15,Iowa,Big Ten,,61,,8,2006,23
297,RV,<,NR,Florida State,ACC,,30,,8,2006,NR
298,RV,<,NR,Miami (FL),ACC,,17,,8,2006,NR
299,RV,<,22,Virginia Tech,ACC,,6,,8,2006,NR
300,RV,<,NR,Alabama,SEC,,4,,8,2006,NR
301,RV,<,NR,BYU,MWC,,1,,8,2006,NR
302,RV,<,NR,Purdue,Big Ten,,1,,8,2006,NR
303,RV,<,NR,Tulsa,CUSA,,1,,8,2006,25
304,1,<,1,Ohio State (63),Big Ten,8-0,1623,W 44-3 H Indiana,9,2006,1
305,2,<,2,Michigan,Big Ten,8-0,1533,,9,2006,2
306,3,<,3,USC,Pac-10,6-0,1468,,9,2006,3
307,4,<,4,West Virginia (2),Big East,7-0,1458,,9,2006,4
308,5,<,5,Texas,Big 12,7-1,1355,,9,2006,7
309,6,<,6,Louisville,Big East,7-0,1215,W 28-13 A Syracuse,9,2006,8
310,7,<,8,Auburn,SEC,7-1,1182,,9,2006,5
311,8,<,7,Tennessee,SEC,6-1,1178,,9,2006,11
312,9,<,9,Florida,SEC,6-1,1146,,9,2006,6
313,10,<,12,Clemson,ACC,7-1,989,,9,2006,12
314,11,<,10,Notre Dame,Ind,6-1,988,,9,2006,9
315,12,<,11,California,Pac-10,7-1,964,,9,2006,10
316,13,<,15,Arkansas,SEC,6-1,843,,9,2006,13
317,14,<,14,LSU,SEC,6-2,799,,9,2006,16
318,15,<,18,Boise State,WAC,8-0,608,,9,2006,15
319,16,<,19,Rutgers,Big East,7-0,579,,9,2006,14
320,17,<,21,Wisconsin,Big Ten,7-1,560,,9,2006,18
321,18,<,22,Boston College,ACC,6-1,526,,9,2006,17
322,19,<,20,Oklahoma,Big 12,5-2,497,W 24-3 H Colorado,9,2006,19
323,20,<,17,Nebraska,Big 12,6-2,373,,9,2006,22
324,21,<,13,Georgia Tech,ACC,5-2,303,,9,2006,24
325,22,<,23,Texas A&M,Big 12,7-1,288,,9,2006,21
326,23,<,24,Missouri,Big 12,7-1,240,,9,2006,20
327,24,<,25,Wake Forest,ACC,6-1,164,DNP,9,2006,NR
328,25,<,16,Oregon,Pac-10,5-2,132,,9,2006,23
329,RV,<,NR,Georgia,SEC,,48,,9,2006,NR
330,RV,<,NR,Tulsa,CUSA,,15,,9,2006,NR
331,RV,<,NR,BYU,MWC,,12,,9,2006,NR
332,RV,<,NR,Virginia Tech,ACC,,10,,9,2006,NR
333,RV,<,NR,Miami (FL),ACC,,7,,9,2006,NR
334,RV,<,NR,Pittsburgh,Big East,,5,,9,2006,NR
335,RV,<,NR,South Carolina,SEC,,5,,9,2006,NR
336,RV,<,NR,Washington State,Pac-10,,4,,9,2006,25
337,RV,<,NR,Penn State,Big Ten,,3,,9,2006,NR
338,RV,<,NR,Hawaii,WAC,,2,,9,2006,NR
339,RV,<,NR,Iowa,Big Ten,,2,,9,2006,NR
340,RV,<,NR,Alabama,SEC,,1,,9,2006,NR
341,1,<,1,Ohio State (63),Big Ten,9-0,1623,W 44-0 H Minnesota,10,2006,1
342,2,<,2,Michigan,Big Ten,9-0,1547,,10,2006,2
343,3,<,4,West Virginia (2),Big East,7-0,1494,,10,2006,3
344,4,<,5,Texas,Big 12,8-1,1397,,10,2006,7
345,5,<,6,Louisville,Big East,7-0,1278,DNP,10,2006,5
346,6,<,7,Auburn,SEC,8-1,1250,,10,2006,6
347,7,<,9,Florida,SEC,7-1,1243,,10,2006,4
348,8,<,8,Tennessee,SEC,7-1,1232,,10,2006,11
349,9,<,3,USC,Pac-10,6-1,1059,,10,2006,8
350,10,<,12,California,Pac-10,7-1,1040,,10,2006,10
351,11,<,11,Notre Dame,Ind,7-1,1037,,10,2006,9
352,12,<,13,Arkansas,SEC,7-1,935,,10,2006,13
353,13,<,14,LSU,SEC,6-2,842,,10,2006,17
354,14,<,15,Boise State,WAC,8-0,688,,10,2006,14
355,15,<,16,Rutgers,Big East,7-0,644,,10,2006,12
356,16,<,18,Boston College,ACC,7-1,624,,10,2006,15
357,17,<,17,Wisconsin,Big Ten,8-1,617,,10,2006,16
358,18,<,19,Oklahoma,Big 12,6-2,589,W 26-10 A #23 Missouri,10,2006,18
359,19,<,10,Clemson,ACC,7-2,435,,10,2006,19
360,20,<,21,Georgia Tech,ACC,6-2,402,,10,2006,20
361,21,<,22,Texas A&M,Big 12,8-1,353,,10,2006,21
362,22,<,24,Wake Forest,ACC,7-1,246,W 24-17 A North Carolina,10,2006,24
363,23,<,NR,Virginia Tech,ACC,6-2,188,,10,2006,25
364,24,<,25,Oregon,Pac-10,6-2,167,,10,2006,22
365,25,<,NR,Washington State,Pac-10,6-3,40,W 37-15 A UCLA,10,2006,23
366,RV,<,NR,Tulsa,CUSA,,38,,10,2006,NR
367,RV,<,NR,BYU,MWC,,30,,10,2006,NR
368,RV,<,23,Missouri,Big 12,,25,,10,2006,NR
369,RV,<,20,Nebraska,Big 12,,17,,10,2006,NR
370,RV,<,NR,Maryland,ACC,,13,,10,2006,NR
371,RV,<,NR,Oregon State,Pac-10,,9,,10,2006,NR
372,RV,<,NR,Penn State,Big Ten,,8,,10,2006,NR
373,RV,<,NR,Pittsburgh,Big East,,6,,10,2006,NR
374,RV,<,NR,Iowa,Big Ten,,3,,10,2006,NR
375,RV,<,NR,Alabama,SEC,,2,,10,2006,NR
376,RV,<,NR,Hawaii,WAC,,2,,10,2006,NR
377,RV,<,NR,Oklahoma State,Big 12,,2,,10,2006,NR
378,1,<,1,Ohio State (65),Big Ten,10-0,1625,W 17-10 A Illinois,11,2006,1
379,2,<,2,Michigan,Big Ten,10-0,1554,,11,2006,2
380,3,<,5,Louisville,Big East,8-0,1441,W 44-34 H West Virginia,11,2006,3
381,4,<,4,Texas,Big 12,9-1,1438,,11,2006,5
382,5,<,6,Auburn,SEC,9-1,1320,,11,2006,6
383,6,<,7,Florida,SEC,8-1,1314,,11,2006,4
384,7,<,9,USC,Pac-10,7-1,1173,,11,2006,7
385,8,<,10,California,Pac-10,8-1,1136,,11,2006,8
386,9,<,11,Notre Dame,Ind,8-1,1096,,11,2006,9
387,10,<,3,West Virginia,Big East,7-1,1024,,11,2006,10
388,11,<,12,Arkansas,SEC,8-1,1020,,11,2006,11
389,12,<,13,LSU,SEC,7-2,996,,11,2006,12
390,13,<,8,Tennessee,SEC,7-2,744,,11,2006,16
391,14,<,14,Boise State,WAC,9-0,742,,11,2006,14
392,15,<,15,Rutgers,Big East,8-0,721,,11,2006,13
393,16,<,17,Wisconsin,Big Ten,9-1,689,,11,2006,15
394,17,<,18,Oklahoma,Big 12,7-2,667,W 17-16 A #21 Texas A&M,11,2006,17
395,18,<,22,Wake Forest,ACC,8-1,509,W 21-14 H Boston College,11,2006,19
396,19,<,20,Georgia Tech,ACC,7-2,493,,11,2006,18
397,20,<,23,Virginia Tech,ACC,7-2,333,,11,2006,21
398,21,<,24,Oregon,Pac-10,7-2,308,,11,2006,20
399,22,<,16,Boston College,ACC,7-2,230,,11,2006,22
400,23,<,NR,Maryland,ACC,7-2,178,,11,2006,23
401,24,<,21,Texas A&M,Big 12,8-2,137,,11,2006,25
402,25,<,NR,BYU,MWC,7-2,92,,11,2006,NR
403,RV,<,NR,Nebraska,Big 12,,63,,11,2006,NR
404,RV,<,19,Clemson,ACC,,33,,11,2006,NR
405,RV,<,NR,Oregon State,Pac-10,,33,,11,2006,24
406,RV,<,NR,Hawaii,WAC,,11,,11,2006,NR
407,RV,<,NR,Houston,CUSA,,2,,11,2006,NR
408,RV,<,NR,TCU,MWC,,2,,11,2006,NR
409,RV,<,NR,Tulsa,CUSA,,1,,11,2006,NR
410,RV,<,25,Washington State,Pac-10,,0,,11,2006,NR
411,1,<,1,Ohio State (64),Big Ten,11-0,1624,W 54-10 A Northwestern,12,2006,1
412,2,<,2,Michigan (1),Big Ten,11-0,1561,,12,2006,2
413,3,<,6,Florida,SEC,9-1,1436,,12,2006,4
414,4,<,7,USC,Pac-10,8-1,1433,,12,2006,3
415,5,<,11,Arkansas,SEC,9-1,1331,,12,2006,7
416,6,<,9,Notre Dame,Ind,9-1,1302,,12,2006,5
417,7,<,15,Rutgers,Big East,9-0,1212,,12,2006,6
