,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year,CP
56,3,<,5,Oklahoma (29),Big 7,2-0,1387,W 34-28 H Texas A&M,Week 2Oct 9[4],1950,
57,4,<,7,Texas (9),Southwest,2-0,1217,,Week 2Oct 9[4],1950,
58,5,<,6,Kentucky (11),SEC,4-0,837,,Week 2Oct 9[4],1950,
59,6,<,8,Stanford (4),PCC,3-0,765,,Week 2Oct 9[4],1950,
60,7,<,9,California (2),PCC,3-0,754,,Week 2Oct 9[4],1950,
61,8,<,NR,Maryland (8),Southern,2-1,684,,Week 2Oct 9[4],1950,
62,9,<,NR,Purdue (1),Big Ten,1-1,616,,Week 2Oct 9[4],1950,
63,10,<,1,Notre Dame (1),Ind,1-1,554,L 28-14 H Purdue,Week 2Oct 9[4],1950,
64,11,<,10,Washington (2),PCC,3-0,444,,Week 2Oct 9[4],1950,
65,12,<,NR,Ohio State,Big Ten,1-1,254,,Week 2Oct 9[4],1950,
66,13,<,18,Clemson (4),Southern,3-0,211,,Week 2Oct 9[4],1950,
67,14,<,NR,Tennessee,SEC,2-1,205,,Week 2Oct 9[4],1950,
68,15,<,NR,Rice (1),Southwest,2-0,178,,Week 2Oct 9[4],1950,
69,15,<,NR,Wisconsin,Big Ten,2-0,178,,Week 2Oct 9[4],1950,
70,17,<,16,Cornell (2),Ind,2-0,174,W 26-7 A Syracuse,Week 2Oct 9[4],1950,
71,18,<,19,Michigan,Big Ten,1-1,164,,Week 2Oct 9[4],1950,
72,19,<,NR,Vanderbilt,SEC,3-0,142,W 27-22 A Alabama,Week 2Oct 9[4],1950,
73,20,<,2,Michigan State,Ind,2-1,101,,Week 2Oct 9[4],1950,
74,NR,<,11,North Carolina,Southern,,0,,Week 2Oct 9[4],1950,
75,NR,<,12,Alabama,SEC,,0,,Week 2Oct 9[4],1950,
76,NR,<,13,UCLA,PCC,,0,,Week 2Oct 9[4],1950,
77,NR,<,14,Duke,Southern,,0,,Week 2Oct 9[4],1950,
78,NR,<,15,Illinois,Big Ten,,0,,Week 2Oct 9[4],1950,
79,NR,<,17,Iowa,Big Ten,,0,,Week 2Oct 9[4],1950,
80,NR,<,20,Penn,Ind,,0,,Week 2Oct 9[4],1950,
81,1,<,1,Army (124),Ind,3-0,2427,W 27-6 N #18 Michigan,Week 3Oct 16[5],1950,*1
82,2,<,3,Oklahoma (47),Big 7,3-0,2315,W 14-13 N #4 Texas,Week 3Oct 16[5],1950,*2
83,3,<,2,SMU (63),Southwest,4-0,2312,,Week 3Oct 16[5],1950,*3
84,4,<,5,Kentucky (9),SEC,5-0,1191,,Week 3Oct 16[5],1950,5
85,5,<,7,California (1),PCC,4-0,1120,,Week 3Oct 16[5],1950,4
86,6,<,6,Stanford,PCC,4-0,850,,Week 3Oct 16[5],1950,6
87,7,<,4,Texas,Southwest,2-1,788,,Week 3Oct 16[5],1950,7
88,8,<,8,Maryland (5),Southern,3-1,552,,Week 3Oct 16[5],1950,11
89,9,<,12,Ohio State,Big Ten,2-1,492,,Week 3Oct 16[5],1950,8
90,10,<,11,Washington (5),PCC,4-0,430,,Week 3Oct 16[5],1950,9
91,11,<,10,Notre Dame,Ind,2-1,295,,Week 3Oct 16[5],1950,10
92,12,<,13,Clemson (4),Southern,3-0,285,,Week 3Oct 16[5],1950,14
93,13,<,19,Vanderbilt,SEC,4-0,278,W 20-14 H Mississippi,Week 3Oct 16[5],1950,17
94,14,<,NR,Miami (FL) (14),Ind,3-0,270,,Week 3Oct 16[5],1950,19
95,15,<,15,Rice,Southwest,3-0,255,,Week 3Oct 16[5],1950,16
96,16,<,15,Wisconsin,Big Ten,3-0,246,,Week 3Oct 16[5],1950,15
97,17,<,17,Cornell (2),Ind,3-0,225,W 28-7 A Harvard,Week 3Oct 16[5],1950,13
98,18,<,14,Tennessee,SEC,3-1,144,,Week 3Oct 16[5],1950,12
99,19,<,NR,Wake Forest (1),Southern,3-0-1,115,W 13-7 A North Carolina,Week 3Oct 16[5],1950,RV
100,20,<,NR,Northwestern,Big Ten,3-0,92,,Week 3Oct 16[5],1950,RV
101,NR,<,9,Purdue,Big Ten,,0,,Week 3Oct 16[5],1950,RV
102,NR,<,18,Michigan,Big Ten,,0,,Week 3Oct 16[5],1950,RV
103,NR,<,20,Michigan State,Ind,,0,,Week 3Oct 16[5],1950,RV
104,NR,<,NR,Duke,Southern,,0,,Week 3Oct 16[5],1950,RV
105,NR,<,NR,Georgia,SEC,,0,,Week 3Oct 16[5],1950,18
106,NR,<,NR,Illinois,Big Ten,,0,,Week 3Oct 16[5],1950,RV
107,NR,<,NR,North Carolina,Southern,,0,,Week 3Oct 16[5],1950,RV
108,NR,<,NR,Penn,Ind,,0,,Week 3Oct 16[5],1950,RV
109,NR,<,NR,Princeton,Ind,,0,,Week 3Oct 16[5],1950,RV
110,NR,<,NR,Texas A&M,Southwest,,0,,Week 3Oct 16[5],1950,19
111,NR,<,NR,UCLA,PCC,,0,,Week 3Oct 16[5],1950,RV
112,NR,<,NR,Wyoming,MSAC,,0,,Week 3Oct 16[5],1950,*19
113,1,<,3,SMU (96),Southwest,5-0,2071,W 42-21 A #15 Rice,Week 4Oct 23[6],1950,
114,2,<,1,Army (84),Ind,4-0,1991,W 49-0 A Harvard,Week 4Oct 23[6],1950,
115,3,<,2,Oklahoma (35),Big 7,4-0,1974,W 58-0 H Kansas State,Week 4Oct 23[6],1950,
116,4,<,4,Kentucky (15),SEC,6-0,1286,,Week 4Oct 23[6],1950,
117,5,<,5,California (2),PCC,5-0,1223,,Week 4Oct 23[6],1950,
118,6,<,9,Ohio State (2),Big Ten,3-1,1121,,Week 4Oct 23[6],1950,
119,7,<,7,Texas,Southwest,3-1,782,,Week 4Oct 23[6],1950,
120,8,<,18,Tennessee,SEC,4-1,345,,Week 4Oct 23[6],1950,
121,9,<,20,Northwestern,Big Ten,4-0,333,,Week 4Oct 23[6],1950,
122,10,<,17,Cornell (2),Ind,4-0,313,W 7-0 H Yale,Week 4Oct 23[6],1950,
123,11,<,14,Miami (FL) (8),Ind,4-0,298,,Week 4Oct 23[6],1950,
124,12,<,NR,Illinois (1),Big Ten,3-1,250,,Week 4Oct 23[6],1950,
125,13,<,NR,Texas A&M,Southwest,4-1,169,,Week 4Oct 23[6],1950,
126,14,<,NR,Michigan,Big Ten,2-2,146,,Week 4Oct 23[6],1950,
127,15,<,NR,Michigan State,Ind,4-1,102,,Week 4Oct 23[6],1950,
128,16,<,12,Clemson,Southern,3-0-1,72,,Week 4Oct 23[6],1950,
129,17,<,19,Wake Forest,Southern,4-0-1,67,W 13-0 H George Washington,Week 4Oct 23[6],1950,
130,18,<,NR,UCLA,PCC,3-2,64,,Week 4Oct 23[6],1950,
131,19,<,NR,Indiana,Big Ten,2-1-1,60,W 20-7 H Notre Dame,Week 4Oct 23[6],1950,
132,20,<,NR,Florida (1),SEC,4-1,54,,Week 4Oct 23[6],1950,
133,NR,<,6,Stanford,PCC,,0,,Week 4Oct 23[6],1950,
134,NR,<,8,Maryland,Southern,,0,,Week 4Oct 23[6],1950,
135,NR,<,10,Washington,PCC,,0,,Week 4Oct 23[6],1950,
136,NR,<,11,Notre Dame,Ind,,0,,Week 4Oct 23[6],1950,
137,NR,<,13,Vanderbilt,SEC,,0,,Week 4Oct 23[6],1950,
138,NR,<,15,Rice,Southwest,,0,,Week 4Oct 23[6],1950,
139,NR,<,16,Wisconsin,Big Ten,,0,,Week 4Oct 23[6],1950,
140,1,<,1,SMU (153),Southwest,5-0,2574,DNP,Week 5Oct 30[7],1950,
141,2,<,2,Army (34),Ind,5-0,2184,,Week 5Oct 30[7],1950,
142,3,<,3,Oklahoma (25),Big 7,5-0,2137,W 20-7 A Iowa State,Week 5Oct 30[7],1950,
143,4,<,6,Ohio State (30),Big Ten,4-1,1822,,Week 5Oct 30[7],1950,
144,5,<,4,Kentucky (17),SEC,7-0,1632,,Week 5Oct 30[7],1950,
145,6,<,5,California (2),PCC,6-0,1244,,Week 5Oct 30[7],1950,
146,7,<,7,Texas,Southwest,4-1,1236,,Week 5Oct 30[7],1950,
147,8,<,11,Miami (FL) (12),Ind,5-0,462,,Week 5Oct 30[7],1950,
148,9,<,NR,Princeton (2),Ind,5-0,382,W 27-0 H Cornell,Week 5Oct 30[7],1950,
149,10,<,12,Illinois,Big Ten,4-1,352,,Week 5Oct 30[7],1950,
150,11,<,8,Tennessee,SEC,5-1,331,,Week 5Oct 30[7],1950,
151,12,<,NR,Washington,PCC,5-1,201,,Week 5Oct 30[7],1950,
152,13,<,15,Michigan State,Ind,5-1,180,,Week 5Oct 30[7],1950,
153,14,<,16,Clemson (3),Southern,4-0-1,105,,Week 5Oct 30[7],1950,
154,15,<,NR,Penn,Ind,4-1,88,,Week 5Oct 30[7],1950,
155,16,<,NR,Maryland,Southern,4-2,87,,Week 5Oct 30[7],1950,
156,17,<,20,Florida,SEC,5-1,81,,Week 5Oct 30[7],1950,
157,18,<,NR,Wyoming (2),MSAC,6-0,73,W 44-0 H New Mexico,Week 5Oct 30[7],1950,
158,19,<,18,UCLA,PCC,4-2,59,,Week 5Oct 30[7],1950,
159,20,<,NR,Wisconsin,Big Ten,4-1,53,,Week 5Oct 30[7],1950,
160,NR,<,9,Northwestern,Big Ten,,0,,Week 5Oct 30[7],1950,
161,NR,<,10,Cornell,Ind,,0,,Week 5Oct 30[7],1950,
162,NR,<,13,Texas A&M,Southwest,,0,,Week 5Oct 30[7],1950,
163,NR,<,14,Michigan,Big Ten,,0,,Week 5Oct 30[7],1950,
164,NR,<,17,Wake Forest,Southern,,0,,Week 5Oct 30[7],1950,
165,NR,<,19,Indiana,Big Ten,,0,,Week 5Oct 30[7],1950,
166,1,<,2,Army (88),Ind,6-0,2451,W 28-13 A #15 Penn,Week 6Nov 6[8],1950,
167,2,<,4,Ohio State (94),Big Ten,5-1,2402,,Week 6Nov 6[8],1950,
168,3,<,3,Oklahoma (48),Big 7,6-0,2389,W 27-18 A Colorado,Week 6Nov 6[8],1950,
169,4,<,5,Kentucky (35),SEC,8-0,1920,,Week 6Nov 6[8],1950,
170,5,<,7,Texas (11),Southwest,5-1,1911,,Week 6Nov 6[8],1950,
171,6,<,6,California (14),PCC,7-0,1631,,Week 6Nov 6[8],1950,
172,7,<,1,SMU (2),Southwest,5-1,1488,L 23-20 A #7 Texas,Week 6Nov 6[8],1950,
173,8,<,9,Princeton (4),Ind,6-0,627,W 45-7 H Colgate,Week 6Nov 6[8],1950,
174,9,<,8,Miami (FL) (8),Ind,6-0,602,,Week 6Nov 6[8],1950,
175,10,<,10,Illinois,Big Ten,5-1,570,,Week 6Nov 6[8],1950,
176,11,<,11,Tennessee,SEC,6-1,289,,Week 6Nov 6[8],1950,
177,12,<,13,Michigan State,Ind,6-1,208,,Week 6Nov 6[8],1950,
178,13,<,14,Clemson (7),Southern,5-0-1,175,,Week 6Nov 6[8],1950,
179,14,<,18,Wyoming (2),MSAC,7-0,105,W 14-7 A Idaho,Week 6Nov 6[8],1950,
180,15,<,20,Wisconsin,Big Ten,5-1,61,,Week 6Nov 6[8],1950,
181,16,<,NR,Nebraska,Big 7,4-1-1,43,,Week 6Nov 6[8],1950,
182,17,<,12,Washington,PCC,5-2,31,,Week 6Nov 6[8],1950,
183,18,<,16,Maryland,Southern,5-2,28,,Week 6Nov 6[8],1950,
184,19,<,19,UCLA,PCC,5-2,22,,Week 6Nov 6[8],1950,
185,19,<,NR,Kansas,Big 7,5-2,22,W 39-26 A Utah,Week 6Nov 6[8],1950,
186,19,<,NR,Lehigh,MID3,7-0,22,W 42-13 H Muhlenberg,Week 6Nov 6[8],1950,
187,NR,<,15,Penn,Ind,,0,,Week 6Nov 6[8],1950,
188,NR,<,17,Florida,SEC,,0,,Week 6Nov 6[8],1950,
189,1,<,2,Ohio State (66),Big Ten,6-1,2412,W 19-14 H #15 Wisconsin,Week 7Nov 13[9],1950,
190,2,<,3,Oklahoma (63),Big 7,7-0,2381,W 33-13 A #19 Kansas,Week 7Nov 13[9],1950,
191,3,<,1,Army (72),Ind,7-0,2272,W 51-0 H New Mexico,Week 7Nov 13[9],1950,
192,4,<,6,California (36),PCC,8-0,2126,,Week 7Nov 13[9],1950,
193,5,<,4,Kentucky (43),SEC,9-0,2001,,Week 7Nov 13[9],1950,
194,6,<,5,Texas (10),Southwest,6-1,1653,,Week 7Nov 13[9],1950,
195,7,<,8,Princeton (3),Ind,7-0,958,W 63-26 H Harvard,Week 7Nov 13[9],1950,
196,8,<,10,Illinois (1),Big Ten,6-1,756,,Week 7Nov 13[9],1950,
197,9,<,11,Tennessee,SEC,7-1,395,,Week 7Nov 13[9],1950,
198,10,<,12,Michigan State (3),Ind,7-1,333,,Week 7Nov 13[9],1950,
199,11,<,13,Clemson (7),Southern,6-0-1,260,,Week 7Nov 13[9],1950,
200,12,<,NR,Texas A&M (1),Southwest,6-2,239,,Week 7Nov 13[9],1950,
201,13,<,14,Wyoming (2),MSAC,8-0,164,W 48-0 A BYU,Week 7Nov 13[9],1950,
202,14,<,7,SMU,Southwest,5-2,152,,Week 7Nov 13[9],1950,
203,15,<,15,Wisconsin,Big Ten,6-1,125,,Week 7Nov 13[9],1950,
204,16,<,NR,Wake Forest,Southern,5-1-1,102,W 13-7 A Duke,Week 7Nov 13[9],1950,
205,17,<,9,Miami (FL),Ind,6-0-1,100,,Week 7Nov 13[9],1950,
206,18,<,16,Nebraska (1),Big 7,5-1-1,97,,Week 7Nov 13[9],1950,
207,19,<,17,Washington,PCC,6-2,50,,Week 7Nov 13[9],1950,
208,20,<,NR,Penn,Ind,5-2,41,,Week 7Nov 13[9],1950,
209,NR,<,18,Maryland,Southern,,0,,Week 7Nov 13[9],1950,
210,NR,<,19,Kansas,Big 7,,0,,Week 7Nov 13[9],1950,
211,NR,<,19,Lehigh,MID3,,0,,Week 7Nov 13[9],1950,
212,NR,<,19,UCLA,PCC,,0,,Week 7Nov 13[9],1950,
213,1,<,2,Oklahoma (173),Big 7,8-0,2964,W 41-7 H Missouri,Week 8Nov 20[10],1950,
214,2,<,3,Army (36),Ind,8-0,2438,,Week 8Nov 20[10],1950,
215,3,<,5,Kentucky (55),SEC,10-0,2346,,Week 8Nov 20[10],1950,
216,4,<,4,California (20),PCC,9-0,2188,,Week 8Nov 20[10],1950,
217,5,<,6,Texas (6),Southwest,7-1,1817,,Week 8Nov 20[10],1950,
218,6,<,8,Illinois (14),Big Ten,7-1,1807,,Week 8Nov 20[10],1950,
219,7,<,7,Princeton (8),Ind,8-0,1268,W 47-12 A Yale,Week 8Nov 20[10],1950,
220,8,<,1,Ohio State,Big Ten,6-2,935,L 14-7 A #8 Illinois,Week 8Nov 20[10],1950,
221,9,<,9,Tennessee (2),SEC,8-1,844,,Week 8Nov 20[10],1950,
222,10,<,10,Michigan State (4),Ind,8-1,532,,Week 8Nov 20[10],1950,
223,11,<,11,Clemson (7),Southern,7-0-1,207,,Week 8Nov 20[10],1950,
224,12,<,13,Wyoming (3),MSAC,8-0,147,DNP,Week 8Nov 20[10],1950,
225,13,<,20,Penn,Ind,6-2,129,,Week 8Nov 20[10],1950,
226,14,<,17,Miami (FL) (1),Ind,7-0-1,113,,Week 8Nov 20[10],1950,
227,15,<,14,SMU,Southwest,6-2,109,,Week 8Nov 20[10],1950,
228,16,<,18,Nebraska (2),Big 7,6-1-1,90,,Week 8Nov 20[10],1950,
229,17,<,NR,Alabama,SEC,7-2,71,,Week 8Nov 20[10],1950,
230,18,<,19,Washington,PCC,7-2,58,,Week 8Nov 20[10],1950,
231,19,<,NR,Washington & Lee (1),Southern,7-2,40,,Week 8Nov 20[10],1950,
232,20,<,NR,Loyola Marymount (1),Ind,7-0,24,DNP,Week 8Nov 20[10],1950,
233,NR,<,12,Texas A&M,Southwest,,0,,Week 8Nov 20[10],1950,
234,NR,<,15,Wisconsin,Big Ten,,0,,Week 8Nov 20[10],1950,
235,NR,<,16,Wake Forest,Southern,,0,,Week 8Nov 20[10],1950,
236,1,<,1,Oklahoma (213),Big 7,9-0,2963,W 49-35 H #16 Nebraska,Week 9 (Final)Nov 27[11],1950,
237,2,<,2,Army (38),Ind,8-0,2380,,Week 9 (Final)Nov 27[11],1950,
238,3,<,5,Texas (4),Southwest,8-1,1988,,Week 9 (Final)Nov 27[11],1950,
239,4,<,9,Tennessee (15),SEC,9-1,1806,,Week 9 (Final)Nov 27[11],1950,
240,5,<,4,California (8),PCC,9-0-1,1787,,Week 9 (Final)Nov 27[11],1950,
241,6,<,7,Princeton (6),Ind,9-0,1420,W 13-7 H Dartmouth,Week 9 (Final)Nov 27[11],1950,
242,7,<,3,Kentucky (7),SEC,10-1,1167,,Week 9 (Final)Nov 27[11],1950,
243,8,<,10,Michigan State (3),Ind,8-1,864,,Week 9 (Final)Nov 27[11],1950,
244,9,<,NR,Michigan,Big Ten,5-3-1,493,,Week 9 (Final)Nov 27[11],1950,
245,10,<,11,Clemson (9),Southern,8-0-1,374,,Week 9 (Final)Nov 27[11],1950,
246,11,<,18,Washington (4),PCC,8-2,343,,Week 9 (Final)Nov 27[11],1950,
247,12,<,12,Wyoming (4),MSAC,9-0,297,W 42-12 A Denver,Week 9 (Final)Nov 27[11],1950,
248,13,<,6,Illinois,Big Ten,7-2,275,,Week 9 (Final)Nov 27[11],1950,
249,14,<,8,Ohio State,Big Ten,6-3,243,,Week 9 (Final)Nov 27[11],1950,
250,15,<,14,Miami (FL) (1),Ind,8-0-1,225,,Week 9 (Final)Nov 27[11],1950,
251,16,<,17,Alabama (1),SEC,8-2,221,,Week 9 (Final)Nov 27[11],1950,
252,17,<,16,Nebraska (2),Big 7,6-2-1,96,,Week 9 (Final)Nov 27[11],1950,
253,18,<,19,Washington & Lee (2),Southern,8-2,54,,Week 9 (Final)Nov 27[11],1950,
254,18,<,NR,Tulsa,MVC,8-1-1,54,W 28-13 H Arkansas,Week 9 (Final)Nov 27[11],1950,
255,20,<,NR,Tulane,SEC,6-2,48,W 35-6 H Vanderbilt,Week 9 (Final)Nov 27[11],1950,
256,NR,<,13,Penn,Ind,,0,,Week 9 (Final)Nov 27[11],1950,
257,NR,<,15,SMU,Southwest,,0,,Week 9 (Final)Nov 27[11],1950,
258,NR,<,20,Loyola Marymount,Ind,,0,,Week 9 (Final)Nov 27[11],1950,
