,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,CFP
20,21,<,NR,North Carolina,ACC,0-0,292,20,DNP,PreseasonAug 14[1],2023,
21,22,<,NR,Mississippi,SEC,0-0,281,22,DNP,PreseasonAug 14[1],2023,
22,23,<,NR,Texas A&M,SEC,0-0,227,25,DNP,PreseasonAug 14[1],2023,
23,24,<,9,Tulane,AAC,0-0,224,23,DNP,PreseasonAug 14[1],2023,
24,25,<,NR,Iowa,Big Ten,0-0,131,RV,DNP,PreseasonAug 14[1],2023,
25,RV,<,NR,Texas Tech,Big 12,,101,24,DNP,PreseasonAug 14[1],2023,
26,RV,<,23,South Carolina,SEC,,73,RV,DNP,PreseasonAug 14[1],2023,
27,RV,<,21,UCLA,Pac-12,,66,RV,DNP,PreseasonAug 14[1],2023,
28,RV,<,NR,UTSA,CUSA,,64,RV,DNP,PreseasonAug 14[1],2023,
29,RV,<,NR,Arkansas,SEC,,22,RV,DNP,PreseasonAug 14[1],2023,
30,RV,<,NR,Boise State,MWC,,17,RV,DNP,PreseasonAug 14[1],2023,
31,RV,<,22,Pittsburgh,ACC,,16,RV,DNP,PreseasonAug 14[1],2023,
32,RV,<,NR,Kentucky,SEC,,14,RV,DNP,PreseasonAug 14[1],2023,
33,RV,<,19,Troy,Sun Belt,,10,RV,DNP,PreseasonAug 14[1],2023,
34,RV,<,NR,Kansas,Big 12,,10,RV,DNP,PreseasonAug 14[1],2023,
35,RV,<,NR,Louisville,ACC,,10,NR,DNP,PreseasonAug 14[1],2023,
36,RV,<,NR,Auburn,SEC,,7,RV,DNP,PreseasonAug 14[1],2023,
37,RV,<,NR,Minnesota,Big Ten,,6,RV,DNP,PreseasonAug 14[1],2023,
38,RV,<,20,Mississippi State,SEC,,4,RV,DNP,PreseasonAug 14[1],2023,
39,RV,<,NR,Duke,ACC,,4,RV,DNP,PreseasonAug 14[1],2023,
40,RV,<,NR,Florida,SEC,,4,RV,DNP,PreseasonAug 14[1],2023,
41,RV,<,NR,Toledo,MAC,,4,RV,DNP,PreseasonAug 14[1],2023,
42,RV,<,NR,Baylor,Big 12,,3,RV,DNP,PreseasonAug 14[1],2023,
43,RV,<,NR,Coastal Carolina,Sun Belt,,3,NR,DNP,PreseasonAug 14[1],2023,
44,RV,<,NR,Illinois,Big Ten,,3,RV,DNP,PreseasonAug 14[1],2023,
45,RV,<,NR,James Madison,Sun Belt,,1,RV,DNP,PreseasonAug 14[1],2023,
46,RV,<,NR,Liberty,CUSA,,1,NR,DNP,PreseasonAug 14[1],2023,
47,RV,<,NR,NC State,ACC,,1,RV,DNP,PreseasonAug 14[1],2023,
48,RV,<,NR,South Alabama,Sun Belt,,1,RV,DNP,PreseasonAug 14[1],2023,
49,NR,<,24,Fresno State,MWC,,0,RV,DNP,PreseasonAug 14[1],2023,
50,NR,<,NR,Air Force,MWC,,0,RV,DNP,PreseasonAug 14[1],2023,
51,NR,<,NR,Arizona,Pac-12,,0,RV,DNP,PreseasonAug 14[1],2023,
52,NR,<,NR,BYU,Ind,,0,RV,DNP,PreseasonAug 14[1],2023,
53,NR,<,NR,Houston,AAC,,0,RV,DNP,PreseasonAug 14[1],2023,
54,NR,<,NR,Maryland,Big Ten,,0,RV,DNP,PreseasonAug 14[1],2023,
55,NR,<,NR,Memphis,AAC,,0,RV,DNP,PreseasonAug 14[1],2023,
56,NR,<,NR,Miami (FL),ACC,,0,RV,DNP,PreseasonAug 14[1],2023,
57,NR,<,NR,Missouri,SEC,,0,RV,DNP,PreseasonAug 14[1],2023,
58,NR,<,NR,Oklahoma State,Big 12,,0,RV,DNP,PreseasonAug 14[1],2023,
59,NR,<,NR,SMU,AAC,,0,RV,DNP,PreseasonAug 14[1],2023,
60,NR,<,NR,Wake Forest,ACC,,0,RV,DNP,PreseasonAug 14[1],2023,
61,NR,<,NR,Washington State,Pac-12,,0,RV,DNP,PreseasonAug 14[1],2023,
62,1,<,1,Georgia (58),SEC,1-0,1569,*1,W 48-7 H UT Martin,Week 1Sep 5[2],2023,
63,2,<,2,Michigan (2),Big Ten,1-0,1485,*2,W 30-3 H East Carolina,Week 1Sep 5[2],2023,
64,3,<,4,Alabama,SEC,1-0,1424,*3,W 56-7 H Middle Tennessee,Week 1Sep 5[2],2023,
65,4,<,8,Florida State (3),ACC,1-0,1384,5,W 45-24 N #5 LSU (Camping World Kickoff),Week 1Sep 5[2],2023,
66,5,<,3,Ohio State,Big Ten,1-0,1308,4,W 23-3 A Indiana,Week 1Sep 5[2],2023,
67,6,<,6,USC,Pac-12,2-0,1255,6,W 66-14 H Nevada,Week 1Sep 5[2],2023,
68,7,<,7,Penn State,Big Ten,1-0,1212,7,W 38-15 H West Virginia,Week 1Sep 5[2],2023,
69,8,<,10,Washington,Pac-12,1-0,1107,8,W 56-19 H Boise State,Week 1Sep 5[2],2023,
70,9,<,12,Tennessee,SEC,1-0,975,9,W 49-13 N Virginia,Week 1Sep 5[2],2023,
71,10,<,13,Notre Dame,Ind,2-0,967,11,W 56-3 H Tennessee State,Week 1Sep 5[2],2023,
72,11,<,11,Texas,Big 12,1-0,935,10,W 37-10 H Rice,Week 1Sep 5[2],2023,
73,12,<,14,Utah,Pac-12,1-0,919,12,W 24-11 H Florida,Week 1Sep 5[2],2023,
74,13,<,15,Oregon,Pac-12,1-0,823,13,W 81-7 H Portland State,Week 1Sep 5[2],2023,
75,14,<,5,LSU,SEC,0-1,706,14,L 45-24 N #8 Florida State (Camping World Kickoff),Week 1Sep 5[2],2023,
76,15,<,16,Kansas State,Big 12,1-0,579,15,W 45-0 H Southeast Missouri State,Week 1Sep 5[2],2023,
77,16,<,18,Oregon State,Pac-12,1-0,558,18,W 42-17 A San Jose State,Week 1Sep 5[2],2023,
78,17,<,21,North Carolina,ACC,1-0,551,16,W 31-17 N South Carolina,Week 1Sep 5[2],2023,
79,18,<,20,Oklahoma,Big 12,1-0,426,17,W 73-0 H Arkansas State,Week 1Sep 5[2],2023,
80,19,<,19,Wisconsin,Big Ten,1-0,407,19,W 38-17 H Buffalo,Week 1Sep 5[2],2023,
81,20,<,22,Mississippi,SEC,1-0,379,20,W 73-7 H Mercer,Week 1Sep 5[2],2023,
82,21,<,NR,Duke,ACC,1-0,343,24,W 28-7 H #9 Clemson,Week 1Sep 5[2],2023,
83,22,<,NR,Colorado,Pac-12,1-0,269,25,W 45-42 A #17 TCU,Week 1Sep 5[2],2023,
84,23,<,23,Texas A&M,SEC,1-0,267,23,W 52-10 H New Mexico,Week 1Sep 5[2],2023,
85,24,<,24,Tulane,AAC,1-0,241,22,W 37-17 H South Alabama,Week 1Sep 5[2],2023,
86,25,<,9,Clemson,ACC,0-1,141,21,L 28-7 A Duke,Week 1Sep 5[2],2023,
87,RV,<,25,Iowa,Big Ten,,73,RV,W 24-14 H Utah State,Week 1Sep 5[2],2023,
88,RV,<,NR,UCLA,Pac-12,,55,RV,W 27-13 H Coastal Carolina,Week 1Sep 5[2],2023,
89,RV,<,NR,Arkansas,SEC,,28,RV,W 56-13 H Western Carolina,Week 1Sep 5[2],2023,
90,RV,<,17,TCU,Big 12,,27,RV,L 45-42 H Colorado,Week 1Sep 5[2],2023,
91,RV,<,NR,Kentucky,SEC,,15,RV,W 44-14 H Ball State,Week 1Sep 5[2],2023,
92,RV,<,NR,Pittsburgh,ACC,,8,RV,W 45-7 H Wofford,Week 1Sep 5[2],2023,
93,RV,<,NR,Mississippi State,SEC,,5,RV,W 48-7 H Southeast Louisiana,Week 1Sep 5[2],2023,
94,RV,<,NR,Miami (FL),ACC,,4,RV,W 38-3 H Miami (OH),Week 1Sep 5[2],2023,
95,RV,<,NR,NC State,ACC,,4,RV,W 24-14 A Connecticut,Week 1Sep 5[2],2023,
96,RV,<,NR,Auburn,SEC,,3,RV,W 59-14 H Massachusetts,Week 1Sep 5[2],2023,
97,RV,<,NR,Fresno State,MWC,,3,RV,W 39-35 A Purdue,Week 1Sep 5[2],2023,
98,RV,<,NR,Minnesota,Big Ten,,3,RV,W 13-10 H Nebraska,Week 1Sep 5[2],2023,
99,RV,<,NR,Troy,Sun Belt,,3,RV,W 48-30 H Stephen F. Austin,Week 1Sep 5[2],2023,
100,RV,<,NR,Wyoming,MWC,,3,RV,W 35-33 (2OT) H Texas Tech,Week 1Sep 5[2],2023,
101,RV,<,NR,Iowa State,Big 12,,2,NR,W 30-9 H Northern Iowa,Week 1Sep 5[2],2023,
102,RV,<,NR,Texas State,Sun Belt,,2,NR,W 42-31 A Baylor,Week 1Sep 5[2],2023,
103,RV,<,NR,Houston,AAC,,1,RV,W 17-14 H UTSA,Week 1Sep 5[2],2023,
104,RV,<,NR,Illinois,Big Ten,,1,RV,W 30-28 H Toledo,Week 1Sep 5[2],2023,
105,RV,<,NR,James Madison,Sun Belt,,1,RV,W 38-3 H Bucknell,Week 1Sep 5[2],2023,
106,RV,<,NR,Louisville,ACC,,1,RV,W 39-34 N Georgia Tech,Week 1Sep 5[2],2023,
107,RV,<,NR,Texas Tech,Big 12,,1,RV,L 35-33 (2OT) A Wyoming,Week 1Sep 5[2],2023,
108,RV,<,NR,UCF,AAC,,1,RV,W 56-6 H Kent State,Week 1Sep 5[2],2023,
109,RV,<,NR,Washington State,Pac-12,,1,RV,W 50-24 A Colorado State,Week 1Sep 5[2],2023,
110,NR,<,NR,Air Force,MWC,,0,RV,W 42-7 H Robert Morris,Week 1Sep 5[2],2023,
111,NR,<,NR,Arizona,Pac-12,,0,RV,W 38-3 H Northern Arizona,Week 1Sep 5[2],2023,
112,NR,<,NR,Kansas,Big 12,,0,RV,W 48-17 H Missouri State,Week 1Sep 5[2],2023,
113,NR,<,NR,Maryland,Big Ten,,0,RV,W 38-6 H Towson,Week 1Sep 5[2],2023,
114,NR,<,NR,Memphis,AAC,,0,RV,W 56-14 H Bethune-Cookman,Week 1Sep 5[2],2023,
115,NR,<,NR,Michigan State,Big Ten,,0,RV,W 31-7 H Central Michigan,Week 1Sep 5[2],2023,
116,NR,<,NR,Missouri,SEC,,0,RV,W 35-10 H South Dakota,Week 1Sep 5[2],2023,
117,NR,<,NR,Oklahoma State,Big 12,,0,RV,W 27-13 H Central Arkansas,Week 1Sep 5[2],2023,
118,NR,<,NR,SMU,AAC,,0,RV,W 38-14 H Louisiana Tech,Week 1Sep 5[2],2023,
119,NR,<,NR,South Carolina,SEC,,0,RV,L 31-17 N #21 North Carolina,Week 1Sep 5[2],2023,
120,NR,<,NR,UTSA,CUSA,,0,RV,L 17-14 A Houston,Week 1Sep 5[2],2023,
121,NR,<,NR,Wake Forest,ACC,,0,RV,W 37-17 H Elon,Week 1Sep 5[2],2023,
122,1,<,1,Georgia (55),SEC,2-0,1540,*1,W 45-3 H Ball State,Week 2Sep 10[3],2023,
123,2,<,2,Michigan (2),Big Ten,2-0,1458,*2,W 35-7 H UNLV,Week 2Sep 10[3],2023,
124,3,<,5,Florida State (3),ACC,2-0,1413,3,W 66-13 H Southern Miss,Week 2Sep 10[3],2023,
125,4,<,10,Texas (2),Big 12,2-0,1338,6,W 34-24 A #3 Alabama,Week 2Sep 10[3],2023,
126,5,<,6,USC,Pac-12,3-0,1269,5,W 56-10 H Stanford,Week 2Sep 10[3],2023,
127,6,<,4,Ohio State,Big Ten,2-0,1265,4,W 35-7 H Youngstown State,Week 2Sep 10[3],2023,
128,7,<,7,Penn State,Big Ten,2-0,1204,7,W 63-7 H Delaware,Week 2Sep 10[3],2023,
129,8,<,8,Washington,Pac-12,2-0,1102,8,W 43-10 H Tulsa,Week 2Sep 10[3],2023,
130,9,<,11,Notre Dame,Ind,3-0,1015,11,W 45-24 A NC State,Week 2Sep 10[3],2023,
131,10,<,3,Alabama,SEC,1-1,953,10,L 34-24 H #11 Texas,Week 2Sep 10[3],2023,
132,11,<,9,Tennessee,SEC,2-0,929,9,W 30-13 H Austin Peay,Week 2Sep 10[3],2023,
133,12,<,12,Utah,Pac-12,2-0,847,12,W 20-13 A Baylor,Week 2Sep 10[3],2023,
134,13,<,13,Oregon,Pac-12,2-0,827,13,W 38-30 A Texas Tech,Week 2Sep 10[3],2023,
135,14,<,14,LSU,SEC,1-1,667,14,W 72-10 H Grambling,Week 2Sep 10[3],2023,
136,15,<,15,Kansas State,Big 12,2-0,636,15,W 42-13 H Troy,Week 2Sep 10[3],2023,
137,16,<,18,Oregon State,Pac-12,2-0,605,17,W 55-7 H UC Davis,Week 2Sep 10[3],2023,
138,17,<,20,Mississippi,SEC,2-0,505,19,W 37-20 A #24 Tulane,Week 2Sep 10[3],2023,
139,18,<,25,Colorado,Pac-12,2-0,481,21,W 36-14 H Nebraska,Week 2Sep 10[3],2023,
140,19,<,17,Oklahoma,Big 12,2-0,453,16,W 28-11 H SMU,Week 2Sep 10[3],2023,
141,20,<,16,North Carolina,ACC,2-0,444,18,W 40-34 (2OT) H Appalachian State,Week 2Sep 10[3],2023,
142,21,<,24,Duke,ACC,2-0,421,20,W 42-7 H Lafayette,Week 2Sep 10[3],2023,
143,22,<,NR,Miami (FL),ACC,2-0,230,23,W 48-33 H #23 Texas A&M,Week 2Sep 10[3],2023,
144,23,<,NR,Washington State,Pac-12,2-0,129,RV,W 31-22 H #19 Wisconsin,Week 2Sep 10[3],2023,
145,24,<,NR,UCLA,Pac-12,2-0,107,25,W 35-10 A San Diego State,Week 2Sep 10[3],2023,
146,25,<,NR,Iowa,Big Ten,2-0,106,24,W 20-13 A Iowa State,Week 2Sep 10[3],2023,
147,RV,<,25,Clemson,ACC,,86,22,W 66-17 H Charleston Southern,Week 2Sep 10[3],2023,
148,RV,<,NR,Arkansas,SEC,,33,RV,W 28-6 H Kent State,Week 2Sep 10[3],2023,
149,RV,<,NR,Kansas,Big 12,,19,RV,W 34-23 H Illinois,Week 2Sep 10[3],2023,
150,RV,<,NR,TCU,Big 12,,19,RV,W 41-6 H Nicholls,Week 2Sep 10[3],2023,
151,RV,<,24,Tulane,AAC,,17,RV,L 37-20 H #20 Mississippi,Week 2Sep 10[3],2023,
152,RV,<,19,Wisconsin,Big Ten,,10,RV,L 31-22 A Washington State,Week 2Sep 10[3],2023,
153,RV,<,NR,Kentucky,SEC,,5,RV,W 28-17 H Eastern Kentucky,Week 2Sep 10[3],2023,
154,RV,<,NR,Mississippi State,SEC,,5,RV,W 31-24 (1OT) H Arizona,Week 2Sep 10[3],2023,
155,RV,<,NR,Cincinnati,AAC,,3,RV,W 27-21 A Pittsburgh,Week 2Sep 10[3],2023,
156,RV,<,NR,Minnesota,Big Ten,,3,RV,W 25-6 H Eastern Michigan,Week 2Sep 10[3],2023,
157,RV,<,NR,Fresno State,MWC,,2,RV,W 34-31 (2OT) H Eastern Washington,Week 2Sep 10[3],2023,
158,RV,<,NR,James Madison,Sun Belt,,1,RV,W 36-35 A Virginia,Week 2Sep 10[3],2023,
159,RV,<,NR,Maryland,Big Ten,,1,RV,W 38-20 H Charlotte,Week 2Sep 10[3],2023,
160,RV,<,NR,Oklahoma State,Big 12,,1,RV,W 27-15 A Arizona State,Week 2Sep 10[3],2023,
161,RV,<,NR,Wyoming,MWC,,1,RV,W 31-17 H Portland State,Week 2Sep 10[3],2023,
162,NR,<,23,Texas A&M,SEC,,0,RV,L 48-33 A Miami (FL),Week 2Sep 10[3],2023,
163,NR,<,NR,Air Force,MWC,,0,RV,W 13-3 A Sam Houston,Week 2Sep 10[3],2023,
164,NR,<,NR,Auburn,SEC,,0,RV,W 14-10 A California,Week 2Sep 10[3],2023,
165,NR,<,NR,Louisville,ACC,,0,RV,W 56-0 H Murray State,Week 2Sep 10[3],2023,
166,NR,<,NR,Memphis,AAC,,0,RV,W 37-3 A Arkansas State,Week 2Sep 10[3],2023,
167,NR,<,NR,Michigan State,Big Ten,,0,RV,W 45-14 H Richmond,Week 2Sep 10[3],2023,
168,NR,<,NR,Missouri,SEC,,0,RV,W 23-19 H Middle Tennessee,Week 2Sep 10[3],2023,
169,NR,<,NR,South Carolina,SEC,,0,RV,W 47-21 H Furman,Week 2Sep 10[3],2023,
170,NR,<,NR,Syracuse,ACC,,0,RV,W 48-7 H Western Michigan,Week 2Sep 10[3],2023,
171,NR,<,NR,UCF,AAC,,0,RV,W 18-16 A Boise State,Week 2Sep 10[3],2023,
172,NR,<,NR,Wake Forest,ACC,,0,RV,W 36-20 H Vanderbilt,Week 2Sep 10[3],2023,
173,1,<,1,Georgia (57),SEC,3-0,1566,*1,W 24-14 H South Carolina,Week 3Sep 17[4],2023,
174,2,<,2,Michigan (2),Big Ten,3-0,1481,*2,W 31-6 H Bowling Green,Week 3Sep 17[4],2023,
175,3,<,4,Texas (3),Big 12,3-0,1380,6,W 31-10 H Wyoming,Week 3Sep 17[4],2023,
176,4,<,3,Florida State (1),ACC,3-0,1378,3,W 31-29 A Boston College,Week 3Sep 17[4],2023,
177,5,<,5,USC,Pac-12,3-0,1296,5,DNP,Week 3Sep 17[4],2023,
178,6,<,6,Ohio State,Big Ten,3-0,1291,*4,W 63-10 H Western Kentucky,Week 3Sep 17[4],2023,
179,7,<,7,Penn State,Big Ten,3-0,1217,7,W 30-13 A Illinois,Week 3Sep 17[4],2023,
180,8,<,8,Washington,Pac-12,3-0,1194,8,W 41-7 A Michigan State,Week 3Sep 17[4],2023,
181,9,<,9,Notre Dame,Ind,4-0,1066,9,W 41-17 H Central Michigan,Week 3Sep 17[4],2023,
182,10,<,13,Oregon,Pac-12,3-0,942,11,W 55-10 H Hawaii,Week 3Sep 17[4],2023,
183,11,<,12,Utah,Pac-12,3-0,921,10,W 31-7 H Weber State,Week 3Sep 17[4],2023,
184,12,<,14,LSU,SEC,2-1,805,13,W 41-14 A Mississippi State,Week 3Sep 17[4],2023,
185,13,<,10,Alabama,SEC,2-1,796,12,W 17-3 A South Florida,Week 3Sep 17[4],2023,
186,14,<,16,Oregon State,Pac-12,3-0,715,15,W 26-9 H San Diego State,Week 3Sep 17[4],2023,
187,15,<,17,Mississippi,SEC,3-0,657,16,W 48-23 H Georgia Tech,Week 3Sep 17[4],2023,
188,16,<,19,Oklahoma,Big 12,3-0,606,14,W 66-17 A Tulsa,Week 3Sep 17[4],2023,
189,17,<,20,North Carolina,ACC,3-0,567,17,W 31-13 H Minnesota,Week 3Sep 17[4],2023,
190,18,<,21,Duke,ACC,3-0,530,18,W 38-14 H Northwestern,Week 3Sep 17[4],2023,
191,19,<,18,Colorado,Pac-12,3-0,509,19,W 43-35 (2OT) H Colorado State,Week 3Sep 17[4],2023,
192,20,<,22,Miami (FL),ACC,3-0,359,21,W 48-7 H Bethune-Cookman,Week 3Sep 17[4],2023,
193,21,<,23,Washington State,Pac-12,3-0,278,24,W 64-21 H Northern Colorado,Week 3Sep 17[4],2023,
194,22,<,24,UCLA,Pac-12,3-0,204,25,W 59-7 H North Carolina Central,Week 3Sep 17[4],2023,
195,23,<,11,Tennessee,SEC,2-1,198,20,L 29-16 A Florida,Week 3Sep 17[4],2023,
196,24,<,25,Iowa,Big Ten,3-0,125,22,W 41-10 H Western Michigan,Week 3Sep 17[4],2023,
197,25,<,NR,Florida,SEC,2-1,103,RV,W 29-16 H #11 Tennessee,Week 3Sep 17[4],2023,
198,RV,<,NR,Clemson,ACC,,76,23,W 48-14 H Florida Atlantic,Week 3Sep 17[4],2023,
199,RV,<,NR,Missouri,SEC,,72,RV,W 30-27 H #15 Kansas State,Week 3Sep 17[4],2023,
200,RV,<,15,Kansas State,Big 12,,54,RV,L 30-27 A Missouri,Week 3Sep 17[4],2023,
201,RV,<,NR,TCU,Big 12,,21,RV,W 36-13 A Houston,Week 3Sep 17[4],2023,
202,RV,<,NR,Fresno State,MWC,,17,RV,W 29-0 A Arizona State,Week 3Sep 17[4],2023,
203,RV,<,NR,Kansas,Big 12,,15,RV,W 31-24 A Nevada,Week 3Sep 17[4],2023,
204,RV,<,NR,Tulane,AAC,,13,RV,W 21-3 A Southern Miss,Week 3Sep 17[4],2023,
205,RV,<,NR,Kentucky,SEC,,10,RV,W 35-3 H Akron,Week 3Sep 17[4],2023,
206,RV,<,NR,Maryland,Big Ten,,4,RV,W 42-14 H Virginia,Week 3Sep 17[4],2023,
207,RV,<,NR,BYU,Big 12,,3,RV,W 38-31 A Arkansas,Week 3Sep 17[4],2023,
208,RV,<,NR,Syracuse,ACC,,2,RV,W 35-20 A Purdue,Week 3Sep 17[4],2023,
209,RV,<,NR,Wisconsin,Big Ten,,2,NR,W 35-14 H Georgia Southern,Week 3Sep 17[4],2023,
210,RV,<,NR,Auburn,SEC,,1,RV,W 45-13 H Samford,Week 3Sep 17[4],2023,
211,RV,<,NR,Louisville,ACC,,1,RV,W 21-14 A Indiana,Week 3Sep 17[4],2023,
212,NR,<,NR,Air Force,MWC,,0,RV,W 39-21 H Utah State,Week 3Sep 17[4],2023,
213,NR,<,NR,Arkansas,SEC,,0,RV,L 38-31 H BYU,Week 3Sep 17[4],2023,
214,NR,<,NR,James Madison,Sun Belt,,0,RV,W 16-14 A Troy,Week 3Sep 17[4],2023,
215,NR,<,NR,Memphis,AAC,,0,RV,W 28-24 H Navy,Week 3Sep 17[4],2023,
216,NR,<,NR,Ohio,MAC,,0,RV,W 10-7 H Iowa State,Week 3Sep 17[4],2023,
217,NR,<,NR,Texas A&M,SEC,,0,RV,W 47-3 H Louisiana-Monroe,Week 3Sep 17[4],2023,
218,NR,<,NR,UCF,Big 12,,0,RV,W 48-14 H Villanova,Week 3Sep 17[4],2023,
219,NR,<,NR,Wake Forest,ACC,,0,RV,W 27-24 A Old Dominion,Week 3Sep 17[4],2023,
220,NR,<,NR,Wyoming,MWC,,0,RV,L 31-10 A Texas,Week 3Sep 17[4],2023,
221,1,<,1,Georgia (55),SEC,4-0,1562,*1,W 49-21 H UAB,Week 4Sep 24[5],2023,
222,2,<,2,Michigan (1),Big Ten,4-0,1445,2,W 31-7 H Rutgers,Week 4Sep 24[5],2023,
223,3,<,3,Texas (2),Big 12,4-0,1401,5,W 38-6 A Baylor,Week 4Sep 24[5],2023,
224,4,<,6,Ohio State (1),Big Ten,4-0,1370,*3,W 17-14 A #9 Notre Dame,Week 4Sep 24[5],2023,
225,5,<,4,Florida State (3),ACC,4-0,1366,4,W 31-24 (1OT) A Clemson,Week 4Sep 24[5],2023,
226,6,<,7,Penn State,Big Ten,4-0,1244,7,W 31-0 H #24 Iowa,Week 4Sep 24[5],2023,
227,7,<,8,Washington (1),Pac-12,4-0,1228,*8,W 59-32 H California,Week 4Sep 24[5],2023,
228,8,<,5,USC,Pac-12,4-0,1169,6,W 42-28 A Arizona State,Week 4Sep 24[5],2023,
229,9,<,10,Oregon,Pac-12,4-0,1076,9,W 42-6 H #19 Colorado,Week 4Sep 24[5],2023,
230,10,<,11,Utah,Pac-12,4-0,981,10,W 14-7 H #22 UCLA,Week 4Sep 24[5],2023,
231,11,<,9,Notre Dame,Ind,4-1,904,13,L 17-14 H #6 Ohio State,Week 4Sep 24[5],2023,
232,12,<,13,Alabama,SEC,3-1,862,11,W 24-10 H #15 Mississippi,Week 4Sep 24[5],2023,
233,13,<,12,LSU,SEC,3-1,813,12,W 34-31 H Arkansas,Week 4Sep 24[5],2023,
234,14,<,16,Oklahoma,Big 12,4-0,716,14,W 20-6 A Cincinnati,Week 4Sep 24[5],2023,
235,15,<,17,North Carolina,ACC,4-0,659,15,W 41-24 A Pittsburgh,Week 4Sep 24[5],2023,
236,16,<,21,Washington State,Pac-12,4-0,652,17,W 38-35 H #14 Oregon State,Week 4Sep 24[5],2023,
237,17,<,18,Duke,ACC,4-0,648,16,W 41-7 A Connecticut,Week 4Sep 24[5],2023,
238,18,<,20,Miami (FL),ACC,4-0,523,18,W 41-7 A Temple,Week 4Sep 24[5],2023,
239,19,<,14,Oregon State,Pac-12,3-1,366,21,L 38-35 A #21 Washington State,Week 4Sep 24[5],2023,
240,20,<,15,Mississippi,SEC,3-1,349,20,L 24-10 A #13 Alabama,Week 4Sep 24[5],2023,
241,21,<,23,Tennessee,SEC,3-1,260,19,W 45-14 H UTSA,Week 4Sep 24[5],2023,
242,22,<,25,Florida,SEC,3-1,220,23,W 22-7 H Charlotte,Week 4Sep 24[5],2023,
243,23,<,NR,Missouri,SEC,4-0,197,22,W 34-27 H Memphis,Week 4Sep 24[5],2023,
244,24,<,NR,Kansas,Big 12,4-0,132,24,W 38-27 H BYU,Week 4Sep 24[5],2023,
245,25,<,NR,Fresno State,MWC,4-0,64,RV,W 53-10 H Kent State,Week 4Sep 24[5],2023,
246,RV,<,NR,Kansas State,Big 12,,57,25,W 44-31 H UCF,Week 4Sep 24[5],2023,
247,RV,<,NR,Kentucky,SEC,,41,RV,W 45-28 A Vanderbilt,Week 4Sep 24[5],2023,
248,RV,<,19,Colorado,Pac-12,,32,RV,L 42-6 A #10 Oregon,Week 4Sep 24[5],2023,
249,RV,<,NR,Louisville,ACC,,32,RV,W 56-28 H Boston College,Week 4Sep 24[5],2023,
250,RV,<,22,UCLA,Pac-12,,28,RV,L 14-7 A #11 Utah,Week 4Sep 24[5],2023,
251,RV,<,NR,Maryland,Big Ten,,20,RV,W 31-9 A Michigan State,Week 4Sep 24[5],2023,
252,RV,<,NR,TCU,Big 12,,17,RV,W 34-17 H SMU,Week 4Sep 24[5],2023,
253,RV,<,NR,Tulane,AAC,,11,RV,W 36-7 H Nicholls,Week 4Sep 24[5],2023,
254,RV,<,NR,Syracuse,ACC,,8,RV,W 29-16 H Army,Week 4Sep 24[5],2023,
255,RV,<,NR,Air Force,MWC,,6,RV,W 45-20 A San Jose State,Week 4Sep 24[5],2023,
256,RV,<,NR,Wisconsin,Big Ten,,6,NR,W 38-17 A Purdue,Week 4Sep 24[5],2023,
257,RV,<,NR,Clemson,ACC,,5,RV,L 31-24 (1OT) H #4 Florida State,Week 4Sep 24[5],2023,
