,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
158,NR,<,16,Mississippi State,SEC,,0.0,,Week 7Nov 20[7],1944
159,NR,<,20,Yale,Ind,,0.0,,Week 7Nov 20[7],1944
160,1,<,1,Army (55.33),Ind,8-0,737.0,DNP,Week 8Nov 27[8],1944
161,2,<,2,Navy (1),Ind,6-2,624.0,,Week 8Nov 27[8],1944
162,3,<,3,Ohio State (18),Big Ten,9-0,507.0,,Week 8Nov 27[8],1944
163,3,<,4,Randolph Field (5.33),Ind,9-0,507.0,,Week 8Nov 27[8],1944
164,5,<,5,Bainbridge Naval (11.33),Ind,9-0,362.0,,Week 8Nov 27[8],1944
165,6,<,7,Iowa Pre-Flight (1),Ind,10-1,271.0,,Week 8Nov 27[8],1944
166,7,<,8,USC,PCC,7-0-2,237.0,,Week 8Nov 27[8],1944
167,8,<,6,Michigan,Big Ten,8-2,232.0,,Week 8Nov 27[8],1944
168,9,<,18,Notre Dame,Ind,7-2,127.0,,Week 8Nov 27[8],1944
169,10,<,15,Tennessee,SEC,7-0-1,101.0,,Week 8Nov 27[8],1944
170,11,<,11,Duke,Southern,5-4,98.0,,Week 8Nov 27[8],1944
171,12,<,12,Great Lakes Naval,Ind,8-1,79.0,,Week 8Nov 27[8],1944
172,13,<,17,Norman Pre-Flight,Ind,6-0,54.0,,Week 8Nov 27[8],1944
173,14,<,9,March Field/4th AF,Ind,7-0-2,44.0,,Week 8Nov 27[8],1944
174,15,<,NR,Oklahoma State,MVC,7-1,33.0,W 28-6 N Oklahoma,Week 8Nov 27[8],1944
175,16,<,13,Alabama,SEC,5-1-2,26.0,,Week 8Nov 27[8],1944
176,17,<,14,Camp Peary,Ind,6-2,19.0,,Week 8Nov 27[8],1944
177,18,<,16,El Toro Marines,Ind,7-1,11.0,,Week 8Nov 27[8],1944
178,18,<,NR,Yale,Ind,7-0-1,11.0,T 6-6 H Virginia,Week 8Nov 27[8],1944
179,20,<,19,2nd Air Force,Ind,8-2-1,7.0,,Week 8Nov 27[8],1944
180,NR,<,10,Georgia Tech,SEC,,0.0,,Week 8Nov 27[8],1944
181,NR,<,20,North Carolina Pre-Flight,Ind,,0.0,,Week 8Nov 27[8],1944
182,1,<,1,Army (95),Ind,9-0,1165.0,W 23-7 N #2 Navy,Week 9 (Final)Dec 4[9],1944
183,2,<,3,Ohio State (5),Big Ten,9-0,941.0,,Week 9 (Final)Dec 4[9],1944
184,3,<,3,Randolph Field (17),Ind,9-0,886.0,,Week 9 (Final)Dec 4[9],1944
185,4,<,2,Navy,Ind,6-3,713.0,L 23-7 N #1 Army,Week 9 (Final)Dec 4[9],1944
186,5,<,5,Bainbridge Naval (3),Ind,10-0,543.0,,Week 9 (Final)Dec 4[9],1944
187,6,<,6,Iowa Pre-Flight (1),Ind,10-1,451.0,,Week 9 (Final)Dec 4[9],1944
188,7,<,7,USC,PCC,7-0-2,427.0,,Week 9 (Final)Dec 4[9],1944
189,8,<,8,Michigan,Big Ten,8-2,388.0,,Week 9 (Final)Dec 4[9],1944
190,9,<,9,Notre Dame,Ind,8-2,355.0,,Week 9 (Final)Dec 4[9],1944
191,10,<,14,March Field/4th AF,Ind,7-0-2,154.0,,Week 9 (Final)Dec 4[9],1944
192,11,<,11,Duke,Southern,6-4,149.0,,Week 9 (Final)Dec 4[9],1944
193,12,<,10,Tennessee,SEC,7-0-1,132.0,,Week 9 (Final)Dec 4[9],1944
194,13,<,13,Norman Pre-Flight,Ind,6-0,60.0,,Week 9 (Final)Dec 4[9],1944
195,13,<,NR,Georgia Tech,SEC,8-2,60.0,,Week 9 (Final)Dec 4[9],1944
196,15,<,NR,Illinois,Big Ten,5-4-1,57.0,,Week 9 (Final)Dec 4[9],1944
197,16,<,18,El Toro Marines,Ind,7-1,35.0,,Week 9 (Final)Dec 4[9],1944
198,17,<,12,Great Lakes Naval,Ind,8-2,33.0,,Week 9 (Final)Dec 4[9],1944
199,18,<,NR,Fort Pierce Naval,Ind,8-0,32.0,,Week 9 (Final)Dec 4[9],1944
200,19,<,NR,St. Mary's Pre-Flight,Ind,5-3,31.0,,Week 9 (Final)Dec 4[9],1944
201,20,<,20,2nd Air Force,Ind,8-2-1,27.0,,Week 9 (Final)Dec 4[9],1944
202,NR,<,15,Oklahoma State,MVC,7-1,0.0,DNP,Week 9 (Final)Dec 4[9],1944
203,NR,<,16,Alabama,SEC,,0.0,,Week 9 (Final)Dec 4[9],1944
204,NR,<,17,Camp Peary,Ind,,0.0,,Week 9 (Final)Dec 4[9],1944
205,NR,<,18,Yale,Ind,,0.0,,Week 9 (Final)Dec 4[9],1944
