,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,BCS
134,RV,<,NR,Northern Illinois,MAC,1-0,21,RV,DNP,Week 2Sep 8[4],2013,
135,RV,<,NR,Virginia Tech,ACC,1-1,15,RV,W 45-3 H Western Carolina,Week 2Sep 8[4],2013,
136,RV,<,NR,BYU,Ind,1-1,14,RV,W 40-21 H #15 Texas,Week 2Sep 8[4],2013,
137,RV,<,NR,Georgia Tech,ACC,1-0,10,RV,DNP,Week 2Sep 8[4],2013,
138,RV,<,NR,Arizona,Pac-12,2-0,9,RV,W 58-13 A UNLV,Week 2Sep 8[4],2013,
139,RV,<,NR,Illinois,Big Ten,2-0,9,RV,W 45-17 H Cincinnati,Week 2Sep 8[4],2013,
140,RV,<,NR,Bowling Green,MAC,2-0,7,RV,W 41-22 A Kent State,Week 2Sep 8[4],2013,
141,RV,<,NR,Penn State,Big Ten,2-0,7,NR,W 45-7 H Eastern Michigan,Week 2Sep 8[4],2013,
142,RV,<,NR,Boise State,MWC,1-1,3,RV,W 63-14 H Tennessee-Martin,Week 2Sep 8[4],2013,
143,RV,<,NR,Tennessee,SEC,2-0,1,RV,W 52-20 H Western Kentucky,Week 2Sep 8[4],2013,
144,NR,<,25,USC,Pac-12,1-1,0,RV,L 10-7 H Washington State,Week 2Sep 8[4],2013,
145,NR,<,NR,Arkansas,SEC,2-0,0,RV,W 31-21 H Samford,Week 2Sep 8[4],2013,
146,NR,<,NR,Boston College,ACC,2-0,0,RV,W 24-10 H Wake Forest,Week 2Sep 8[4],2013,
147,NR,<,NR,East Carolina,CUSA,2-0,0,RV,W 31-13 H Florida Atlantic,Week 2Sep 8[4],2013,
148,NR,<,NR,Kansas State,Big 12,1-1,0,RV,W 48-27 H Louisiana-Lafayette,Week 2Sep 8[4],2013,
149,NR,<,NR,Rutgers,AAC,1-1,0,RV,W 38-0 H Norfolk State,Week 2Sep 8[4],2013,
150,NR,<,NR,Texas Tech,Big 12,2-0,0,RV,W 61-13 H Stephen F. Austin,Week 2Sep 8[4],2013,
151,NR,<,NR,UCF,AAC,2-0,0,RV,W 38-0 A FIU,Week 2Sep 8[4],2013,
152,NR,<,NR,Utah,Pac-12,2-0,0,RV,W 70-7 H Weber State,Week 2Sep 8[4],2013,
153,NR,<,NR,Utah State,MWC,1-1,0,RV,W 52-20 A Air Force,Week 2Sep 8[4],2013,
154,1,<,1,Alabama (59),SEC,2-0,1499,*1,W 49-42 A #6 Texas A&M,Week 3Sep 15[5],2013,
155,2,<,2,Oregon (1),Pac-12,3-0,1413,*2,W 59-14 H Tennessee,Week 3Sep 15[5],2013,
156,3,<,3,Clemson,ACC,2-0,1347,4,DNP,Week 3Sep 15[5],2013,
157,4,<,4,Ohio State,Big Ten,3-0,1330,3,W 52-34 A California,Week 3Sep 15[5],2013,
158,5,<,5,Stanford,Pac-12,2-0,1241,5,W 34-20 A Army,Week 3Sep 15[5],2013,
159,6,<,8,LSU,SEC,3-0,1134,7,W 45-13 H Kent State,Week 3Sep 15[5],2013,
160,7,<,7,Louisville,AAC,3-0,1092,6,W 27-13 A Kentucky,Week 3Sep 15[5],2013,
161,8,<,10,Florida State,ACC,2-0,1058,8,W 62-7 H Nevada,Week 3Sep 15[5],2013,
162,9,<,9,Georgia,SEC,1-1,1051,10,DNP,Week 3Sep 15[5],2013,
163,10,<,6,Texas A&M,SEC,2-1,1001,9,L 49-42 H #1 Alabama,Week 3Sep 15[5],2013,
164,11,<,12,Oklahoma State,Big 12,3-0,848,11,W 59-3 H Lamar,Week 3Sep 15[5],2013,
165,12,<,13,South Carolina,SEC,2-1,821,13,W 35-25 H Vanderbilt,Week 3Sep 15[5],2013,
166,13,<,16,UCLA,Pac-12,2-0,757,15,W 41-21 A #23 Nebraska,Week 3Sep 15[5],2013,
167,14,<,14,Oklahoma,Big 12,3-0,692,12,W 51-20 H Tulsa,Week 3Sep 15[5],2013,
168,15,<,11,Michigan,Big Ten,3-0,672,14,W 28-24 H Akron,Week 3Sep 15[5],2013,
169,16,<,15,Miami (FL),ACC,2-0,641,17,DNP,Week 3Sep 15[5],2013,
170,17,<,19,Washington,Pac-12,2-0,496,20,W 34-24 N Illinois,Week 3Sep 15[5],2013,
171,18,<,17,Northwestern,Big Ten,3-0,487,16,W 38-17 H Western Michigan,Week 3Sep 15[5],2013,
172,19,<,18,Florida,SEC,1-1,412,18,DNP,Week 3Sep 15[5],2013,
173,20,<,22,Baylor,Big 12,2-0,355,19,DNP,Week 3Sep 15[5],2013,
174,21,<,25,Mississippi,SEC,3-0,300,22,W 44-23 A Texas,Week 3Sep 15[5],2013,
175,22,<,21,Notre Dame,Ind,2-1,277,21,W 31-24 A Purdue,Week 3Sep 15[5],2013,
176,23,<,NR,Arizona State,Pac-12,2-0,229,23,W 32-30 H #20 Wisconsin,Week 3Sep 15[5],2013,
177,24,<,20,Wisconsin,Big Ten,2-1,87,RV,L 32-30 A Arizona State,Week 3Sep 15[5],2013,
178,25,<,NR,Texas Tech,Big 12,3-0,60,RV,W 20-10 H #24 TCU,Week 3Sep 15[5],2013,
179,RV,<,NR,Michigan State,Big Ten,3-0,59,24,W 55-17 H Youngstown State,Week 3Sep 15[5],2013,
180,RV,<,NR,Fresno State,MWC,2-0,27,25,DNP,Week 3Sep 15[5],2013,
181,RV,<,NR,UCF,AAC,3-0,25,RV,W 34-31 A Penn State,Week 3Sep 15[5],2013,
182,RV,<,NR,Northern Illinois,MAC,2-0,24,RV,W 45-35 A Idaho,Week 3Sep 15[5],2013,
183,RV,<,NR,Georgia Tech,ACC,2-0,17,RV,W 38-14 A Duke,Week 3Sep 15[5],2013,
184,RV,<,23,Nebraska,Big Ten,2-1,15,RV,L 41-21 H #16 UCLA,Week 3Sep 15[5],2013,
185,RV,<,NR,Arizona,Pac-12,3-0,11,RV,W 38-13 H UTSA,Week 3Sep 15[5],2013,
186,RV,<,NR,Auburn,SEC,3-0,9,RV,W 24-20 H Mississippi State,Week 3Sep 15[5],2013,
187,RV,<,NR,Boise State,MWC,2-1,4,RV,W 42-20 H Air Force,Week 3Sep 15[5],2013,
188,RV,<,24,TCU,Big 12,1-2,3,NR,L 20-10 A Texas Tech,Week 3Sep 15[5],2013,
189,RV,<,NR,Virginia Tech,ACC,2-1,3,RV,W 15-10 A East Carolina,Week 3Sep 15[5],2013,
190,RV,<,NR,Arkansas,SEC,3-0,2,RV,W 24-3 H Southern Miss,Week 3Sep 15[5],2013,
191,RV,<,NR,Navy,Ind,2-0,1,NR,W 51-7 H Delaware,Week 3Sep 15[5],2013,
192,NR,<,NR,BYU,Ind,1-1,0,RV,DNP,Week 3Sep 15[5],2013,
193,NR,<,NR,Kansas State,Big 12,2-1,0,RV,W 37-7 H Massachusetts,Week 3Sep 15[5],2013,
194,NR,<,NR,Rutgers,AAC,2-1,0,RV,W 28-10 H Eastern Michigan,Week 3Sep 15[5],2013,
195,NR,<,NR,USC,Pac-12,2-1,0,RV,W 35-7 H Boston College,Week 3Sep 15[5],2013,
196,NR,<,NR,Utah State,MWC,2-1,0,RV,W 70-6 H Weber State,Week 3Sep 15[5],2013,
197,1,<,1,Alabama (56),SEC,3-0,1496,*1,W 31-6 H Colorado State,Week 4Sep 22[6],2013,
198,2,<,2,Oregon (4),Pac-12,3-0,1418,*2,DNP,Week 4Sep 22[6],2013,
199,3,<,3,Clemson,ACC,3-0,1340,4,W 26-14 A NC State,Week 4Sep 22[6],2013,
200,4,<,4,Ohio State,Big Ten,4-0,1320,3,W 76-0 H Florida A&M,Week 4Sep 22[6],2013,
201,5,<,5,Stanford,Pac-12,3-0,1270,5,W 42-28 H #23 Arizona State,Week 4Sep 22[6],2013,
202,6,<,6,LSU,SEC,4-0,1167,6,W 35-21 H Auburn,Week 4Sep 22[6],2013,
203,7,<,7,Louisville,AAC,4-0,1088,7,W 72-0 H FIU,Week 4Sep 22[6],2013,
204,8,<,8,Florida State,ACC,3-0,1049,8,W 54-6 H Bethune-Cookman,Week 4Sep 22[6],2013,
205,9,<,9,Georgia,SEC,2-1,1029,10,W 45-21 H North Texas,Week 4Sep 22[6],2013,
206,10,<,10,Texas A&M,SEC,3-1,1011,9,W 42-13 H SMU,Week 4Sep 22[6],2013,
207,11,<,11,Oklahoma State,Big 12,3-0,849,11,DNP,Week 4Sep 22[6],2013,
208,12,<,12,South Carolina,SEC,2-1,828,13,DNP,Week 4Sep 22[6],2013,
209,13,<,13,UCLA,Pac-12,3-0,798,14,W 59-13 H New Mexico State,Week 4Sep 22[6],2013,
210,14,<,14,Oklahoma,Big 12,3-0,689,12,DNP,Week 4Sep 22[6],2013,
211,15,<,16,Miami (FL),ACC,3-0,687,15,W 77-7 H Savannah State,Week 4Sep 22[6],2013,
212,16,<,17,Washington,Pac-12,3-0,559,20,W 56-0 H Idaho State,Week 4Sep 22[6],2013,
213,17,<,18,Northwestern,Big Ten,4-0,477,16,W 35-21 H Maine,Week 4Sep 22[6],2013,
214,18,<,15,Michigan,Big Ten,4-0,450,17,W 24-21 A Connecticut,Week 4Sep 22[6],2013,
215,19,<,20,Baylor,Big 12,3-0,441,18,W 70-7 H Louisiana-Monroe,Week 4Sep 22[6],2013,
216,20,<,19,Florida,SEC,2-1,414,19,W 31-17 H Tennessee,Week 4Sep 22[6],2013,
217,21,<,21,Mississippi,SEC,3-0,342,21,DNP,Week 4Sep 22[6],2013,
218,22,<,22,Notre Dame,Ind,3-1,256,22,W 17-13 H Michigan State,Week 4Sep 22[6],2013,
219,23,<,24,Wisconsin,Big Ten,3-1,130,24,W 41-10 H Purdue,Week 4Sep 22[6],2013,
220,24,<,25,Texas Tech,Big 12,4-0,127,25,W 33-7 H Texas State,Week 4Sep 22[6],2013,
221,25,<,NR,Fresno State,MWC,3-0,110,23,W 41-40 H Boise State,Week 4Sep 22[6],2013,
222,RV,<,23,Arizona State,Pac-12,2-1,41,RV,L 42-28 A #5 Stanford,Week 4Sep 22[6],2013,
223,RV,<,NR,Georgia Tech,ACC,3-0,30,RV,W 28-20 H North Carolina,Week 4Sep 22[6],2013,
224,RV,<,NR,Maryland,ACC,4-0,24,RV,W 37-0 H West Virginia,Week 4Sep 22[6],2013,
225,RV,<,NR,UCF,AAC,3-0,19,RV,DNP,Week 4Sep 22[6],2013,
226,RV,<,NR,Nebraska,Big Ten,3-1,13,RV,W 59-20 H South Dakota State,Week 4Sep 22[6],2013,
227,RV,<,NR,Northern Illinois,MAC,3-0,9,RV,W 43-39 H Eastern Illinois,Week 4Sep 22[6],2013,
228,RV,<,NR,Arizona,Pac-12,3-0,8,RV,DNP,Week 4Sep 22[6],2013,
229,RV,<,NR,Virginia Tech,ACC,3-1,4,RV,W 29-21 (1OT) H Marshall,Week 4Sep 22[6],2013,
230,RV,<,NR,Michigan State,Big Ten,3-1,3,RV,L 17-13 A #22 Notre Dame,Week 4Sep 22[6],2013,
231,RV,<,NR,Missouri,SEC,3-0,2,RV,W 45-28 A Indiana,Week 4Sep 22[6],2013,
232,RV,<,NR,Navy,Ind,2-0,1,NR,DNP,Week 4Sep 22[6],2013,
233,RV,<,NR,Rutgers,AAC,3-1,1,RV,W 28-24 H Arkansas,Week 4Sep 22[6],2013,
234,NR,<,NR,Minnesota,Big Ten,4-0,0,RV,W 43-24 H San Jose State,Week 4Sep 22[6],2013,
235,NR,<,NR,Texas,Big 12,2-2,0,RV,W 31-21 H Kansas State,Week 4Sep 22[6],2013,
236,NR,<,NR,Utah,Pac-12,3-1,0,RV,W 20-13 A BYU,Week 4Sep 22[6],2013,
237,1,<,1,Alabama (55),SEC,4-0,1495,*1,W 25-0 H #21 Mississippi,Week 5Sep 29[7],2013,
238,2,<,2,Oregon (5),Pac-12,4-0,1422,*2,W 55-16 H California,Week 5Sep 29[7],2013,
239,3,<,3,Clemson,ACC,4-0,1354,*4,W 56-7 H Wake Forest,Week 5Sep 29[7],2013,
240,4,<,4,Ohio State,Big Ten,5-0,1305,3,W 31-24 H #23 Wisconsin,Week 5Sep 29[7],2013,
241,5,<,5,Stanford,Pac-12,4-0,1280,5,W 55-17 A Washington State,Week 5Sep 29[7],2013,
242,6,<,9,Georgia,SEC,3-1,1171,6,W 44-41 H #6 LSU,Week 5Sep 29[7],2013,
243,7,<,7,Louisville,AAC,4-0,1091,7,DNP,Week 5Sep 29[7],2013,
244,8,<,8,Florida State,ACC,4-0,1069,8,W 48-34 A Boston College,Week 5Sep 29[7],2013,
245,9,<,10,Texas A&M,SEC,4-1,1012,9,W 45-33 A Arkansas,Week 5Sep 29[7],2013,
246,10,<,6,LSU,SEC,4-1,979,11,L 44-41 A #9 Georgia,Week 5Sep 29[7],2013,
247,11,<,14,Oklahoma,Big 12,4-0,838,10,W 35-21 A #22 Notre Dame,Week 5Sep 29[7],2013,
248,12,<,13,UCLA,Pac-12,3-0,834,13,DNP,Week 5Sep 29[7],2013,
249,13,<,12,South Carolina,SEC,3-1,812,12,W 28-25 A UCF,Week 5Sep 29[7],2013,
250,14,<,15,Miami (FL),ACC,4-0,753,14,W 49-21 A South Florida,Week 5Sep 29[7],2013,
251,15,<,16,Washington,Pac-12,4-0,665,18,W 31-13 H Arizona,Week 5Sep 29[7],2013,
252,16,<,17,Northwestern,Big Ten,4-0,550,15,DNP,Week 5Sep 29[7],2013,
