,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,BCS
218,13,<,5,West Virginia,Big East,4-1,861,12,L 21-13 A #18 South Florida,Week 5Sept 30[7],2007,
219,14,<,11,Oregon,Pac-10,4-1,837,13,,Week 5Sept 30[7],2007,
220,15,<,17,Virginia Tech,ACC,4-1,639,14,,Week 5Sept 30[7],2007,
221,16,<,19,Hawaii,WAC,5-0,586,15,W 48-20 A Idaho,Week 5Sept 30[7],2007,
222,17,<,20,Missouri,Big 12,4-0,561,17,,Week 5Sept 30[7],2007,
223,18,<,23,Arizona State,Pac-10,5-0,497,19,,Week 5Sept 30[7],2007,
224,19,<,7,Texas,Big 12,4-1,449,16,L 41-21 H Kansas State,Week 5Sept 30[7],2007,
225,20,<,24,Cincinnati,Big East,5-0,377,24,W 52-23 A San Diego State,Week 5Sept 30[7],2007,
226,21,<,10,Rutgers,Big East,3-1,299,21,,Week 5Sept 30[7],2007,
227,22,<,13,Clemson,ACC,4-1,265,22,,Week 5Sept 30[7],2007,
228,23,<,NR,Purdue,Big Ten,5-0,218,20,,Week 5Sept 30[7],2007,
229,24,<,NR,Kansas State,Big 12,3-1,214,NR,W 41-21 H #7 Texas,Week 5Sept 30[7],2007,
230,25,<,25,Nebraska,Big 12,4-1,198,23,,Week 5Sept 30[7],2007,
231,RV,<,NR,Florida State,ACC,,101,,,Week 5Sept 30[7],2007,
232,RV,<,NR,Miami (FL),ACC,,83,,,Week 5Sept 30[7],2007,
233,RV,<,NR,Illinois,Big Ten,,59,,,Week 5Sept 30[7],2007,
234,RV,<,NR,Auburn,SEC,,52,,,Week 5Sept 30[7],2007,
235,RV,<,NR,UCLA,Pac-10,,49,,,Week 5Sept 30[7],2007,
236,RV,<,NR,Texas A&M,Big 12,,29,,,Week 5Sept 30[7],2007,
237,RV,<,NR,Michigan State,Big Ten,,16,,,Week 5Sept 30[7],2007,
238,RV,<,NR,Michigan,Big Ten,,15,,,Week 5Sept 30[7],2007,
239,RV,<,NR,Connecticut,Big East,,9,,,Week 5Sept 30[7],2007,
240,RV,<,22,Alabama,SEC,,6,,L 21-14 N Florida State,Week 5Sept 30[7],2007,
241,RV,<,NR,Arkansas,SEC,,5,,,Week 5Sept 30[7],2007,
242,RV,<,NR,Colorado,Big 12,,5,,,Week 5Sept 30[7],2007,
243,RV,<,NR,UCF,CUSA,,5,,,Week 5Sept 30[7],2007,
244,RV,<,21,Penn State,Big Ten,,4,,,Week 5Sept 30[7],2007,
245,RV,<,NR,Boise State,WAC,,3,,,Week 5Sept 30[7],2007,
246,RV,<,NR,Kansas,Big 12,,3,,,Week 5Sept 30[7],2007,
247,RV,<,NR,Virginia,ACC,,3,,,Week 5Sept 30[7],2007,
248,RV,<,NR,Washington,Pac-10,,1,,,Week 5Sept 30[7],2007,
249,1,<,1,LSU (65),SEC,6-0,1625,1,W 28-24 H #9 Florida,Week 6Oct 7[8],2007,
250,2,<,3,California,Pac-10,5-0,1538,2,,Week 6Oct 7[8],2007,
251,3,<,4,Ohio State,Big Ten,6-0,1511,3,,Week 6Oct 7[8],2007,
252,4,<,7,Boston College,ACC,6-0,1346,4,,Week 6Oct 7[8],2007,
253,5,<,6,South Florida,Big East,5-0,1339,5,W 35-23 A Florida Atlantic,Week 6Oct 7[8],2007,
254,6,<,10,Oklahoma,Big 12,5-1,1221,5,W 28-21 N #19 Texas,Week 6Oct 7[8],2007,
255,7,<,11,South Carolina,SEC,5-1,1183,12,W 38-23 H #8 Kentucky,Week 6Oct 7[8],2007,
256,8,<,13,West Virginia,Big East,5-1,1059,9,,Week 6Oct 7[8],2007,
257,9,<,14,Oregon,Pac-10,4-1,1047,8,,Week 6Oct 7[8],2007,
258,10,<,2,USC,Pac-10,4-1,1024,7,,Week 6Oct 7[8],2007,
259,11,<,17,Missouri,Big 12,5-0,966,11,,Week 6Oct 7[8],2007,
260,12,<,15,Virginia Tech,ACC,5-1,910,10,,Week 6Oct 7[8],2007,
261,13,<,9,Florida,SEC,4-2,822,14,,Week 6Oct 7[8],2007,
262,14,<,18,Arizona State,Pac-10,6-0,752,13,,Week 6Oct 7[8],2007,
263,15,<,20,Cincinnati,Big East,6-0,705,17,W 28-23 A #21 Rutgers,Week 6Oct 7[8],2007,
264,16,<,16,Hawaii,WAC,6-0,634,16,W 52-37 H Utah State,Week 6Oct 7[8],2007,
265,17,<,8,Kentucky,SEC,5-1,612,18,,Week 6Oct 7[8],2007,
266,18,<,NR,Illinois,Big Ten,5-1,595,19,,Week 6Oct 7[8],2007,
267,19,<,5,Wisconsin,Big Ten,5-1,551,15,L 31-26 A Illinois,Week 6Oct 7[8],2007,
268,20,<,NR,Kansas,Big 12,5-0,336,20,W 30-24 A #24 Kansas State,Week 6Oct 7[8],2007,
269,21,<,NR,Florida State,ACC,4-1,307,21,,Week 6Oct 7[8],2007,
270,22,<,NR,Auburn,SEC,4-2,248,25,,Week 6Oct 7[8],2007,
271,23,<,19,Texas,Big 12,4-2,136,22,,Week 6Oct 7[8],2007,
272,24,<,12,Georgia,SEC,4-2,131,23,L 35-14 A Tennessee,Week 6Oct 7[8],2007,
273,25,<,NR,Tennessee,SEC,3-2,90,NR,W 35-14 H #12 Georgia,Week 6Oct 7[8],2007,
274,RV,<,NR,Texas A&M,Big 12,,79,,,Week 6Oct 7[8],2007,
275,RV,<,23,Purdue,Big Ten,,48,,,Week 6Oct 7[8],2007,
276,RV,<,NR,Colorado,Big 12,,48,,,Week 6Oct 7[8],2007,
277,RV,<,NR,Indiana,Big Ten,,40,,,Week 6Oct 7[8],2007,
278,RV,<,NR,Michigan,Big Ten,,31,,,Week 6Oct 7[8],2007,
279,RV,<,NR,Texas Tech,Big 12,,27,,,Week 6Oct 7[8],2007,
280,RV,<,21,Rutgers,Big East,,25,,,Week 6Oct 7[8],2007,
281,RV,<,NR,Virginia,ACC,,22,,,Week 6Oct 7[8],2007,
282,RV,<,NR,Connecticut,Big East,,20,,,Week 6Oct 7[8],2007,
283,RV,<,24,Kansas State,Big 12,,18,,,Week 6Oct 7[8],2007,
284,RV,<,NR,Boise State,WAC,,17,,,Week 6Oct 7[8],2007,
285,RV,<,22,Clemson,ACC,,13,,,Week 6Oct 7[8],2007,
286,RV,<,NR,Penn State,Big Ten,,13,,,Week 6Oct 7[8],2007,
287,RV,<,NR,Maryland,ACC,,11,,,Week 6Oct 7[8],2007,
288,RV,<,25,Nebraska,Big 12,,9,,,Week 6Oct 7[8],2007,
289,RV,<,NR,Alabama,SEC,,9,,,Week 6Oct 7[8],2007,
290,RV,<,NR,Mississippi State,SEC,,3,,,Week 6Oct 7[8],2007,
291,RV,<,NR,Washington,Pac-10,,2,,,Week 6Oct 7[8],2007,
292,RV,<,NR,Wyoming,MWC,,2,,,Week 6Oct 7[8],2007,
293,1,<,3,Ohio State (50),Big Ten,7-0,1599,*1,W 48-3 H Kent State,Week 7Oct 14[9],2007,1
294,2,<,5,South Florida (11),Big East,6-0,1503,*3,W 64-12 H UCF,Week 7Oct 14[9],2007,2
295,3,<,4,Boston College (1),ACC,7-0,1448,*2,,Week 7Oct 14[9],2007,3
296,4,<,6,Oklahoma (1),Big 12,6-1,1399,4,W 41-31 H #11 Missouri,Week 7Oct 14[9],2007,5
297,5,<,1,LSU (1),SEC,6-1,1331,5,L 43-37 (3OT) A #17 Kentucky,Week 7Oct 14[9],2007,4
298,6,<,7,South Carolina,SEC,6-1,1247,8,W 21-15 A North Carolina,Week 7Oct 14[9],2007,6
299,7,<,9,Oregon,Pac-10,5-1,1177,6,,Week 7Oct 14[9],2007,10
300,8,<,17,Kentucky,SEC,6-1,1098,13,,Week 7Oct 14[9],2007,7
301,9,<,8,West Virginia,Big East,5-1,1090,7,,Week 7Oct 14[9],2007,9
302,10,<,2,California,Pac-10,5-1,1065,9,,Week 7Oct 14[9],2007,12
