,date,season,week,neutral,homeTeam,homeTeamId,awayTeam,awayTeamId,homeScore,awayScore,result,spreadClose,overUnderClose,homeMoneyline,awayMoneyline,homeTeamRank,homeTeamPoints,awayTeamRank,awayTeamPoints
7310,2016-10-15,2016,7,False,Arkansas,8,Mississippi,145,34,30,1,9.5,66.5,300.0,-360.0,22.0,203.0,12.0,800.0
7994,2017-09-29,2017,5,False,WashingtonState,265,USC,30,30,27,1,5.0,59.0,170.0,-200.0,16.0,551.0,5.0,1247.0
8045,2017-10-05,2017,6,False,NCState,152,Louisville,97,39,25,1,3.0,67.0,135.0,-155.0,24.0,149.0,17.0,507.0
8260,2017-10-28,2017,9,False,IowaState,66,TCU,2628,14,7,1,7.0,48.5,225.0,-275.0,25.0,98.0,4.0,1327.0
8327,2017-11-04,2017,10,False,MichiganState,127,PennState,213,27,24,1,10.0,46.0,300.0,-400.0,24.0,136.0,7.0,1189.0
8330,2017-11-04,2017,10,False,WashingtonState,265,Stanford,24,24,21,1,2.0,56.0,105.0,-125.0,25.0,122.0,18.0,434.0
8365,2017-11-11,2017,11,False,MiamiFlorida,2390,NotreDame,87,41,8,1,3.5,60.0,150.0,-180.0,7.0,1220.0,3.0,1357.0
8376,2017-11-11,2017,11,False,Auburn,2,Georgia,61,40,17,1,2.5,48.0,120.0,-140.0,10.0,875.0,2.0,1468.0
8503,2017-11-25,2017,13,False,Stanford,24,NotreDame,87,38,20,1,3.0,58.0,125.0,-145.0,20.0,407.0,9.0,1023.0
8518,2017-11-25,2017,13,False,Auburn,2,Alabama,333,26,14,1,5.0,47.5,185.0,-230.0,6.0,1203.0,1.0,1522.0
8624,2018-09-02,2018,1,False,LSU,99,MiamiFlorida,2390,33,17,1,3.0,47.5,135.0,-155.0,25.0,106.0,8.0,1027.0
8725,2018-09-15,2018,3,False,OklahomaState,197,BoiseState,68,44,21,1,1.0,67.0,105.0,-125.0,24.0,119.0,17.0,500.0
8906,2018-10-06,2018,6,False,Florida,57,LSU,99,27,19,1,1.0,44.0,100.0,-120.0,22.0,210.0,5.0,1233.0
8938,2018-10-06,2018,6,False,Texas,251,Oklahoma,201,48,45,1,7.5,60.5,226.0,-275.0,19.0,403.0,7.0,1193.0
8975,2018-10-13,2018,7,False,Oregon,2483,Washington,264,30,27,1,3.5,59.5,160.0,-190.0,17.0,505.0,7.0,1098.0
8994,2018-10-13,2018,7,False,LSU,99,Georgia,61,36,16,1,6.5,49.0,210.0,-260.0,13.0,794.0,2.0,1426.0
9345,2018-11-24,2018,13,False,OhioState,194,Michigan,130,62,39,1,4.0,52.5,160.0,-185.0,10.0,1019.0,4.0,1327.0
9963,2019-10-05,2019,6,False,Florida,57,Auburn,2,24,13,1,2.5,48.5,120.0,-140.0,10.0,986.0,7.0,1186.0
10483,2019-11-09,2019,11,False,MinnesotaU,135,PennState,213,31,26,1,6.5,48.0,210.0,-260.0,13.0,831.0,5.0,1306.0
10847,2019-11-30,2019,14,False,Auburn,2,Alabama,333,48,45,1,3.5,50.5,155.0,-185.0,16.0,635.0,5.0,1283.0
11027,2020-10-10,2020,5,False,TexasAM,245,Florida,57,41,38,1,6.0,59.0,195.0,-230.0,21.0,330.0,4.0,1340.0
11210,2020-11-07,2020,9,False,NotreDame,87,Clemson,228,47,40,1,4.5,51.0,165.0,-185.0,4.0,1351.0,1.0,1515.0
11292,2020-11-21,2020,11,False,Northwestern,77,Wisconsin,275,17,7,1,7.0,43.0,240.0,-280.0,19.0,378.0,10.0,950.0
11393,2020-12-05,2020,13,False,CoastalCarolina,324,BYU,252,22,17,1,10.5,62.0,320.0,-380.0,14.0,694.0,8.0,1113.0
12006,2021-09-18,2021,3,False,BYU,252,ArizonaState,9,27,17,1,3.0,50.5,130.0,-150.0,23.0,213.0,19.0,347.0
12131,2021-09-25,2021,4,False,Arkansas,8,TexasA&M,245,20,10,1,4.5,47.0,170.0,-190.0,16.0,537.0,7.0,1158.0
12630,2021-10-30,2021,9,False,MichiganState,127,Michigan,130,37,33,1,4.5,50.5,170.0,-190.0,8.0,1160.0,6.0,1270.0
12876,2021-11-13,2021,11,False,Baylor,239,Oklahoma,201,27,14,1,4.0,63.0,150.0,-170.0,18.0,463.0,4.0,1406.0
12898,2021-11-13,2021,11,False,Mississippi,145,TexasA&M,245,29,19,1,1.5,57.5,105.0,-125.0,12.0,836.0,11.0,1005.0
13121,2021-11-27,2021,13,False,Michigan,130,OhioState,194,42,27,1,6.5,64.0,205.0,-245.0,6.0,1246.0,2.0,1434.0
13374,2022-09-10,2022,2,False,BYU,252,Baylor,239,26,20,1,55.0,2.5,130.0,110.0,21.0,266.0,9.0,1057.0
13469,2022-09-17,2022,3,False,Oregon,2483,BYU,252,41,20,1,58.0,3.5,175.0,155.0,25.0,89.0,12.0,880.0
13492,2022-09-17,2022,3,False,TexasA&M,245,MiamiFlorida,2390,17,9,1,45.5,7.0,230.0,195.0,24.0,145.0,13.0,772.0
13612,2022-09-24,2022,4,False,TexasA&M,245,Arkansas,8,23,21,1,51.0,1.5,120.0,100.0,23.0,309.0,10.0,920.0
13712,2022-10-01,2022,5,False,Mississippi,145,Kentucky,96,22,19,1,55.0,6.5,250.0,210.0,14.0,691.0,7.0,1127.0
13827,2022-10-08,2022,6,False,UCLA,26,Utah,254,42,32,1,64.5,3.0,135.0,155.0,18.0,510.0,11.0,884.0
13910,2022-10-15,2022,7,False,TennesseeU,2633,Alabama,333,52,49,1,68.5,9.0,270.0,330.0,6.0,1232.0,3.0,1489.0
13914,2022-10-15,2022,7,False,Kentucky,96,MississippiState,344,27,17,1,50.5,3.5,150.0,170.0,22.0,150.0,16.0,589.0
13918,2022-10-15,2022,7,False,Syracuse,183,NCState,152,24,9,1,42.0,3.0,150.0,130.0,18.0,393.0,15.0,746.0
13934,2022-10-15,2022,7,False,Utah,254,USC,30,43,42,1,65.0,3.5,175.0,155.0,20.0,328.0,7.0,1214.0
13942,2022-10-15,2022,7,False,TCU,2628,OklahomaState,197,43,40,1,70.5,5.0,210.0,180.0,13.0,819.0,8.0,1150.0
14236,2022-11-05,2022,10,False,NCState,152,WakeForest,154,30,21,1,3.0,54.0,135.0,-155.0,21.0,285.0,20.0,388.0
14278,2022-11-05,2022,10,False,LSU,99,Alabama,333,32,31,1,13.0,56.0,400.0,-500.0,15.0,679.0,6.0,1258.0
130,2007-09-15,2007,3,False,GeorgiaTech,59,BostonCollege,103,10,24,0,6.5,48.5,-255.0,215.0,15.0,590.0,21.0,323.0
159,2007-09-22,2007,4,False,Alabama,333,Georgia,61,23,26,0,3.0,46.5,-165.0,145.0,16.0,516.0,22.0,333.0
436,2007-10-27,2007,9,False,Florida,57,Georgia,61,30,42,0,7.5,55.0,-300.0,250.0,9.0,1107.0,20.0,394.0
601,2007-11-17,2007,12,False,Clemson,228,BostonCollege,103,17,20,0,9.0,54.0,-325.0,275.0,15.0,613.0,18.0,527.0
617,2007-11-22,2007,13,False,ArizonaState,9,USC,30,24,44,0,51.0,3.5,-160.0,140.0,7.0,1219.0,11.0,967.0
629,2007-11-24,2007,13,False,Kansas,2305,Missouri,142,28,36,0,1.0,67.0,-120.0,100.0,2.0,1541.0,3.0,1469.0
702,2008-08-30,2008,1,False,Clemson,228,Alabama,333,10,34,0,4.5,46.0,-200.0,170.0,9.0,1105.0,24.0,89.0
870,2008-09-27,2008,5,False,Georgia,61,Alabama,333,30,41,0,6.5,46.0,-240.0,200.0,3.0,1475.0,8.0,1132.0
957,2008-10-11,2008,7,False,Oklahoma,201,Texas,251,35,45,0,7.0,56.5,-255.0,215.0,1.0,1608.0,5.0,1374.0
968,2008-10-11,2008,7,False,Missouri,142,OklahomaState,197,23,28,0,13.5,77.0,-460.0,365.0,3.0,1487.0,17.0,565.0
1331,2008-11-29,2008,14,False,Georgia,61,GeorgiaTech,59,42,45,0,7.5,50.0,-260.0,220.0,13.0,874.0,18.0,339.0
1337,2008-11-29,2008,14,False,OregonState,204,Oregon,2483,38,65,0,2.5,58.0,-140.0,120.0,17.0,604.0,19.0,320.0
1368,2009-09-05,2009,1,False,Oklahoma,201,BYU,252,13,14,0,23.0,64.0,-2000.0,1350.0,3.0,1370.0,20.0,267.0
1881,2009-11-07,2009,10,False,PennState,213,OhioState,194,7,24,0,5.5,41.0,-220.0,180.0,11.0,886.0,15.0,636.0
1938,2009-11-14,2009,11,False,USC,30,Stanford,24,21,55,0,11.5,58.0,-430.0,345.0,11.0,834.0,25.0,107.0
2436,2010-10-09,2010,6,False,MiamiFlorida,2390,FloridaState,52,17,45,0,5.5,49.5,-220.0,180.0,13.0,769.0,23.0,162.0
2820,2010-11-27,2010,13,False,OklahomaState,197,Oklahoma,201,41,47,0,3.0,68.0,-132.0,118.0,10.0,958.0,14.0,650.0
3158,2011-10-01,2011,5,False,VirginiaTech,259,Clemson,228,3,23,0,7.5,51.0,-290.0,245.0,11.0,883.0,13.0,744.0
3472,2011-11-12,2011,11,False,Stanford,24,Oregon,2483,30,53,0,3.0,71.0,-135.0,115.0,3.0,1369.0,6.0,1184.0
3541,2011-11-19,2011,12,False,Oregon,2483,USC,30,35,38,0,15.5,70.5,-670.0,530.0,4.0,1326.0,18.0,564.0
3623,2011-12-03,2011,14,False,HoustonU,248,SouthernMiss,2572,28,49,0,12.5,73.0,-460.0,360.0,7.0,1055.0,24.0,78.0
3801,2012-09-15,2012,3,False,MichiganState,127,NotreDame,87,3,20,0,5.5,44.0,-205.0,180.0,10.0,995.0,20.0,310.0
