,Year,Date,Home,HomeRank,Away,AwayRank,Result,HomePTS,AwayPTS,MOV
3038,2020-21,2021-01-30,Virginia Tech,20,Virginia,8,1,65,51,14
3039,1972-73,1972-12-29,San Francisco,20,Pennsylvania,8,1,84,77,7
3040,1957-58,1957-12-23,Iowa State,20,Michigan State,8,0,51,57,-6
3041,2019-20,2020-02-07,Illinois,20,Maryland,9,0,66,75,-9
3042,2011-12,2012-01-17,Michigan,20,Michigan State,9,1,60,59,1
3043,2008-09,2009-03-01,Illinois,20,Michigan State,9,0,66,74,-8
3044,2001-02,2002-02-14,UCLA,20,Arizona,9,1,77,76,1
3045,1987-88,1988-02-03,St. John's (NY),20,Pittsburgh,9,0,71,88,-17
3046,1987-88,1987-12-12,Memphis,20,Missouri,9,1,76,68,8
3047,1978-79,1979-02-24,DePaul,20,Marquette,9,1,61,60,1
3048,1974-75,1974-12-07,Houston,20,North Carolina,9,0,87,96,-9
3049,1968-69,1969-01-04,St. Bonaventure,20,Villanova,9,0,67,68,-1
3050,1959-60,1960-03-15,St. John's (NY),20,St. Bonaventure,9,0,71,106,-35
3051,2021-22,2022-02-01,Iowa State,20,Kansas,10,0,61,70,-9
3052,2015-16,2016-02-27,Purdue,20,Maryland,10,1,83,79,4
3053,2013-14,2014-01-05,Colorado,20,Oregon,10,1,100,91,9
3054,1992-93,1993-02-25,Marquette,20,Cincinnati,10,0,57,66,-9
3055,1979-80,1980-01-03,Illinois,20,Iowa,10,0,71,72,-1
3056,2021-22,2022-02-19,Texas,20,Texas Tech,11,0,55,61,-6
3057,2018-19,2019-02-12,Wisconsin,20,Michigan State,11,0,59,67,-8
3058,2013-14,2013-11-12,Wisconsin,20,Florida,11,1,59,53,6
3059,2011-12,2011-11-28,Vanderbilt,20,Xavier,11,0,70,82,-12
3060,1991-92,1992-02-02,Georgia Tech,20,North Carolina,11,0,76,86,-10
3061,1956-57,1957-01-07,Western Kentucky,20,Oklahoma City,11,0,78,85,-7
3062,1953-54,1953-12-21,Vanderbilt,20,Rice,11,0,60,79,-19
3063,1952-53,1953-03-14,Manhattan,20,Duquesne,11,0,67,81,-14
3064,1952-53,1953-03-12,St. John's (NY),20,Duquesne,11,1,64,55,9
3065,2018-19,2019-03-10,Cincinnati,20,Houston,12,0,69,85,-16
3066,2017-18,2018-02-26,West Virginia,20,Texas Tech,12,1,84,74,10
3067,2008-09,2009-01-12,Louisville,20,Notre Dame,12,1,87,73,14
3068,2006-07,2007-03-03,Marquette,20,Pittsburgh,12,1,75,71,4
3069,1994-95,1995-01-14,California,20,Arizona State,12,0,68,73,-5
3070,1993-94,1994-02-27,Minnesota,20,Indiana,12,1,106,56,50
3071,1987-88,1988-02-06,St. John's (NY),20,Syracuse,12,0,62,79,-17
3072,1986-87,1987-01-21,NC State,20,Duke,12,1,87,74,13
3073,1957-58,1958-02-24,Auburn,20,Kentucky,12,1,64,63,1
3074,1951-52,1952-01-05,Michigan State,20,Iowa,12,0,60,61,-1
3075,2016-17,2017-01-08,Purdue,20,Wisconsin,13,1,66,55,11
3076,2013-14,2014-02-23,Michigan,20,Michigan State,13,1,79,70,9
3077,2012-13,2013-02-17,Wisconsin,20,Ohio State,13,1,71,49,22
3078,2003-04,2004-02-15,Wake Forest,20,Cincinnati,13,1,91,85,6
3079,2001-02,2002-02-07,Stanford,20,Oregon,13,1,90,87,3
3080,1994-95,1995-01-12,California,20,Arizona,13,0,86,99,-13
3081,1984-85,1985-02-13,Maryland,20,North Carolina,13,0,54,60,-6
3082,1981-82,1982-01-06,St. John's (NY),20,Georgetown,13,0,42,72,-30
3083,1954-55,1955-02-07,Vanderbilt,20,Alabama,13,1,78,57,21
3084,2018-19,2018-12-21,Marquette,20,Buffalo,14,1,103,85,18
3085,2010-11,2010-12-31,Michigan State,20,Minnesota,14,1,71,62,9
3086,1995-96,1996-01-21,Michigan,20,Penn State,14,1,67,66,1
3087,1979-80,1980-01-19,Tennessee,20,Louisiana State,14,0,74,75,-1
3088,1952-53,1953-03-09,Manhattan,20,Louisville,14,1,79,66,13
3089,1993-94,1994-01-20,Minnesota,20,Michigan,15,1,63,58,5
3090,1989-90,1990-01-27,Connecticut,20,St. John's (NY),15,1,72,58,14
3091,1986-87,1987-02-21,St. John's (NY),20,Kansas,15,0,60,62,-2
3092,2022-23,2022-12-14,Maryland,20,UCLA,16,0,60,87,-27
3093,2019-20,2020-03-03,Penn State,20,Michigan State,16,0,71,79,-8
3094,2014-15,2015-01-17,Texas,20,West Virginia,16,1,77,50,27
3095,2010-11,2011-01-15,Wisconsin,20,Illinois,16,1,76,66,10
3096,2002-03,2003-03-14,Louisville,20,Memphis,16,1,78,75,3
3097,2001-02,2002-01-16,Georgia,20,Alabama,16,0,72,77,-5
3098,2000-01,2001-02-24,Maryland,20,Oklahoma,16,1,68,60,8
