,Year,Date,Home,HomeRank,Away,AwayRank,Result,HomePTS,AwayPTS,MOV
948,2020-21,2021-01-23,Tennessee,6,Missouri,19,0,64,73,-9
949,2015-16,2016-03-01,Oklahoma,6,Baylor,19,1,73,71,2
950,2005-06,2006-03-05,Texas,6,Oklahoma,19,1,72,48,24
951,1993-94,1994-01-13,Arizona,6,California,19,0,93,98,-5
952,1990-91,1991-02-10,Duke,6,Louisiana State,19,1,88,70,18
953,1988-89,1989-01-29,Arizona,6,Stanford,19,1,72,52,20
954,2023-24,2024-03-06,Iowa State,6,Brigham Young,20,1,68,63,5
955,2011-12,2011-12-02,Louisville,6,Vanderbilt,20,1,62,60,2
956,1980-81,1981-01-10,Wake Forest,6,Clemson,20,1,73,71,2
957,1976-77,1976-12-21,Marquette,6,Minnesota,20,0,59,66,-7
958,1957-58,1958-01-15,North Carolina,6,NC State,20,0,57,58,-1
959,2021-22,2022-03-05,Kansas,6,Texas,21,1,70,63,7
960,2020-21,2020-12-31,Wisconsin,6,Minnesota,21,1,71,59,12
961,1995-96,1996-02-22,Cincinnati,6,Louisville,21,0,66,72,-6
962,2009-10,2010-02-03,West Virginia,6,Pittsburgh,22,1,70,51,19
963,1997-98,1998-01-17,Kentucky,6,Arkansas,22,1,80,77,3
964,1990-91,1991-01-03,Ohio State,6,Iowa,22,1,63,59,4
965,1991-92,1992-01-09,Arizona,6,Southern California,23,1,107,68,39
966,2018-19,2019-02-16,Michigan,6,Maryland,24,1,65,52,13
967,2009-10,2010-01-30,Texas,6,Baylor,24,0,77,80,-3
968,2006-07,2007-01-21,Pittsburgh,6,Marquette,24,0,74,77,-3
969,2006-07,2006-11-25,Louisiana State,6,Wichita State,24,0,53,57,-4
970,2001-02,2001-12-05,Florida,6,Michigan State,24,1,74,70,4
971,2016-17,2016-12-03,Virginia,6,West Virginia,25,0,57,66,-9
972,2014-15,2015-02-24,Villanova,6,Providence,25,1,89,61,28
973,2014-15,2015-01-20,Wisconsin,6,Iowa,25,1,82,50,32
974,1988-89,1989-02-25,Missouri,7,Oklahoma,1,1,97,84,13
975,1984-85,1985-02-23,Syracuse,7,St. John's (NY),1,0,83,88,-5
976,1964-65,1965-02-15,Indiana,7,Michigan,1,0,95,96,-1
977,1960-61,1960-12-29,St. John's (NY),7,Ohio State,1,0,65,70,-5
978,2012-13,2013-03-10,Michigan,7,Indiana,2,0,71,72,-1
979,2009-10,2010-02-06,Georgetown,7,Villanova,2,1,103,90,13
980,2006-07,2006-12-16,Wisconsin,7,Pittsburgh,2,1,89,75,14
981,2004-05,2005-02-09,Duke,7,North Carolina,2,1,71,70,1
982,1996-97,1996-12-31,Utah,7,Wake Forest,2,0,59,70,-11
983,1979-80,1980-02-16,St. John's (NY),7,Syracuse,2,0,71,72,-1
984,1975-76,1976-01-10,Wake Forest,7,Maryland,2,1,96,93,3
985,1972-73,1973-02-27,North Carolina,7,NC State,2,0,78,82,-4
986,1963-64,1964-01-06,Vanderbilt,7,Kentucky,2,1,85,83,2
987,1952-53,1953-01-14,Fordham,7,Seton Hall,2,0,62,69,-7
988,1951-52,1952-01-26,Kansas State,7,Kansas,2,1,81,64,17
989,2021-22,2022-02-03,Arizona,7,UCLA,3,1,76,66,10
990,2021-22,2022-01-25,UCLA,7,Arizona,3,1,75,59,16
991,2011-12,2012-01-16,Kansas,7,Baylor,3,1,92,74,18
992,2006-07,2006-11-29,North Carolina,7,Ohio State,3,1,98,89,9
993,1977-78,1978-01-22,Notre Dame,7,UCLA,3,1,75,73,2
994,1974-75,1974-12-04,Kansas,7,Indiana,3,0,70,74,-4
995,1973-74,1974-03-09,Southern California,7,UCLA,3,0,52,82,-30
996,1955-56,1956-01-28,Vanderbilt,7,Kentucky,3,1,81,73,8
997,2020-21,2021-03-06,Ohio State,7,Illinois,4,0,68,73,-5
998,2018-19,2019-03-02,Tennessee,7,Kentucky,4,1,71,52,19
999,2004-05,2005-02-02,Wake Forest,7,Duke,4,1,92,89,3
1000,2000-01,2001-02-06,Illinois,7,Michigan State,4,1,77,66,11
1001,1989-90,1990-02-28,Georgetown,7,Connecticut,4,1,84,64,20
1002,1989-90,1989-12-12,Arkansas,7,Missouri,4,0,88,89,-1
1003,1967-68,1967-12-12,North Carolina,7,Kentucky,4,1,84,77,7
1004,1956-57,1956-12-21,Kentucky,7,Southern Methodist,4,1,73,67,6
1005,1950-51,1951-01-31,Kansas State,7,Long Island University,4,1,85,65,20
1006,2004-05,2005-02-20,Duke,7,Wake Forest,5,1,102,92,10
1007,2001-02,2001-12-04,Arizona,7,Illinois,5,1,87,82,5
1008,1998-99,1998-11-20,Temple,7,Michigan State,5,1,60,59,1
1009,1985-86,1986-01-21,Kansas,7,Oklahoma,5,1,98,92,6
1010,1976-77,1977-01-13,Wake Forest,7,North Carolina,5,0,75,77,-2
1011,1975-76,1976-01-14,North Carolina,7,Wake Forest,5,1,99,75,24
1012,1956-57,1956-12-22,Kentucky,7,Illinois,5,1,91,70,21
1013,1952-53,1953-02-23,Oklahoma State,7,Kansas,5,1,79,58,21
1014,2019-20,2019-12-04,North Carolina,7,Ohio State,6,0,49,74,-25
1015,2000-01,2001-02-17,Iowa State,7,Kansas,6,1,79,71,8
1016,1998-99,1999-01-20,Kentucky,7,Auburn,6,1,72,62,10
1017,1989-90,1990-01-15,Illinois,7,Michigan,6,0,70,74,-4
1018,1978-79,1978-12-06,Louisville,7,Michigan,6,1,86,84,2
1019,1960-61,1961-02-25,North Carolina,7,Duke,6,1,69,66,3
1020,1950-51,1951-02-20,Bradley,7,Saint Louis,6,1,97,65,32
1021,2019-20,2020-02-10,Duke,7,Florida State,8,1,70,65,5
1022,2009-10,2010-01-30,Georgetown,7,Duke,8,1,89,77,12
1023,1997-98,1998-01-17,Stanford,7,UCLA,8,1,93,80,13
1024,1975-76,1976-01-28,Maryland,7,NC State,8,1,102,84,18
1025,1970-71,1971-02-20,South Carolina,7,North Carolina,8,1,72,66,6
1026,1965-66,1966-03-02,Saint Joseph's,7,Providence,8,1,86,67,19
1027,1955-56,1956-02-25,Alabama,7,Kentucky,8,1,101,77,24
1028,2020-21,2021-01-12,Michigan,7,Wisconsin,9,1,77,54,23
1029,2012-13,2012-12-22,Ohio State,7,Kansas,9,0,66,74,-8
1030,1997-98,1998-02-07,Connecticut,7,Stanford,9,1,76,56,20
1031,1991-92,1992-01-07,Ohio State,7,Michigan State,9,1,62,46,16
1032,1985-86,1985-12-14,Kansas,7,Kentucky,9,1,83,68,15
1033,1961-62,1961-12-19,Duquesne,7,St. Bonaventure,9,1,74,57,17
1034,1959-60,1960-01-04,Ohio State,7,Illinois,9,1,97,73,24
1035,1958-59,1959-01-05,Cincinnati,7,Bradley,9,1,85,84,1
1036,1950-51,1950-12-21,Long Island University,7,UCLA,9,1,90,71,19
1037,2022-23,2023-02-04,Kansas State,7,Texas,10,0,66,69,-3
1038,2018-19,2019-02-24,Michigan,7,Michigan State,10,0,70,77,-7
1039,1996-97,1997-01-26,Maryland,7,Duke,10,1,74,70,4
1040,1995-96,1996-01-20,Villanova,7,North Carolina,10,1,76,56,20
1041,1989-90,1990-03-11,Michigan State,7,Purdue,10,1,72,70,2
1042,1988-89,1989-02-16,Florida State,7,Louisville,10,0,77,78,-1
1043,1984-85,1984-12-01,Illinois,7,Oklahoma,10,1,73,70,3
1044,1965-66,1966-01-28,Loyola (IL),7,UCLA,10,1,102,96,6
1045,2018-19,2018-11-28,Michigan,7,North Carolina,11,1,84,67,17
1046,2013-14,2014-02-22,Cincinnati,7,Louisville,11,0,57,58,-1
1047,2013-14,2013-11-19,Oklahoma State,7,Memphis,11,1,101,80,21
1048,2010-11,2011-01-29,Texas,7,Missouri,11,1,71,58,13
1049,2002-03,2003-01-07,Mississippi State,7,Florida,11,0,66,74,-8
1050,1991-92,1992-02-19,Indiana,7,Michigan State,11,1,103,73,30
1051,1982-83,1983-01-24,St. John's (NY),7,Villanova,11,1,80,71,9
1052,1979-80,1980-02-07,Maryland,7,North Carolina,11,1,70,69,1
1053,1979-80,1979-12-15,UCLA,7,DePaul,11,0,94,99,-5
1054,1975-76,1976-02-28,Alabama,7,Tennessee,11,1,93,90,3
1055,1959-60,1960-01-09,Ohio State,7,Indiana,11,1,96,95,1
1056,1954-55,1955-02-19,NC State,7,Maryland,11,1,78,58,20
1057,2000-01,2001-02-21,Florida,7,Mississippi,12,1,75,55,20
1058,1998-99,1999-02-13,Maryland,7,North Carolina,12,1,81,64,17
1059,1989-90,1990-02-11,Michigan,7,Illinois,12,1,93,79,14
1060,1984-85,1985-01-09,Syracuse,7,Boston College,12,1,64,58,6
1061,2012-13,2013-01-27,Indiana,7,Michigan State,13,1,75,70,5
1062,1985-86,1986-01-25,Kansas,7,Louisville,13,1,71,69,2
1063,1978-79,1979-01-28,Duke,7,Marquette,13,1,69,64,5
1064,1975-76,1976-01-18,North Carolina,7,NC State,13,0,67,68,-1
1065,1970-71,1970-12-15,Notre Dame,7,Indiana,13,0,103,106,-3
1066,1957-58,1958-02-08,North Carolina,7,Duke,13,0,75,91,-16
1067,1951-52,1952-01-05,Saint Louis,7,La Salle,13,1,62,46,16
1068,2020-21,2021-02-09,Texas Tech,7,West Virginia,14,0,71,82,-11
1069,2000-01,2001-02-24,Florida,7,Alabama,14,1,89,68,21
1070,1995-96,1996-02-29,Cincinnati,7,Memphis,14,1,71,66,5
1071,1986-87,1987-01-24,Syracuse,7,St. John's (NY),14,1,64,63,1
1072,1957-58,1958-02-21,Duke,7,Maryland,14,1,68,59,9
1073,2011-12,2012-02-16,Michigan State,7,Wisconsin,15,1,69,55,14
1074,1973-74,1973-12-22,Indiana,7,South Carolina,15,1,84,71,13
1075,1960-61,1960-12-27,St. John's (NY),7,Providence,15,1,76,54,22
1076,1951-52,1951-12-27,St. John's (NY),7,Utah,15,1,66,57,9
1077,2005-06,2006-02-25,Texas,7,Kansas,16,1,80,55,25
1078,2002-03,2003-03-01,Kansas,7,Oklahoma State,16,1,79,61,18
1079,1996-97,1997-02-27,Duke,7,Maryland,16,1,81,69,12
1080,1992-93,1993-01-23,Virginia,7,Georgia Tech,16,0,71,75,-4
1081,1988-89,1989-02-09,Illinois,7,Ohio State,16,1,62,60,2
1082,1985-86,1986-03-08,Michigan,7,Indiana,16,1,80,52,28
1083,1982-83,1983-03-12,Indiana,7,Ohio State,16,1,81,60,21
1084,1982-83,1982-12-08,Iowa,7,Marquette,16,1,87,66,21
1085,1955-56,1955-12-19,Holy Cross,7,Alabama,16,0,84,89,-5
1086,1949-50,1950-02-04,Ohio State,7,Wisconsin,17,1,61,47,14
1087,2019-20,2020-01-04,Louisville,7,Florida State,18,0,65,78,-13
1088,2010-11,2011-01-12,Villanova,7,Louisville,18,1,88,74,14
1089,1999-00,2000-02-23,Tennessee,7,Kentucky,18,1,74,67,7
1090,1997-98,1998-02-14,Kentucky,7,Mississippi,18,0,64,73,-9
1091,1982-83,1983-02-03,UCLA,7,Washington State,18,1,89,87,2
1092,1980-81,1980-11-29,Oregon State,7,Brigham Young,18,1,75,68,7
1093,1978-79,1979-02-22,Michigan State,7,Purdue,18,1,73,67,6
1094,1971-72,1971-12-18,Kentucky,7,Princeton,18,1,96,82,14
1095,1969-70,1970-02-27,Pennsylvania,7,Columbia,18,1,71,57,14
1096,1949-50,1950-03-11,UCLA,7,Washington State,18,1,52,49,3
1097,1949-50,1950-03-10,UCLA,7,Washington State,18,1,60,58,2
1098,2021-22,2022-02-05,Arizona,7,Southern California,19,1,72,63,9
1099,2018-19,2019-02-09,Michigan,7,Wisconsin,19,1,61,52,9
1100,2018-19,2018-12-01,Michigan,7,Purdue,19,1,76,57,19
1101,1993-94,1994-03-02,Kentucky,7,Florida,19,1,80,77,3
1102,1992-93,1993-02-07,Michigan,7,Purdue,19,1,84,76,8
1103,1992-93,1993-01-04,Seton Hall,7,Connecticut,19,1,72,69,3
1104,1985-86,1986-02-20,Michigan,7,Michigan State,19,0,59,74,-15
1105,1975-76,1976-02-14,Nevada-Las Vegas,7,Centenary (LA),19,1,121,92,29
1106,1974-75,1975-01-04,Maryland,7,Notre Dame,19,1,90,82,8
1107,1972-73,1972-12-29,Missouri,7,Oklahoma,19,1,69,68,1
1108,1952-53,1953-01-10,Indiana,7,Minnesota,19,1,66,63,3
1109,2007-08,2007-11-27,Duke,7,Wisconsin,20,1,82,58,24
1110,2003-04,2004-01-10,Kentucky,7,Vanderbilt,20,1,75,63,12
1111,1993-94,1994-02-19,Michigan,7,Minnesota,20,1,72,65,7
1112,1989-90,1990-02-18,Nevada-Las Vegas,7,Arizona,20,1,95,87,8
1113,2009-10,2010-01-03,Duke,7,Clemson,21,1,74,53,21
1114,2013-14,2014-02-06,Cincinnati,7,Connecticut,22,1,63,58,5
1115,2007-08,2008-02-18,Texas,7,Texas A&M,22,1,77,50,27
1116,2017-18,2018-02-13,Texas Tech,7,Oklahoma,23,1,88,78,10
1117,1993-94,1994-01-08,Temple,7,George Washington,23,1,80,64,16
1118,1991-92,1992-03-03,Arkansas,7,Louisiana State,23,1,106,92,14
1119,2014-15,2015-02-07,Villanova,7,Georgetown,24,1,69,53,16
1120,2010-11,2011-01-09,Villanova,7,Cincinnati,24,1,72,61,11
1121,2008-09,2009-03-03,Duke,7,Florida State,24,1,84,81,3
1122,2007-08,2008-01-19,Duke,7,Clemson,24,1,93,80,13
1123,1994-95,1995-01-04,Maryland,7,Georgia Tech,24,1,80,67,13
1124,1992-93,1993-01-11,Seton Hall,7,Syracuse,24,1,80,73,7
1125,2018-19,2019-01-09,Kansas,7,TCU,25,1,77,68,9
1126,2012-13,2013-02-12,Florida,7,Kentucky,25,1,69,52,17
1127,2008-09,2009-02-14,Wake Forest,7,Florida State,25,1,86,63,23
1128,1994-95,1995-02-07,Michigan State,7,Purdue,25,0,69,78,-9
1129,1989-90,1990-02-15,Nevada-Las Vegas,7,New Mexico State,25,1,109,86,23
1130,1989-90,1990-02-08,Michigan,7,Indiana,25,1,79,71,8
1131,2021-22,2022-01-01,Iowa State,8,Baylor,1,0,72,77,-5
1132,1994-95,1995-02-07,Maryland,8,North Carolina,1,1,86,73,13
1133,1983-84,1983-12-28,St. John's (NY),8,North Carolina,1,0,51,64,-13
1134,1964-65,1965-02-23,Minnesota,8,Michigan,1,0,85,88,-3
1135,1954-55,1954-12-11,Niagara,8,La Salle,1,0,75,76,-1
1136,2023-24,2024-03-06,Marquette,8,Connecticut,2,0,67,74,-7
1137,2017-18,2018-01-13,Texas Tech,8,West Virginia,2,1,72,71,1
1138,2008-09,2009-02-25,Marquette,8,Connecticut,2,0,82,93,-11
1139,2004-05,2005-01-09,Kentucky,8,Kansas,2,0,59,65,-6
1140,2000-01,2001-01-27,Maryland,8,Duke,2,0,96,98,-2
1141,1998-99,1999-01-24,St. John's (NY),8,Duke,2,0,88,92,-4
1142,1991-92,1992-03-12,UCLA,8,Arizona,2,1,89,81,8
1143,1986-87,1987-01-14,Illinois,8,Iowa,2,0,88,91,-3
1144,1977-78,1977-12-22,Louisville,8,Marquette,2,1,61,60,1
1145,1968-69,1969-02-26,South Carolina,8,North Carolina,2,0,62,68,-6
1146,2015-16,2016-01-28,Maryland,8,Iowa,3,1,74,68,6
1147,2005-06,2006-01-14,Texas,8,Villanova,3,1,58,55,3
1148,2001-02,2002-01-31,Virginia,8,Maryland,3,0,87,91,-4
1149,1987-88,1988-01-24,Nevada-Las Vegas,8,Temple,3,1,59,58,1
1150,1971-72,1972-01-15,Virginia,8,North Carolina,3,0,79,85,-6
1151,1951-52,1952-03-07,Kansas,8,Kansas State,3,1,78,61,17
1152,2023-24,2024-02-03,Kansas,8,Houston,4,1,78,65,13
1153,2018-19,2019-02-11,North Carolina,8,Virginia,4,0,61,69,-8
1154,2014-15,2015-01-28,Notre Dame,8,Duke,4,1,77,73,4
1155,2012-13,2013-02-12,Michigan State,8,Michigan,4,1,75,52,23
1156,2004-05,2005-02-27,Kansas,8,Oklahoma State,4,1,81,79,2
1157,1988-89,1989-03-11,Michigan,8,Illinois,4,0,73,89,-16
1158,1980-81,1981-02-21,Tennessee,8,Louisiana State,4,0,65,66,-1
1159,1965-66,1965-12-17,UCLA,8,Kansas,4,1,78,71,7
1160,1963-64,1964-01-04,Oregon State,8,Cincinnati,4,1,82,61,21
1161,2012-13,2012-12-15,Arizona,8,Florida,5,1,65,64,1
1162,1980-81,1981-02-14,UCLA,8,Arizona State,5,1,64,61,3
1163,1976-77,1977-02-07,Minnesota,8,Michigan,5,0,80,86,-6
1164,1973-74,1974-02-04,Alabama,8,Vanderbilt,5,0,65,67,-2
1165,1968-69,1969-02-04,Villanova,8,St. John's (NY),5,1,83,78,5
1166,1967-68,1967-12-09,Vanderbilt,8,North Carolina,5,1,89,76,13
1167,1960-61,1960-12-31,Saint Louis,8,Louisville,5,0,47,49,-2
1168,1959-60,1960-02-27,Utah State,8,Utah,5,0,75,77,-2
1169,1956-57,1956-12-28,Louisville,8,Saint Louis,5,1,68,43,25
1170,1955-56,1956-02-20,Kentucky,8,Vanderbilt,5,1,76,55,21
1171,1950-51,1951-02-10,Saint Louis,8,Bradley,5,1,72,69,3
1172,1995-96,1996-03-02,Georgetown,8,Villanova,6,1,106,68,38
1173,1989-90,1989-12-09,Michigan,8,Duke,6,1,113,108,5
1174,1985-86,1986-02-26,St. John's (NY),8,Syracuse,6,1,86,79,7
1175,1983-84,1983-12-24,Maryland,8,Boston College,6,1,89,76,13
1176,1953-54,1954-01-02,Illinois,8,Minnesota,6,0,72,84,-12
1177,2022-23,2023-01-31,Kansas,8,Kansas State,7,1,90,78,12
1178,2020-21,2021-02-04,Iowa,8,Ohio State,7,0,85,89,-4
1179,2016-17,2017-02-22,North Carolina,8,Louisville,7,1,74,63,11
1180,2010-11,2011-01-17,Connecticut,8,Villanova,7,1,61,59,2
1181,1999-00,2000-02-05,Michigan State,8,Connecticut,7,1,85,66,19
1182,1996-97,1997-03-02,North Carolina,8,Duke,7,1,91,85,6
1183,1967-68,1968-02-12,Kentucky,8,Tennessee,7,1,60,59,1
1184,1964-65,1965-02-27,Minnesota,8,Indiana,7,1,100,88,12
1185,1958-59,1959-02-11,Saint Louis,8,Bradley,7,1,72,53,19
1186,1957-58,1958-01-06,Oklahoma State,8,Cincinnati,7,1,61,57,4
1187,2018-19,2019-01-26,Kentucky,8,Kansas,9,1,71,63,8
1188,2008-09,2009-01-25,Syracuse,8,Louisville,9,0,57,67,-10
1189,2003-04,2004-01-03,Kentucky,8,North Carolina,9,1,61,56,5
1190,1997-98,1998-01-03,Arizona,8,UCLA,9,1,87,75,12
1191,1991-92,1992-01-25,Kentucky,8,Arkansas,9,0,88,105,-17
1192,1984-85,1985-02-09,Michigan,8,Illinois,9,1,57,45,12
1193,1965-66,1965-12-29,Saint Joseph's,8,Minnesota,9,1,91,66,25
1194,1961-62,1961-12-16,Kansas State,8,St. John's (NY),9,1,63,50,13
1195,2021-22,2022-02-15,Providence,8,Villanova,10,0,84,89,-5
1196,2003-04,2004-03-01,Oklahoma State,8,Texas,10,1,76,67,9
1197,1988-89,1989-02-09,Iowa,8,Michigan,10,0,107,108,-1
1198,1955-56,1956-02-01,Kentucky,8,Duke,10,1,81,76,5
1199,1952-53,1953-02-17,Kansas State,8,Kansas,10,0,78,80,-2
1200,2014-15,2015-02-02,Kansas,8,Iowa State,11,1,89,76,13
1201,2012-13,2013-02-23,Syracuse,8,Georgetown,11,0,46,57,-11
1202,2011-12,2012-03-03,Marquette,8,Georgetown,11,1,83,69,14
1203,1993-94,1994-02-24,Temple,8,Massachusetts,11,0,50,51,-1
1204,1980-81,1980-12-20,North Carolina,8,Indiana,11,1,65,56,9
1205,1954-55,1955-01-15,George Washington,8,Maryland,11,1,75,53,22
1206,1953-54,1954-02-23,George Washington,8,Maryland,11,1,70,57,13
1207,1953-54,1954-02-06,Duke,8,George Washington,11,0,71,76,-5
1208,2023-24,2023-12-06,Marquette,8,Texas,12,1,86,65,21
1209,2017-18,2018-01-06,Virginia,8,North Carolina,12,1,61,49,12
1210,2016-17,2017-01-11,Creighton,8,Butler,12,1,75,64,11
1211,2015-16,2015-12-19,Virginia,8,Villanova,12,1,86,75,11
1212,2008-09,2009-01-17,Syracuse,8,Notre Dame,12,1,93,74,19
1213,2008-09,2008-12-04,Texas,8,UCLA,12,1,68,64,4
1214,2006-07,2007-01-20,Texas A&M,8,Oklahoma State,12,1,67,49,18
1215,1999-00,2000-02-12,Tennessee,8,Florida,12,1,76,73,3
1216,1999-00,1999-12-16,Kansas,8,Ohio State,12,1,80,67,13
1217,1996-97,1997-02-15,Cincinnati,8,South Carolina,12,0,83,97,-14
1218,1949-50,1950-01-10,Duquesne,8,Cincinnati,12,1,60,54,6
1219,2002-03,2003-02-19,Duke,8,Maryland,13,1,75,70,5
1220,1996-97,1996-12-09,Arizona,8,Texas,13,1,83,78,5
1221,1993-94,1994-02-01,Purdue,8,Michigan,13,0,62,63,-1
1222,1990-91,1991-01-16,Syracuse,8,Connecticut,13,1,81,79,2
1223,1989-90,1990-01-28,Duke,8,Georgia Tech,13,1,88,86,2
1224,1987-88,1988-01-28,Michigan,8,Illinois,13,1,76,64,12
1225,1982-83,1983-03-11,St. John's (NY),8,Villanova,13,1,91,80,11
1226,1980-81,1981-02-04,Wake Forest,8,Maryland,13,1,67,60,7
1227,1977-78,1978-02-25,North Carolina,8,Duke,13,1,87,83,4
1228,1973-74,1973-12-28,Louisville,8,Alabama,13,0,55,65,-10
1229,2022-23,2022-12-17,Kansas,8,Indiana,14,1,84,62,22
1230,2021-22,2022-01-21,Wisconsin,8,Michigan State,14,0,74,86,-12
1231,2019-20,2020-03-04,Seton Hall,8,Villanova,14,0,77,79,-2
1232,2006-07,2007-03-04,North Carolina,8,Duke,14,1,86,72,14
1233,2001-02,2002-01-26,Kentucky,8,Alabama,14,0,61,64,-3
1234,1985-86,1986-02-08,Syracuse,8,Notre Dame,14,0,81,85,-4
1235,1982-83,1983-03-12,St. John's (NY),8,Boston College,14,1,85,77,8
1236,1976-77,1976-11-27,Maryland,8,Notre Dame,14,0,79,80,-1
1237,1975-76,1976-03-01,Notre Dame,8,Western Michigan,14,1,95,88,7
1238,1970-71,1971-03-06,Kentucky,8,Tennessee,14,1,84,78,6
1239,1958-59,1959-02-05,Bradley,8,Seattle,14,1,86,70,16
1240,1953-54,1953-12-12,Kansas State,8,Wyoming,14,1,76,69,7
1241,2019-20,2020-02-29,Kentucky,8,Auburn,15,1,73,66,7
1242,2013-14,2014-01-13,Iowa State,8,Kansas,15,0,70,77,-7
1243,1998-99,1999-01-27,Michigan State,8,Ohio State,15,1,76,71,5
1244,1992-93,1993-02-10,Cincinnati,8,Marquette,15,1,55,53,2
1245,1989-90,1990-01-06,Louisville,8,UCLA,15,1,97,80,17
1246,1979-80,1980-01-26,Notre Dame,8,Maryland,15,1,64,63,1
1247,1978-79,1979-01-06,NC State,8,Long Beach State,15,1,100,73,27
1248,2018-19,2019-02-23,North Carolina,8,Florida State,16,1,77,59,18
1249,2014-15,2015-02-14,Kansas,8,Baylor,16,1,74,64,10
1250,2011-12,2012-02-26,Ohio State,8,Wisconsin,16,0,60,63,-3
1251,2011-12,2012-01-12,Duke,8,Virginia,16,1,61,58,3
1252,2010-11,2011-02-09,Notre Dame,8,Louisville,16,1,89,79,10
1253,2007-08,2008-02-23,Butler,8,Drake,16,0,64,71,-7
1254,2007-08,2008-01-09,Tennessee,8,Mississippi,16,1,85,83,2
1255,1984-85,1985-01-27,North Carolina,8,Georgia Tech,16,0,62,66,-4
1256,1975-76,1975-12-06,Tennessee,8,Michigan,16,1,82,81,1
1257,1983-84,1984-01-21,Nevada-Las Vegas,8,Fresno State,17,1,64,62,2
1258,1979-80,1980-02-23,North Carolina,8,Duke,17,1,96,71,25
1259,1978-79,1979-02-05,Louisiana State,8,Vanderbilt,17,1,92,71,21
1260,1973-74,1973-12-13,Providence,8,San Francisco,17,1,76,57,19
1261,2018-19,2018-11-14,Villanova,8,Michigan,18,0,46,73,-27
1262,1987-88,1988-02-20,Pittsburgh,8,Georgetown,18,1,70,65,5
1263,1987-88,1988-02-12,Brigham Young,8,Wyoming,18,1,78,69,9
1264,1974-75,1975-01-06,Alabama,8,Tennessee,18,1,82,78,4
1265,1971-72,1971-12-07,Jacksonville,8,Florida State,18,0,83,90,-7
1266,2016-17,2017-03-04,Louisville,8,Notre Dame,19,1,71,64,7
1267,2013-14,2014-02-22,Kansas,8,Texas,19,1,85,54,31
1268,2010-11,2011-02-28,Notre Dame,8,Villanova,19,1,93,72,21
1269,2008-09,2009-03-08,Michigan State,8,Purdue,19,1,62,51,11
1270,2004-05,2005-02-07,Syracuse,8,Connecticut,19,0,66,74,-8
1271,2002-03,2003-02-01,Louisville,8,Indiana,19,1,95,76,19
1272,1957-58,1957-12-17,West Virginia,8,Richmond,19,1,76,74,2
1273,1956-57,1956-12-22,West Virginia,8,NC State,19,1,107,79,28
1274,2005-06,2006-02-25,Illinois,8,Iowa,20,1,71,59,12
1275,2005-06,2006-01-21,Villanova,8,Syracuse,20,1,80,65,15
1276,1988-89,1988-12-17,North Carolina,8,UCLA,20,1,104,78,26
1277,1986-87,1987-02-28,Georgetown,8,Providence,20,1,90,79,11
1278,1955-56,1956-03-02,North Carolina,8,Wake Forest,20,0,56,77,-21
1279,1953-54,1954-01-09,Duke,8,NC State,20,1,87,85,2
1280,1952-53,1953-01-30,Oklahoma State,8,Tulsa,20,1,47,45,2
1281,1950-51,1951-01-10,Columbia,8,Princeton,20,1,53,52,1
1282,2010-11,2011-01-29,Villanova,8,Georgetown,21,0,66,69,-3
1283,2022-23,2023-02-07,Virginia,8,NC State,22,1,63,50,13
1284,2018-19,2019-01-22,Kentucky,8,Mississippi State,22,1,76,55,21
1285,2007-08,2008-03-01,Stanford,8,Washington State,22,1,60,53,7
1286,2022-23,2023-02-21,Texas,8,Iowa State,23,1,72,54,18
1287,2018-19,2019-01-08,Texas Tech,8,Oklahoma,23,1,66,59,7
1288,2015-16,2016-02-17,Xavier,8,Providence,23,1,85,74,11
1289,2013-14,2014-01-20,Kansas,8,Baylor,24,1,78,68,10
1290,2012-13,2013-03-09,Louisville,8,Notre Dame,24,1,73,57,16
1291,2007-08,2008-02-09,Wisconsin,8,Purdue,24,0,67,72,-5
1292,2002-03,2003-01-22,Kentucky,8,Auburn,24,1,67,51,16
1293,1995-96,1996-01-06,Villanova,8,Boston College,24,1,94,77,17
1294,2015-16,2016-02-06,Texas A&M,8,South Carolina,25,0,78,81,-3
1295,2010-11,2010-12-30,Villanova,8,Temple,25,1,78,74,4
1296,2008-09,2009-01-31,Marquette,8,Georgetown,25,1,94,82,12
1297,1990-91,1991-01-19,Syracuse,8,Seton Hall,25,1,78,64,14
1298,2003-04,2004-01-17,North Carolina,9,Connecticut,1,1,86,83,3
1299,1998-99,1999-01-30,St. John's (NY),9,Connecticut,1,0,74,78,-4
1300,1992-93,1993-02-06,Iowa,9,Indiana,1,0,66,73,-7
1301,1991-92,1992-02-05,North Carolina,9,Duke,1,1,75,73,2
1302,1977-78,1978-02-26,Notre Dame,9,Marquette,1,1,65,59,6
1303,1970-71,1971-01-23,Notre Dame,9,UCLA,1,1,89,82,7
1304,1960-61,1961-02-18,Iowa,9,Ohio State,1,0,61,62,-1
1305,1956-57,1957-01-14,Iowa State,9,Kansas,1,1,39,37,2
1306,1949-50,1950-03-16,St. John's (NY),9,Bradley,1,0,72,83,-11
1307,2015-16,2015-12-01,North Carolina,9,Maryland,2,1,89,81,8
1308,2000-01,2001-02-25,Virginia,9,North Carolina,2,1,86,66,20
1309,1999-00,2000-03-09,Arizona,9,Stanford,2,1,86,81,5
1310,1988-89,1989-02-05,Iowa,9,Illinois,2,1,86,82,4
