,FakeMatchupPair,games,wins,WinPct,HomeRank,AwayRank,P-Value
90,4-1,11,5,0.45454545454545453,7-8,1-2,0.5
91,4-10,33,27,0.8181818181818182,7-8,19-20,0.0001620317343622446
92,4-11,13,10,0.7692307692307693,7-8,21-22,0.046142578125
93,4-12,9,9,1.0,7-8,23-24,0.001953125
94,4-13,20,15,0.75,7-8,25-26,0.020694732666015625
95,4-2,33,16,0.48484848484848486,7-8,3-4,0.5
96,4-3,31,24,0.7741935483870968,7-8,5-6,0.0016634464263916016
97,4-4,19,13,0.6842105263157895,7-8,7-8,0.08353424072265625
98,4-5,37,32,0.8648648648648649,7-8,9-10,3.7137651816010475e-06
99,4-6,35,27,0.7714285714285715,7-8,11-12,0.0009391127387061715
100,4-7,22,16,0.7272727272727273,7-8,13-14,0.026239395141601562
101,4-8,16,15,0.9375,7-8,15-16,0.0002593994140625
102,4-9,28,19,0.6785714285714286,7-8,17-18,0.04357927665114403
103,5-1,14,6,0.42857142857142855,9-10,1-2,0.395263671875
104,5-10,28,25,0.8928571428571429,9-10,19-20,1.372024416923523e-05
105,5-11,17,15,0.8823529411764706,9-10,21-22,0.0011749267578125
106,5-12,11,11,1.0,9-10,23-24,0.00048828125
107,5-13,22,18,0.8181818181818182,9-10,25-26,0.002171754837036133
108,5-2,34,19,0.5588235294117647,9-10,3-4,0.30379568063654006
109,5-3,35,19,0.5428571428571428,9-10,5-6,0.3679394004284404
110,5-4,40,32,0.8,9-10,7-8,9.108291487791575e-05
111,5-5,18,15,0.8333333333333334,9-10,9-10,0.0037689208984375
112,5-6,22,12,0.5454545454545454,9-10,11-12,0.4159059524536133
113,5-7,33,24,0.7272727272727273,9-10,13-14,0.0067654934246093035
114,5-8,38,26,0.6842105263157895,9-10,15-16,0.016776219839812256
115,5-9,27,18,0.6666666666666666,9-10,17-18,0.06103906035423279
116,6-1,17,10,0.5882352941176471,11-12,1-2,0.3145294189453125
117,6-10,32,28,0.875,11-12,19-20,9.650597348809242e-06
118,6-11,17,15,0.8823529411764706,11-12,21-22,0.0011749267578125
119,6-12,12,11,0.9166666666666666,11-12,23-24,0.003173828125
