,FakeMatchupPair,games,wins,WinPct,HomeRank,AwayRank,P-Value
109,5-3,35,19,0.5428571428571428,9-10,5-6,0.24977991660125554
110,5-4,40,32,0.8,9-10,7-8,2.1138511328899767e-05
111,5-5,18,15,0.8333333333333334,9-10,9-10,0.0006561279296875
112,5-6,22,12,0.5454545454545454,9-10,11-12,0.2617335319519043
113,5-7,33,24,0.7272727272727273,9-10,13-14,0.002275692066177726
114,5-8,38,26,0.6842105263157895,9-10,15-16,0.006926482630660757
115,5-9,27,18,0.6666666666666666,9-10,17-18,0.026119492948055267
116,6-1,17,10,0.5882352941176471,11-12,1-2,0.1661529541015625
117,6-10,32,28,0.875,11-12,19-20,1.2780074030160904e-06
118,6-11,17,15,0.8823529411764706,11-12,21-22,0.0001373291015625
119,6-12,12,11,0.9166666666666666,11-12,23-24,0.000244140625
120,6-13,18,12,0.6666666666666666,11-12,25-26,0.048126220703125
121,6-2,36,15,0.4166666666666667,11-12,3-4,0.2025161230703816
122,6-3,29,18,0.6206896551724138,11-12,5-6,0.06802297383546829
123,6-4,26,17,0.6538461538461539,11-12,7-8,0.03775934875011444
124,6-5,32,26,0.8125,11-12,9-10,5.653710104525089e-05
125,6-6,22,14,0.6363636363636364,11-12,11-12,0.06690025329589844
126,6-7,26,14,0.5384615384615384,11-12,13-14,0.2785985469818115
127,6-8,18,12,0.6666666666666666,11-12,15-16,0.048126220703125
128,6-9,33,24,0.7272727272727273,11-12,17-18,0.002275692066177726
129,7-1,13,2,0.15384615384615385,13-14,1-2,0.01123046875
130,7-10,29,21,0.7241379310344828,13-14,19-20,0.004065029323101044
131,7-11,22,17,0.7727272727272727,13-14,21-22,0.002171754837036133
132,7-12,12,10,0.8333333333333334,13-14,23-24,0.003173828125
133,7-13,15,10,0.6666666666666666,13-14,25-26,0.059234619140625
134,7-2,32,16,0.5,13-14,3-4,0.4300250329542905
135,7-3,37,22,0.5945945945945946,13-14,5-6,0.09387077949941158
136,7-4,18,11,0.6111111111111112,13-14,7-8,0.1189422607421875
137,7-5,33,21,0.6363636363636364,13-14,9-10,0.04007165622897446
138,7-6,30,19,0.6333333333333333,13-14,11-12,0.04936857335269451
139,7-7,10,6,0.6,13-14,13-14,0.171875
140,7-8,25,18,0.72,13-14,15-16,0.007316648960113525
141,7-9,25,18,0.72,13-14,17-18,0.007316648960113525
142,8-1,9,3,0.3333333333333333,15-16,1-2,0.25390625
143,8-10,31,28,0.9032258064516129,15-16,19-20,2.314336597919464e-07
144,8-11,31,23,0.7419354838709677,15-16,21-22,0.0016634464263916016
145,8-12,14,8,0.5714285714285714,15-16,23-24,0.21197509765625
146,8-13,20,18,0.9,15-16,25-26,2.002716064453125e-05
147,8-2,28,14,0.5,15-16,3-4,0.4252770096063614
148,8-3,21,12,0.5714285714285714,15-16,5-6,0.19165515899658203
149,8-4,26,14,0.5384615384615384,15-16,7-8,0.2785985469818115
150,8-5,32,21,0.65625,15-16,9-10,0.025051229866221547
151,8-6,17,8,0.47058823529411764,15-16,11-12,0.5
152,8-7,26,12,0.46153846153846156,15-16,13-14,0.42250949144363403
153,8-8,14,12,0.8571428571428571,15-16,15-16,0.00091552734375
154,8-9,37,26,0.7027027027027027,15-16,17-18,0.003816039301455021
155,9-1,18,6,0.3333333333333333,17-18,1-2,0.1189422607421875
156,9-10,21,14,0.6666666666666666,17-18,19-20,0.03917694091796875
157,9-11,22,15,0.6818181818181818,17-18,21-22,0.026239395141601562
158,9-12,21,15,0.7142857142857143,17-18,23-24,0.013301849365234375
159,9-13,19,14,0.7368421052631579,17-18,25-26,0.00960540771484375
160,9-2,23,8,0.34782608695652173,17-18,3-4,0.10501980781555176
161,9-3,27,14,0.5185185185185185,17-18,5-6,0.3505540192127228
162,9-4,21,13,0.6190476190476191,17-18,7-8,0.09462356567382812
163,9-5,29,18,0.6206896551724138,17-18,9-10,0.06802297383546829
164,9-6,29,16,0.5517241379310345,17-18,11-12,0.22912915982306004
165,9-7,26,17,0.6538461538461539,17-18,13-14,0.03775934875011444
166,9-8,27,17,0.6296296296296297,17-18,15-16,0.06103906035423279
167,9-9,10,8,0.8,17-18,17-18,0.0107421875
