data,season,team1,team2,score1,score2,result,spread,spreadOpen,overUnder,overUnderOpen,homeMoneyLine,awayMoneyLine
2018-09-08,2018,sam houston state,prairie view,41,32,1
2018-09-08,2018,jacksonville state,mississippi valley state,71,0,1
2018-09-08,2018,davidson,chowan,49,28,1
2018-09-08,2018,coastal carolina,uab,47,24,1,8.875,,8.875,,,
2018-09-08,2018,texas state,texas southern,36,20,1,-34.0,,-34.0,,,
2018-09-08,2018,louisville,indiana state,31,7,1
2018-09-08,2018,ut san antonio,baylor,20,37,0,17.0,,17.0,,,
2018-09-08,2018,arkansas-pine bluff,cumberland,55,0,1
2018-09-08,2018,alcorn state,louisiana college,78,0,1
2018-09-08,2018,texas a&m,clemson,26,28,0,12.25,,12.25,,,
2018-09-08,2018,alabama a&m,north alabama,20,25,0
2018-09-08,2018,austin peay,presbyterian college,24,0,1
2018-09-08,2018,abilene christian,angelo state,41,24,1
2018-09-08,2018,south dakota state,montana state,45,14,1
2018-09-08,2018,central arkansas,murray state,26,13,1
2018-09-08,2018,lsu,southeastern louisiana,31,0,1,-42.0,,-42.0,,,
2018-09-08,2018,northern arizona,eastern washington,26,31,0
2018-09-08,2018,houston christian,mcneese,34,51,0
2018-09-08,2018,northwestern state,grambling,34,7,1
2018-09-08,2018,middle tennessee,ut martin,61,37,1,-19.0,,-19.0,,,
2018-09-08,2018,troy,florida a&m,59,7,1,-34.5,,-34.5,,,
2018-09-08,2018,missouri,wyoming,40,13,1,-19.5,,-19.5,,,
2018-09-08,2018,louisiana tech,southern,54,17,1,-34.0,,-34.0,,,
2018-09-08,2018,southern mississippi,louisiana monroe,20,21,0,-5.25,,-5.25,,,
2018-09-08,2018,florida state,samford,36,26,1,-33.0,,-33.0,,,
2018-09-08,2018,western kentucky,maine,28,31,0,-10.0,,-10.0,,,
2018-09-08,2018,illinois,western illinois,34,14,1
2018-09-08,2018,auburn,alabama state,63,9,1,-62.0,,-62.0,,,
2018-09-08,2018,illinois state,eastern illinois,48,10,1
2018-09-08,2018,northern illinois,utah,6,17,0,12.0,,12.0,,,
2018-09-08,2018,indiana,virginia,20,16,1,-5.0,,-5.0,,,
2018-09-08,2018,old dominion,florida international,20,28,0,2.75,,2.75,,,
2018-09-08,2018,colorado state,arkansas,34,27,1,14.0,,14.0,,,
2018-09-08,2018,florida,kentucky,16,27,0,-13.5,,-13.5,,,
2018-09-08,2018,minnesota,fresno state,21,14,1,nan,,nan,,,
2018-09-08,2018,north texas,incarnate word,58,16,1,-43.5,,-43.5,,,
2018-09-09,2018,texas,tulsa,28,21,1,-22.125,,-22.125,,,
2018-09-09,2018,oklahoma state,south alabama,55,13,1,-30.75,,-30.75,,,
2018-09-09,2018,pittsburgh,penn state,6,51,0,7.5,,7.5,,,
2018-09-09,2018,miami (oh),cincinnati,0,21,0,-1.5,,-1.5,,,
2018-09-09,2018,oregon state,southern utah,48,25,1,-11.0,,-11.0,,,
2018-09-09,2018,tulane,nicholls,42,17,1,-17.0,,-17.0,,,
2018-09-09,2018,utah state,new mexico state,60,13,1,-23.25,,-23.25,,,
2018-09-09,2018,stanford,usc,17,3,1,-4.875,,-4.875,,,
2018-09-09,2018,unlv,utep,52,24,1,-22.375,,-22.375,,,
2018-09-09,2018,san diego state,sacramento state,28,14,1,-25.5,,-25.5,,,
2018-09-09,2018,cal poly,weber state,17,24,0
2018-09-09,2018,uc davis,san diego,54,21,1
2018-09-09,2018,boise state,connecticut,62,7,1,-33.5,,-33.5,,,
2018-09-09,2018,byu,california,18,21,0,-2.375,,-2.375,,,
2018-09-09,2018,arizona state,michigan state,16,13,1,4.625,,4.625,,,
2018-09-09,2018,washington state,san josé state,31,0,1,-32.25,,-32.25,,,
2018-09-09,2018,hawai'i,rice,43,29,1,-17.375,,-17.375,,,
2018-09-12,2018,campbell,coastal carolina,21,58,0
2018-09-13,2018,charlotte,old dominion,28,25,1,0.75,,0.75,,,
2018-09-13,2018,st francis (pa),richmond,27,35,0
2018-09-13,2018,wake forest,boston college,34,41,0,6.125,,6.125,,,
2018-09-13,2018,davidson,guilford,91,61,1
2018-09-13,2018,james madison,robert morris,73,7,1
2018-09-14,2018,utah state,tennessee tech,73,12,1
2018-09-14,2018,vmi,east tennessee state,24,27,0
2018-09-14,2018,gardner-webb,western carolina,10,28,0
2018-09-14,2018,memphis,georgia state,59,22,1,-28.75,,-28.75,,,
2018-09-15,2018,cal poly,brown,44,15,1
2018-09-15,2018,duquesne,dayton,31,26,1
2018-09-15,2018,georgia,middle tennessee,49,7,1,-34.125,,-34.125,,,
2018-09-15,2018,syracuse,florida state,30,7,1,3.5,,3.5,,,
2018-09-15,2018,army,hawai'i,28,21,1,-6.875,,-6.875,,,
2018-09-15,2018,tennessee,utep,24,0,1,-33.375,,-33.375,,,
2018-09-15,2018,connecticut,rhode island,56,49,1
2018-09-15,2018,harvard,san diego,36,14,1
2018-09-15,2018,indiana,ball state,38,10,1,-15.667,,-15.667,,,
2018-09-15,2018,nebraska,troy,19,24,0,-10.75,,-10.75,,,
2018-09-15,2018,kansas,rutgers,55,14,1,-1.167,,-1.167,,,
2018-09-15,2018,toledo,miami,24,49,0,12.0,,12.0,,,
2018-09-15,2018,maryland,temple,14,35,0,-15.5,,-15.5,,,
2018-09-15,2018,clemson,georgia southern,38,7,1,-31.875,,-31.875,,,
2018-09-15,2018,kentucky,murray state,48,10,1,-41.0,,-41.0,,,
2018-09-15,2018,iowa state,oklahoma,27,37,0,18.5,,18.5,,,
2018-09-15,2018,penn state,kent state,63,10,1,-35.375,,-35.375,,,
2018-09-15,2018,pittsburgh,georgia tech,24,19,1,3.375,,3.375,,,
2018-09-15,2018,uab,tulane,31,24,1,3.625,,3.625,,,
2018-09-15,2018,holy cross,yale,31,28,1
2018-09-15,2018,dartmouth,georgetown,41,0,1
2018-09-15,2018,youngstown state,valparaiso,42,7,1
2018-09-15,2018,drake,missouri s&t,52,12,1
2018-09-15,2018,stanford,uc davis,30,10,1,-31.0,,-31.0,,,
2018-09-15,2018,notre dame,vanderbilt,22,17,1,-13.875,,-13.875,,,
2018-09-15,2018,pennsylvania,bucknell,34,17,1
2018-09-15,2018,montana state,wagner,47,24,1
2018-09-15,2018,samford,mercer,24,30,0
2018-09-15,2018,missouri state,northern arizona,40,8,1
2018-09-15,2018,illinois,south florida,19,25,0,14.0,,14.0,,,
2018-09-15,2018,northern illinois,central michigan,24,16,1,-13.75,,-13.75,,,
2018-09-15,2018,north dakota state,north alabama,38,7,1
2018-09-15,2018,delaware,cornell,27,10,1
2018-09-15,2018,auburn,lsu,21,22,0,-10.0,,-10.0,,,
2018-09-15,2018,oklahoma state,boise state,44,21,1,2.125,,2.125,,,
2018-09-15,2018,villanova,towson,35,45,0
2018-09-15,2018,wisconsin,byu,21,24,0,-23.375,,-23.375,,,
2018-09-15,2018,baylor,duke,27,40,0,-2.375,,-2.375,,,
2018-09-15,2018,minnesota,miami (oh),26,3,1,-13.625,,-13.625,,,
2018-09-15,2018,michigan,smu,45,20,1,-36.75,,-36.75,,,
2018-09-15,2018,navy,lehigh,51,21,1,-33.0,,-33.0,,,
2018-09-15,2018,bowling green,eastern kentucky,42,35,1,-14.0,,-14.0,,,
2018-09-15,2018,wyoming,wofford,17,14,1,-14.0,,-14.0,,,
2018-09-15,2018,florida,colorado state,48,10,1,-21.25,,-21.25,,,
2018-09-15,2018,arkansas,north texas,17,44,0,-5.5,,-5.5,,,
2018-09-15,2018,northern colorado,sacramento state,25,28,0
2018-09-15,2018,ut martin,chattanooga,24,34,0
2018-09-15,2018,western illinois,montana,31,27,1
2018-09-15,2018,kansas state,ut san antonio,41,17,1,-20.875,,-20.875,,,
2018-09-15,2018,texas tech,houston,63,49,1,nan,,nan,,,
2018-09-15,2018,virginia,ohio,45,31,1,-2.375,,-2.375,,,
2018-09-15,2018,florida a&m,jackson state,16,18,0
2018-09-15,2018,kennesaw state,alabama state,62,13,1
2018-09-15,2018,central connecticut,columbia,24,41,0
2018-09-15,2018,oregon,san josé state,35,22,1,-42.75,,-42.75,,,
2018-09-15,2018,colorado,new hampshire,45,14,1,-37.0,,-37.0,,,
2018-09-15,2018,portland state,college of idaho,63,14,1
2018-09-15,2018,buffalo,eastern michigan,35,28,1,-3.0,,-3.0,,,
2018-09-15,2018,florida atlantic,bethune-cookman,49,28,1,-41.0,,-41.0,,,
2018-09-15,2018,lafayette,monmouth,20,24,0
2018-09-15,2018,morehead state,austin peay,40,78,0
2018-09-15,2018,bryant,marist,37,27,1
2018-09-15,2018,butler,princeton,7,50,0
2018-09-15,2018,fordham,stony brook,6,28,0
2018-09-15,2018,california,idaho state,45,23,1,-36.5,,-36.5,,,
2018-09-15,2018,tulsa,arkansas state,20,29,0,-1.625,,-1.625,,,
2018-09-15,2018,nevada,oregon state,37,35,1,-3.75,,-3.75,,,
2018-09-15,2018,southern,langston,33,18,1
2018-09-15,2018,sam houston state,north dakota,23,24,0
2018-09-15,2018,mcneese,nicholls,20,10,1
2018-09-15,2018,lamar,northwestern state,48,49,0
2018-09-15,2018,ole miss,alabama,7,62,0,22.625,,22.625,,,
2018-09-15,2018,albany,morgan state,30,27,1
2018-09-15,2018,incarnate word,stephen f. austin,31,7,1
2018-09-15,2018,eastern illinois,indiana state,41,55,0
2018-09-15,2018,western michigan,delaware state,68,0,1,-47.0,,-47.0,,,
