Id,Season,Week,Season Type,Start Date,Start Time Tbd,Completed,Neutral Site,Conference Game,Attendance,Venue Id,Venue,Home Id,Home Team,Home Conference,Home Division,Home Points,Home Line Scores[0],Home Line Scores[1],Home Line Scores[2],Home Line Scores[3],Home Post Win Prob,Home Pregame Elo,Home Postgame Elo,Away Id,Away Team,Away Conference,Away Division,Away Points,Away Line Scores[0],Away Line Scores[1],Away Line Scores[2],Away Line Scores[3],Away Post Win Prob,Away Pregame Elo,Away Postgame Elo,Excitement Index,Highlights,Notes
302470147,2010,1,regular,2010-09-04T19:00:00.000Z,False,True,False,False,,3643.0,Bobcat Stadium,147,Montana State,Big Sky,fcs,59,21,14,17,7,,,,2237,Fort Lewis,,,10,3,0,0,7,,,,,,
302470236,2010,1,regular,2010-09-04T19:00:00.000Z,False,True,False,True,,3720.0,Finley Stadium,236,Chattanooga,Southern,fcs,41,16,12,0,13,,,,2026,Appalachian State,Southern,fcs,42,7,0,7,28,,,,,,
302472803,2010,1,regular,2010-09-04T19:00:00.000Z,False,True,False,False,,3661.0,Bulldog Stadium,2803,Bryant,NEC,fcs,44,23,6,7,8,,,,2230,Fordham,Patriot,fcs,30,6,3,14,7,,,,,,
302470087,2010,1,regular,2010-09-04T19:30:00.000Z,,True,False,False,0.0,3855.0,Notre Dame Stadium,87,Notre Dame,FBS Independents,fbs,23,7,6,7,3,0.8959054254387226,1593.0,1605.0,2509,Purdue,Big Ten,fbs,12,0,3,0,9,0.1040945745612773,1492.0,1480.0,,,
302470113,2010,1,regular,2010-09-04T19:30:00.000Z,False,True,True,True,,,,113,UMass,CAA,fcs,27,0,14,0,13,,,,2729,William & Mary,CAA,fcs,23,7,9,0,7,,,,,,
302470242,2010,1,regular,2010-09-04T19:30:00.000Z,,True,True,False,0.0,,,242,Rice,Conference USA,fbs,17,3,7,0,7,0.6932619662802953,1144.0,1175.0,251,Texas,Big 12,fbs,34,0,24,7,3,0.3067380337197046,1904.0,1873.0,,,
302472483,2010,1,regular,2010-09-04T19:30:00.000Z,,True,False,True,0.0,3626.0,Autzen Stadium,2483,Oregon,Pac-10,fbs,72,28,31,6,7,0.999891231714784,1801.0,1955.0,167,New Mexico,Mountain West,fbs,0,0,0,0,0,0.0001087682852161,1281.0,1127.0,,,
302470277,2010,1,regular,2010-09-04T19:30:00.000Z,False,True,False,False,0.0,3842.0,Mountaineer Field at Milan Puskar Stadium,277,West Virginia,Big East,fbs,31,7,3,14,7,0.9486476575848336,1595.0,1649.0,324,Coastal Carolina,Big South,fcs,0,0,0,0,0,0.0513523424151665,1350.0,1296.0,,,
302470228,2010,1,regular,2010-09-04T19:30:00.000Z,,True,False,False,0.0,3836.0,Memorial Stadium,228,Clemson,ACC,fbs,35,7,14,7,7,0.470062753029223,1698.0,1709.0,249,North Texas,Sun Belt,fbs,10,0,7,0,3,0.529937246970777,1192.0,1181.0,,,
302472306,2010,1,regular,2010-09-04T19:30:00.000Z,,True,False,False,0.0,3636.0,Bill Snyder Family Football Stadium,2306,Kansas State,Big 12,fbs,31,7,0,10,14,0.4803055220934218,1496.0,1512.0,26,UCLA,Pac-10,fbs,22,0,10,3,9,0.5196944779065782,1512.0,1496.0,,,
302470130,2010,1,regular,2010-09-04T19:30:00.000Z,,True,False,False,0.0,3558.0,Michigan Stadium,130,Michigan,Big Ten,fbs,30,14,7,3,6,0.8730262434081888,1467.0,1529.0,41,Connecticut,Big East,fbs,10,0,10,0,0,0.1269737565918112,1604.0,1542.0,,,
302470097,2010,1,regular,2010-09-04T19:30:00.000Z,,True,False,False,0.0,3873.0,Papa John's Cardinal Stadium,97,Louisville,Big East,fbs,16,0,6,7,3,0.2881577382562047,1369.0,1370.0,96,Kentucky,SEC,fbs,23,13,7,3,0,0.7118422617437953,1560.0,1559.0,,,
302470145,2010,1,regular,2010-09-04T19:30:00.000Z,,True,False,False,0.0,3974.0,Vaught-Hemingway Stadium,145,Ole Miss,SEC,fbs,48,14,17,0,3,0.8805215402698989,,,55,Jacksonville State,OVC,fcs,49,7,3,3,21,0.119478459730101,,,,,
302472458,2010,1,regular,2010-09-04T19:35:00.000Z,False,True,False,False,,3856.0,Nottingham Field,2458,Northern Colorado,Big Sky,fcs,54,14,30,7,3,,,,2001,Adams State,,,0,0,0,0,0,,,,,,
302472065,2010,1,regular,2010-09-04T20:00:00.000Z,False,True,False,False,,3850.0,Municipal Stadium,2065,Bethune-Cookman,MEAC,fcs,70,21,14,21,14,,,,2206,Edward Waters,,,10,0,7,3,0,,,,,,
302470025,2010,1,regular,2010-09-04T20:00:00.000Z,False,True,False,False,0.0,3831.0,California Memorial Stadium,25,California,Pac-10,fbs,52,7,28,14,3,0.9999038511453656,,,302,UC Davis,Great West,fcs,3,0,0,3,0,9.61488546343e-05,,,,,
302472016,2010,1,regular,2010-09-04T21:00:00.000Z,False,True,False,False,,3771.0,Jack Spinks Stadium,2016,Alcorn State,SWAC,fcs,50,13,7,21,9,,,,2324,Langston,,,27,6,6,7,8,,,,,,
302472296,2010,1,regular,2010-09-04T21:00:00.000Z,False,True,False,False,,3976.0,Mississippi Veterans Memorial Stadium,2296,Jackson State,SWAC,fcs,32,7,15,3,7,,,,2170,Delta State,,,17,7,7,3,0,,,,,,
302470304,2010,1,regular,2010-09-04T21:35:00.000Z,False,True,False,False,,1930.0,Holt Arena,304,Idaho State,Big Sky,fcs,32,7,8,10,7,,,,2701,Montana-Western,,,3,3,0,0,0,,,,,,
302472116,2010,1,regular,2010-09-04T22:00:00.000Z,False,True,False,False,0.0,3652.0,Bright House Networks Stadium,2116,UCF,Conference USA,fbs,38,14,10,7,7,0.981501211086184,,,233,South Dakota,Great West,fcs,7,0,7,0,0,0.018498788913816,,,,,
302470258,2010,1,regular,2010-09-04T22:00:00.000Z,False,True,False,False,0.0,3923.0,Scott Stadium,258,Virginia,ACC,fbs,34,7,7,7,13,0.9817168658416676,,,257,Richmond,CAA,fcs,13,7,3,3,0,0.0182831341583323,,,,,
302472142,2010,1,regular,2010-09-04T22:00:00.000Z,False,True,False,False,,3617.0,Andy Kerr Stadium,2142,Colgate,Patriot,fcs,30,14,3,13,0,,,,2405,Monmouth,NEC,fcs,29,0,7,9,13,,,,,,
302472166,2010,1,regular,2010-09-04T22:00:00.000Z,False,True,False,False,,3897.0,Richardson Stadium,2166,Davidson,Pioneer,fcs,10,0,7,3,0,,,,46,Georgetown,Patriot,fcs,20,7,7,0,6,,,,,,
302472184,2010,1,regular,2010-09-04T22:00:00.000Z,False,True,False,False,,3623.0,Arthur J. Rooney Athletic Field,2184,Duquesne,NEC,fcs,17,7,0,10,0,,,,2083,Bucknell,Patriot,fcs,13,0,3,7,3,,,,,,
302470295,2010,1,regular,2010-09-04T22:00:00.000Z,False,True,False,False,,3918.0,Foreman Field,295,Old Dominion,FCS Independents,fcs,25,3,7,7,8,,,,294,Jacksonville,Pioneer,fcs,35,0,14,7,14,,,,,,
302472842,2010,1,regular,2010-09-04T22:00:00.000Z,False,True,True,False,,,,2842,UVA-Wise,,,16,7,0,0,9,,,,2097,Campbell,Pioneer,fcs,20,7,0,3,10,,,,,,
302470152,2010,1,regular,2010-09-04T22:00:00.000Z,False,True,False,False,0.0,3670.0,Carter-Finley Stadium,152,NC State,ACC,fbs,48,14,17,17,0,0.9995279362747466,,,2717,Western Carolina,Southern,fcs,7,7,0,0,0,0.0004720637252534,,,,,
