gameID,date,season,week,homeTeam,homeID,awayTeam,awayID,homeScore,awayScore,result,homePostWinProb,awayPostWinProb,homePreElo,homePostElo,awayPreElo,awayPostElo,overUnder,spread,openingOverUnder,openingSpread,homeMoneyline,awayMoneyline,homeRank,homePoints,awayRank,awayPoints,P Homewins Elo,Elo Brier Score,MoneylineProb,ML Brier Score
332780130,2013-10-05,2013,6,Michigan,130,Minnesota,135,42,13,1,0.991,0.009,1824.0,1863.0,1501.0,1462.0,51.0,18.0,50.0,16.5,-1200.0,775.0,19.0,471.0,,,0.8652197052285583,0.018165727858676716,0.8898305084745762,0.01213731686297042
332780197,2013-10-05,2013,6,Oklahoma State,197,Kansas State,2306,33,29,1,0.935,0.065,1830.0,1830.0,1744.0,1744.0,61.5,13.0,58.0,14.0,-500.0,400.0,21.0,230.0,,,0.6212967231224545,0.14341617191779085,0.8064516129032258,0.037460978147762766
332780202,2013-10-05,2013,6,Tulsa,202,Rice,242,27,30,0,0.735,0.265,1449.0,1445.0,1462.0,1466.0,54.5,3.0,55.0,2.5,-155.0,135.0,,,,,0.48130022207044143,0.23164990376505623,0.5882115462252725,0.3459928231127259
332780025,2013-10-05,2013,6,California,25,Washington State,265,22,44,0,0.947,0.053,1353.0,1297.0,1361.0,1417.0,66.0,2.0,1.5,64.5,110.0,-130.0,,,,,0.4884891087822083,0.23862160939883614,0.4572564612326044,0.20908347133896424
332780070,2013-10-05,2013,6,Idaho,70,Fresno State,278,14,61,0,0.12,0.88,948.0,888.0,1567.0,1627.0,68.5,27.5,64.0,25.0,3000.0,-7000.0,,,23.0,187.0,0.02756515953846242,0.0007598380203808857,0.03168228469433289,0.00100376716345276
332780038,2013-10-05,2013,6,Colorado,38,Oregon,2483,16,57,0,0.59,0.41,1165.0,1158.0,2123.0,2130.0,69.5,38.0,68.0,35.0,11000.0,-33000.0,,,2.0,1422.0,0.004011017293364472,1.6088259727668855e-05,0.008955385406239007,8.019892777427859e-05
332780344,2013-10-05,2013,6,Mississippi State,344,LSU,99,26,59,0,0.674,0.326,1715.0,1645.0,1902.0,1972.0,55.0,7.0,54.5,9.5,245.0,-290.0,,,10.0,979.0,0.2541767916495005,0.0646058414132336,0.28047464940668826,0.07866602895980469
332780058,2013-10-05,2013,6,South Florida,58,Cincinnati,2132,26,20,1,0.46,0.54,1308.0,1330.0,1579.0,1557.0,47.0,10.5,48.0,13.5,320.0,-390.0,,,,,0.1736464460559682,0.6828601961159319,0.2302631578947368,0.5924948060941828
332780201,2013-10-05,2013,6,Oklahoma,201,TCU,2628,20,17,1,0.775,0.225,1880.0,1879.0,1694.0,1695.0,47.0,10.5,48.0,10.0,-420.0,335.0,11.0,838.0,,,0.7447304068650347,0.06516256517929074,0.7784405624201108,0.0490885843807168
332780057,2013-10-05,2013,6,Florida,57,Arkansas,8,30,10,1,0.999,0.001,1760.0,1790.0,1595.0,1565.0,40.5,12.5,43.5,12.5,-500.0,400.0,18.0,481.0,,,0.7210782431975601,0.07779734641775944,0.8064516129032258,0.037460978147762766
332780167,2013-10-05,2013,6,New Mexico,167,New Mexico State,166,66,17,1,0.993,0.007,1191.0,1307.0,960.0,844.0,59.5,12.5,58.0,7.0,-440.0,350.0,,,,,0.7907981027972382,0.04376543379323493,0.7857142857142857,0.045918367346938785
332782638,2013-10-05,2013,6,UTEP,2638,Louisiana Tech,2348,35,38,0,0.75,0.25,1263.0,1267.0,1399.0,1395.0,60.5,1.5,0.0,58.5,103.0,-123.0,,,,,0.3136997423166875,0.09840752832955614,0.4717679663204214,0.22256501404610626
332780087,2013-10-05,2013,6,Notre Dame,87,Arizona State,9,37,34,1,0.74,0.26,1744.0,1749.0,1724.0,1719.0,63.5,7.0,63.0,6.5,205.0,-245.0,,,22.0,192.0,0.5287505638922686,0.22207603103185483,0.3158617532616159,0.4680451406502701
332780238,2013-10-05,2013,6,Vanderbilt,238,Missouri,142,28,51,0,0.886,0.114,1645.0,1583.0,1629.0,1691.0,56.5,3.0,2.5,57.0,127.0,-147.0,,,,,0.5230095872975623,0.2735390284051665,0.4253560419500938,0.18092776242344996
332782579,2013-10-05,2013,6,South Carolina,2579,Kentucky,96,35,28,1,0.948,0.052,1780.0,1768.0,1353.0,1365.0,54.0,21.5,55.0,21.0,-1650.0,1075.0,13.0,812.0,,,0.921145206889913,0.006218078396434629,0.9172087522176228,0.0068543907093629826
332830097,2013-10-10,2013,7,Louisville,97,Rutgers,164,24,10,1,0.923,0.077,1875.0,1878.0,1570.0,1567.0,57.0,19.0,55.0,16.5,-1500.0,900.0,8.0,1051.0,,,0.8526729520561114,0.021705259055860855,0.9036144578313252,0.009290172739149385
332852509,2013-10-12,2013,7,Purdue,2509,Nebraska,158,7,44,0,0.033,0.967,1286.0,1228.0,1673.0,1731.0,57.5,13.5,57.5,14.5,425.0,-550.0,,,,,0.09728596573147821,0.009464559128306353,0.18374558303886926,0.033762439286294
332850251,2013-10-12,2013,7,Texas,251,Oklahoma,201,36,20,1,0.959,0.041,1619.0,1689.0,1879.0,1809.0,57.5,13.5,56.5,11.5,395.0,-520.0,,,12.0,819.0,0.18292116580002576,0.6676178212975888,0.19411396368190353,0.6494523035324922
332850061,2013-10-12,2013,7,Georgia,61,Missouri,142,26,41,0,0.863,0.137,1851.0,1799.0,1691.0,1743.0,66.0,6.5,63.0,11.0,-265.0,215.0,7.0,1138.0,25.0,105.0,0.7152527510491987,0.511586497883447,0.6957699520733487,0.48409582620814995
332852641,2013-10-12,2013,7,Texas Tech,2641,Iowa State,66,42,35,1,0.985,0.015,1698.0,1699.0,1550.0,1549.0,58.5,14.5,56.5,17.0,-620.0,470.0,20.0,358.0,,,0.700977398610108,0.08941451614197825,0.8307475317348377,0.02864639801384976
332850259,2013-10-12,2013,7,Virginia Tech,259,Pittsburgh,221,19,9,1,0.833,0.167,1600.0,1614.0,1555.0,1541.0,43.0,7.5,42.5,7.0,-300.0,240.0,24.0,115.0,,,0.5644004902404213,0.18974693290278533,0.7183098591549295,0.07934933544931565
332850041,2013-10-12,2013,7,Connecticut,41,South Florida,58,10,13,0,0.886,0.114,1356.0,1350.0,1330.0,1336.0,40.0,4.0,41.0,6.0,-190.0,165.0,,,,,0.5373473171664928,0.2887421392660274,0.6345305608065531,0.4026290325974788
332850127,2013-10-12,2013,7,Michigan State,127,Indiana,84,42,28,1,0.795,0.205,1688.0,1702.0,1522.0,1508.0,53.5,10.0,54.0,6.0,-370.0,300.0,,,,,0.7222345336491706,0.07715365429709375,0.758974358974359,0.058093359631821134
