data,season,team1,team2,score1,score2,result,spread,spreadOpen,overUnder,overUnderOpen,homeMoneyLine,awayMoneyLine
2019-09-07,2019,rice,wake forest,21,41,0,20.0,,20.0,,,
2019-09-07,2019,virginia,william & mary,52,17,1,-32.5,,-32.5,,,
2019-09-07,2019,boise state,marshall,14,7,1,-13.875,,-13.875,,,
2019-09-07,2019,arizona state,sacramento state,19,7,1,-35.0,,-35.0,,,
2019-09-07,2019,pittsburgh,ohio,20,10,1,-4.0,,-4.0,,,
2019-09-07,2019,memphis,southern,55,24,1,-41.0,,-41.0,,,
2019-09-07,2019,south carolina,charleston southern,72,10,1,-36.5,,-36.5,,,
2019-09-07,2019,missouri,west virginia,38,7,1,-13.5,,-13.5,,,
2019-09-07,2019,michigan,army,24,21,1,-21.75,,-21.75,,,
2019-09-07,2019,kansas state,bowling green,52,0,1,-24.875,,-24.875,,,
2019-09-07,2019,maryland,syracuse,63,20,1,-1.25,,-1.25,,,
2019-09-07,2019,akron,uab,20,31,0,7.5,,7.5,,,
2019-09-07,2019,ohio state,cincinnati,42,0,1,-14.75,,-14.75,,,
2019-09-07,2019,kent state,kennesaw state,26,23,1
2019-09-07,2019,purdue,vanderbilt,42,24,1,-7.125,,-7.125,,,
2019-09-07,2019,iowa,rutgers,30,0,1,-17.75,,-17.75,,,
2019-09-07,2019,virginia tech,old dominion,31,17,1,-29.0,,-29.0,,,
2019-09-07,2019,georgetown,marist,43,3,1
2019-09-07,2019,nc state,western carolina,41,0,1,-41.0,,-41.0,,,
2019-09-07,2019,indiana state,dayton,35,42,0
2019-09-07,2019,monmouth,lafayette,24,21,1
2019-09-07,2019,robert morris,kentucky state,7,13,0
2019-09-07,2019,utah,northern illinois,35,17,1,-23.0,,-23.0,,,
2019-09-07,2019,holy cross,new hampshire,13,10,1
2019-09-07,2019,vmi,mars hill,63,21,1
2019-09-07,2019,georgia tech,south florida,14,10,1,-4.75,,-4.75,,,
2019-09-07,2019,presbyterian college,mercer,7,45,0
2019-09-07,2019,youngstown state,howard,54,28,1
2019-09-07,2019,elon,the citadel,35,28,1
2019-09-07,2019,ball state,fordham,57,29,1,-29.5,,-29.5,,,
2019-09-07,2019,miami (oh),tennessee tech,48,17,1,-37.5,,-37.5,,,
2019-09-07,2019,austin peay,central arkansas,16,24,0
2019-09-07,2019,umass,southern illinois,20,45,0,-6.5,,-6.5,,,
2019-09-07,2019,north dakota state,north dakota,38,7,1
2019-09-07,2019,appalachian state,charlotte,56,41,1,-23.375,,-23.375,,,
2019-09-07,2019,colorado,nebraska,34,31,1,4.375,,4.375,,,
2019-09-07,2019,clemson,texas a&m,24,10,1,-16.25,,-16.25,,,
2019-09-07,2019,mississippi state,southern mississippi,38,15,1,-16.125,,-16.125,,,
2019-09-07,2019,boston college,richmond,45,13,1,-33.5,,-33.5,,,
2019-09-07,2019,louisiana tech,grambling,20,14,1,-30.5,,-30.5,,,
2019-09-07,2019,connecticut,illinois,23,31,0,21.0,,21.0,,,
2019-09-07,2019,wisconsin,central michigan,61,0,1,-34.75,,-34.75,,,
2019-09-07,2019,indiana,eastern illinois,52,0,1,-35.5,,-35.5,,,
2019-09-07,2019,georgia,murray state,63,17,1,-49.5,,-49.5,,,
2019-09-07,2019,alabama,new mexico state,62,10,1,-54.875,,-54.875,,,
2019-09-07,2019,colorado state,western illinois,38,13,1,-12.0,,-12.0,,,
2019-09-07,2019,south carolina state,lane,34,0,1
2019-09-07,2019,duquesne,walsh,44,3,1
2019-09-07,2019,baylor,ut san antonio,63,14,1,-25.0,,-25.0,,,
2019-09-07,2019,eastern washington,lindenwood,59,31,1
2019-09-07,2019,ucla,san diego state,14,23,0,-7.5,,-7.5,,,
2019-09-07,2019,florida state,louisiana monroe,45,44,1,-22.875,,-22.875,,,
2019-09-07,2019,washington state,northern colorado,59,17,1,-42.0,,-42.0,,,
2019-09-07,2019,northern iowa,southern utah,34,14,1
2019-09-07,2019,san diego,uc davis,35,38,0
2019-09-07,2019,portland state,simon fraser,70,7,1
2019-09-07,2019,east carolina,gardner-webb,48,9,1,-31.0,,-31.0,,,
2019-09-07,2019,duke,north carolina a&t,45,13,1,-27.5,,-27.5,,,
2019-09-07,2019,hampton,virginia union,17,36,0
2019-09-07,2019,norfolk state,virginia state,44,21,1
2019-09-07,2019,alabama state,tuskegee,38,31,1
2019-09-07,2019,campbell,shaw,38,14,1
2019-09-07,2019,butler,indiana wesleyan,30,27,1
