date,neutral,season,team1,team2,score1,score2,open1,close1,open2,close2,oneH2,twoH2,moneyline1,moneyline2
1204,True,2010,FloridaState,VirginiaTech,33,44,51,4.5,50.5,4.5,25.5,2,165,-195
1204,True,2010,Nebraska,Oklahoma,20,23,54,2.5,52,4.5,27,4,170,-200
1211,True,2010,Navy,Army,31,17,7.5,56.5,7.5,52.5,2.5,24,-320,260
1218,True,2010,UTEP,BYU,24,52,49,12,51,10.5,26,4,310,-380
1218,True,2010,NoIllinois,FresnoState,40,17,3,60,1.5,57,28.5,pk,-125,105
1218,True,2010,Ohio,Troy,21,48,58,1,57.5,1.5,27,2.5,100,-120
1221,True,2010,Louisville,SoMississippi,31,28,3.5,57.5,2.5,59.5,1.5,31,-140,120
1222,True,2010,Utah,BoiseState,3,26,61,17.5,57.5,16,28,9.5,550,-750
1224,True,2010,Tulsa,Hawaii,62,35,70,12,75,10.5,37,10,310,-380
1226,True,2010,FloridaIntl,Toledo,34,32,56,2.5,2.5,59,0.5,29,-130,110
1227,True,2010,GeorgiaTech,AirForce,7,14,56,2.5,55,3,24.5,2.5,125,-145
1228,True,2010,NCState,WestVirginia,23,7,48.5,2.5,50,3,24,0.5,130,-150
1228,True,2010,Missouri,Iowa,24,27,1,46.5,3,46.5,3.5,24,-150,130
1229,True,2010,EastCarolina,Maryland,20,51,69,7.5,70.5,8,31.5,3.5,270,-330
1229,True,2010,Illinois,Baylor,38,14,61.5,1.5,2.5,65.5,pk,31,-130,110
1229,True,2010,ArizonaU,OklahomaState,10,36,64.5,6,69,5,34.5,pk,170,-200
1230,True,2010,Army,SMU,16,14,52,8,50,7.5,24,7,250,-300
1230,True,2010,KansasState,Syracuse,34,36,3,47,1,48.5,pk,25,-114,103
1230,True,2010,NorthCarolina,TennesseeU,30,27,1.5,50,50,1,24.5,pk,-130,110
1230,True,2010,WashingtonU,Nebraska,19,7,52.5,13,55.5,13,24.5,7.5,390,-490
1231,True,2010,SouthFlorida,Clemson,31,26,40,4,41,5,21,3,175,-210
1231,True,2010,NotreDame,MiamiFlorida,33,17,45.5,3,48,2.5,21.5,3,115,-135
1231,True,2010,CentralFlorida,Georgia,10,6,54,7,53.5,6.5,23.5,3.5,210,-250
1231,True,2010,FloridaState,SouthCarolina,26,17,54,3,55,3,24,3.5,120,-140
101,True,2010,Northwestern,TexasTech,38,45,59.5,9.5,63,7.5,30.5,4.5,250,-300
101,True,2010,PennState,Florida,24,37,47,7,47.5,7,24,4.5,210,-250
101,True,2010,MichiganState,Alabama,7,49,50.5,10.5,51,8,23.5,4,250,-300
101,True,2010,Michigan,MississippiSt,14,52,58.5,6,62,3,31.5,pk,145,-165
101,True,2010,TCU,Wisconsin,21,19,3,56.5,3,55,2,28,-150,130
101,True,2010,Connecticut,Oklahoma,20,48,56,17,54,16.5,27,10,520,-720
103,True,2010,VirginiaTech,Stanford,12,40,58,3,59,4,28.5,2.5,155,-175
104,True,2010,Arkansas,OhioState,26,31,57.5,3,58,3,1,30.5,130,-150
106,True,2010,MiddleTennSt,MiamiOhio,21,35,48,1.5,1.5,49,1,24.5,-125,105
107,True,2010,TexasA&M,LSU,24,41,49,1,48.5,2,27.5,0.5,110,-130
108,True,2010,Kentucky,PittsburghU,10,27,52.5,3,52,4.5,24,pk,165,-190
109,True,2010,BostonCollege,Nevada,13,20,55,9.5,54,8,26.5,5.5,250,-300
110,True,2010,Oregon,Auburn,19,22,74.5,3,73,pk,1,38.5,100,-120
903,True,2011,Oregon,LSU,27,40,2.5,55.5,3,54.5,4,25,-170,150
1202,True,2011,NoIllinois,Ohio,23,20,4,70,3.5,71.5,5,33.5,-170,150
1203,True,2011,Georgia,LSU,10,42,45,10,46.5,12,23,6.5,350,-450
1203,True,2011,VirginiaTech,Clemson,10,38,6.5,52.5,7,54,4,26,-280,220
1203,True,2011,MichiganState,Wisconsin,39,42,54.5,10,56,9.5,28.5,5.5,320,-400
1210,True,2011,Army,Navy,21,27,56.5,7,56,7,27.5,4,250,-300
1217,True,2011,Temple,Wyoming,37,15,7,47.5,7,51.5,3,24.5,-270,230
1217,True,2011,UtahState,Ohio,23,24,3,58,1,62,pk,28.5,-130,110
1217,True,2011,ULLafayette,SanDiegoState,32,30,60,5,60,6,29.5,4.5,190,-230
1220,True,2011,FloridaIntl,Marshall,10,20,4,50,4.5,49,3.5,24,-210,175
1221,True,2011,LouisianaTech,TCU,24,31,55.5,11,54,10,27,7,305,-375
1222,True,2011,ArizonaState,BoiseState,24,56,67,13,65.5,14.5,29.5,7,450,-600
1224,True,2011,Nevada,SouthernMiss,17,24,60,6,65,7,31,4,245,-305
1226,True,2011,NorthCarolina,Missouri,24,41,53.5,3.5,53.5,4.5,27,1,170,-200
1227,True,2011,WesternMichigan,Purdue,32,37,60,2.5,62.5,1.5,3,32,100,-120
1227,True,2011,Louisville,NCState,24,31,45.5,1.5,44,1.5,0.5,22.5,105,-125
1228,True,2011,Toledo,AirForce,42,41,3,71,3,68.5,2.5,36.5,-165,145
1228,True,2011,California,Texas,10,21,47,3,48,3,21,pk,135,-155
1229,True,2011,NotreDame,FloridaState,14,18,48,3,47,3,21,0.5,135,-155
1229,True,2011,WashingtonU,Baylor,56,67,76.5,8.5,79,8,42.5,7,260,-320
1230,True,2011,Tulsa,BYU,21,24,55.5,pk,2.5,60,0.5,28.5,-140,120
1230,True,2011,Rutgers,IowaState,27,13,2,44.5,46,2,23,3,110,-130
1230,True,2011,WakeForest,MississippiSt,17,23,48,6.5,49,7,24,3.5,230,-270
1230,True,2011,Iowa,Oklahoma,14,31,58,15.5,58,13.5,26.5,6.5,425,-550
1231,True,2011,TexasA&M,Northwestern,33,22,10,65,9.5,69,4,34,-350,290
1231,True,2011,Utah,GeorgiaTech,30,27,51,3,49,1.5,24,1.5,105,-125
1231,True,2011,UCLA,Illinois,14,20,47,3,45.5,3,21,3,130,-150
1231,True,2011,CincinnatiU,Vanderbilt,31,24,49.5,1.5,51,2,24,1.5,105,-125
1231,True,2011,Virginia,Auburn,24,43,48.5,1,49,2.5,2,27.5,120,-140
102,True,2011,PennState,HoustonU,14,30,57.5,7,56,6.5,28,4,220,-260
102,True,2011,MichiganState,Georgia,33,30,51,3,48,2,2.5,21.5,115,-135
102,True,2011,Nebraska,SouthCarolina,13,30,48,1,45,3,23.5,pk,130,-150
102,True,2011,Florida,OhioState,24,17,1,43,2.5,44,22,0.5,-140,120
102,True,2011,Wisconsin,Oregon,38,45,72,4.5,74.5,4.5,42.5,4,170,-200
102,True,2011,Stanford,OklahomaState,38,41,76,3,73.5,4.5,38,3.5,175,-210
103,True,2011,Michigan,VirginiaTech,23,20,1,51,2.5,53,25,1,-145,125
104,True,2011,WestVirginia,Clemson,70,33,60,pk,64.5,3,37,7.5,135,-155
106,True,2011,KansasState,Arkansas,16,29,64,7.5,65,9.5,31,4,290,-350
107,True,2011,SMU,PittsburghU,28,6,48.5,5.5,47.5,4,23.5,4,165,-185
108,True,2011,ArkansasState,NoIllinois,20,38,1,62,1.5,66,2.5,33,-125,105
109,True,2011,Alabama,LSU,21,0,39,1,2.5,41.5,pk,19.5,-140,120
901,True,2012,NotreDame,Navy,50,10,17,58.5,14.5,51.5,7.5,23.5,-624,501
901,True,2012,Michigan,Alabama,14,41,46,11,48.5,13,23.5,7,415,-485
1201,True,2012,Alabama,Georgia,32,28,7.5,50.5,9,49.5,5.5,23,-325,265
1201,True,2012,FloridaState,GeorgiaTech,21,15,13,63.5,15.5,59.5,7.5,27.5,-590,465
1201,True,2012,Nebraska,Wisconsin,31,70,3,49,3.5,51,3.5,24.5,-170,150
1207,True,2012,Navy,Army,17,13,7.5,57,7,55.5,4,27.5,-290,245
1215,True,2012,Nevada,ArizonaU,48,49,76,9,80,8.5,45,7,285,-345
1215,True,2012,Toledo,UtahState,15,41,57.5,10,59.5,10,28,6,335,-425
1221,True,2012,BallState,CentralFlorida,17,38,63,7.5,60,7,28.5,2.5,245,-300
1222,True,2012,EastCarolina,ULLafayette,34,43,64,5.5,69.5,6.5,37.5,3,190,-230
1222,True,2012,WashingtonU,BoiseState,26,28,46,5,44,4,23.5,2.5,165,-190
1224,True,2012,SMU,FresnoState,43,10,59.5,10.5,63,13.5,30,9,430,-560
1226,True,2012,CentralMichigan,WesternKentucky,24,21,60,6,55.5,6,27.5,3,200,-240
1227,True,2012,BowlingGreen,SanJoseState,20,29,47,7.5,46,7,23,3,245,-290
1227,True,2012,CincinnatiU,Duke,48,34,7.5,58,8.5,62.5,6.5,32,-330,270
1227,True,2012,Baylor,UCLA,49,26,78,2,81,3,39.5,3,125,-145
1228,True,2012,Ohio,ULMonroe,45,14,61,6.5,59,7,29,6,220,-260
1228,True,2012,Rutgers,VirginiaTech,10,13,41.5,2,42,pk,20,0.5,-110,-110
1228,True,2012,MinnesotaU,TexasTech,31,34,57,12.5,55,13,28.5,6.5,395,-500
1229,True,2012,Navy,ArizonaState,28,62,60.5,pk,61,pk,28.5,0.5,-115,-105
1229,True,2012,WestVirginia,Syracuse,14,38,56,14.5,54.5,13,27.5,6.5,400,-500
1229,True,2012,OregonState,Texas,27,31,3.5,73.5,4,70.5,2.5,29,-185,165
1229,True,2012,TCU,MichiganState,16,17,1,56.5,3,57,1.5,27.5,-160,140
1231,True,2012,GeorgiaTech,USC,21,7,66,10,63,7.5,27.5,4,250,-300
1231,True,2012,IowaState,Tulsa,17,31,1,52,50.5,1.5,24.5,1.5,115,-135
1231,True,2012,Clemson,LSU,25,24,58.5,3.5,57.5,5.5,28,3,175,-210
101,True,2012,Purdue,OklahomaState,14,58,70,17,69,17.5,29.5,7,610,-820
101,True,2012,Northwestern,MississippiSt,34,20,51.5,2,1.5,54.5,pk,26,-130,110
101,True,2012,Michigan,SouthCarolina,28,33,48,3.5,47.5,5.5,24,1,175,-215
101,True,2012,Nebraska,Georgia,31,45,57,9.5,62,9.5,33.5,5,320,-400
101,True,2012,Wisconsin,Stanford,14,20,47.5,6.5,46.5,4.5,23.5,1.5,165,-190
101,True,2012,NoIllinois,FloridaState,10,31,58,14,58.5,14.5,27,9.5,450,-600
102,True,2012,Louisville,Florida,33,23,45.5,13.5,47,14,24,9,450,-600
103,True,2012,KansasState,Oregon,17,35,75,7.5,74,7.5,35.5,3,250,-300
104,True,2012,TexasA&M,Oklahoma,41,13,4.5,71.5,3,72,2,35.5,-150,130
105,True,2012,PittsburghU,Mississippi,17,38,52,3,54,4.5,26,1.5,165,-190
106,True,2012,ArkansasState,KentState,17,13,5,61,2.5,64.5,pk,31.5,-125,105
107,True,2012,Alabama,NotreDame,42,14,9.5,42,9.5,40,7,18,-310,255
1207,True,2013,Missouri,Auburn,42,59,58,3,2,59.5,33,2.5,-130,110
1207,True,2013,Duke,FloridaState,7,45,61.5,30,66,30,30.5,14,2200,-5200
1207,True,2013,OhioState,MichiganState,24,34,6.5,51.5,5.5,53.5,4.5,26.5,-220,190
1221,True,2013,ColoradoState,WashingtonState,48,45,66,3.5,64,4,NL,NL,160,-185
1221,True,2013,USC,FresnoState,45,20,5.5,62,4.5,65.5,0.5,30.5,-195,165
1221,True,2013,BuffaloU,SanDiegoState,24,49,2,54,pk,48.5,3,24,-115,-105
1224,True,2013,Ohio,EastCarolina,20,37,62,12.5,63.5,14,34.5,9,435,-575
1226,True,2013,PittsburghU,BowlingGreen,30,27,51,6,50,6.5,24,4.5,210,-250
1226,True,2013,UtahState,NoIllinois,21,14,58,1.5,2.5,55.5,24.5,0.5,-135,115
1227,True,2013,Marshall,Maryland,31,20,2.5,59.5,2.5,64,34,0.5,-140,120
1227,True,2013,Syracuse,MinnesotaU,21,17,47.5,4.5,48,3.5,21,0.5,145,-170
1227,True,2013,WashingtonU,BYU,31,16,3,59,6,65.5,3,34.5,-230,192
1228,True,2013,Rutgers,NotreDame,16,29,53,15.5,53.5,14.5,27,7.5,450,-600
1228,True,2013,CincinnatiU,NorthCarolina,17,39,54.5,3,60,2.5,0.5,28.5,115,-135
1228,True,2013,MiamiFlorida,Louisville,9,36,55.5,3,60,5.5,28,4,180,-210
1228,True,2013,Michigan,KansasState,14,31,56,3,52.5,7,26,3,227,-275
1230,True,2013,MiddleTennSt,Navy,6,24,55,6.5,58,6.5,27.5,2.5,230,-270
1230,True,2013,Mississippi,GeorgiaTech,25,17,2.5,57.5,2.5,57,27,pk,-135,115
1230,True,2013,Texas,Oregon,7,30,66,10.5,68,15,33.5,7.5,445,-600
1230,True,2013,TexasTech,ArizonaState,37,23,68.5,11.5,72.5,17,36.5,10.5,545,-800
1231,True,2013,BostonCollege,ArizonaU,19,42,57,7,57,7,27,5,240,-290
1231,True,2013,VirginiaTech,UCLA,12,42,47,7.5,45,7,21.5,3,240,-290
1231,True,2013,MississippiSt,Rice,44,7,7,51.5,7,50,6,24.5,-285,235
1231,True,2013,Duke,TexasA&M,48,52,70,11.5,75.5,13.5,41.5,10,435,-560
101,True,2013,Nebraska,Georgia,24,19,60,9,61,9.5,26.5,6,280,-350
101,True,2013,UNLV,NorthTexas,14,36,54.5,6.5,53,6,24.5,3,200,-235
101,True,2013,Wisconsin,SouthCarolina,24,34,2,51,1.5,51,2,26.5,-120,100
101,True,2013,Iowa,LSU,14,21,49.5,7,48.5,7.5,21,4,255,-315
101,True,2013,MichiganState,Stanford,24,20,45,3,41.5,7,21,3,235,-285
101,True,2013,CentralFlorida,Baylor,52,42,66.5,16.5,75,16.5,41.5,11.5,520,-670
102,True,2013,Oklahoma,Alabama,45,31,51,15,51.5,16.5,29.5,10.5,565,-800
103,True,2013,OklahomaState,Missouri,31,41,60.5,1.5,3,62,3.5,31.5,-160,135
103,True,2013,Clemson,OhioState,40,35,66.5,3,71.5,2.5,38,0.5,115,-135
104,True,2013,HoustonU,Vanderbilt,24,41,54.5,3,53,1.5,24,0.5,100,-120
105,True,2013,ArkansasState,BallState,23,20,61,9,65.5,6,31.5,3.5,200,-240
106,True,2013,Auburn,FloridaState,31,34,65,9.5,68,11,35,8.5,310,-380
1206,True,2014,Missouri,Alabama,13,42,48.5,13,49,14,24,7.5,575,-800
1206,True,2014,FloridaState,GeorgiaTech,37,35,4,60,3.5,64,1.5,33,-170,146
1206,True,2014,Wisconsin,OhioState,0,59,4,54,4,55,0.5,26.5,-190,161
1220,True,2014,Nevada,ULLafayette,3,16,3,60,1.5,62.5,2.5,28.5,-125,105
1220,True,2014,UTEP,UtahState,6,21,50,10.5,45.5,10,21,5.5,300,-370
1220,True,2014,Utah,ColoradoState,45,10,4.5,58.5,3,57.5,2.5,28.5,-160,140
1220,True,2014,WesternMichigan,AirForce,24,38,2,56.5,2,59,3,28,-130,110
1220,True,2014,SouthAlabama,BowlingGreen,28,33,1.5,54,4,55,3.5,27.5,-190,165
1222,True,2014,BYU,Memphis,48,55,57.5,pk,56,1,31,0.5,-101,-119
1223,True,2014,NoIllinois,Marshall,23,52,64.5,10.5,67.5,8.5,34.5,3.5,265,-320
1223,True,2014,Navy,SanDiegoState,17,16,54.5,3,52,3,23.5,2,135,-160
1224,True,2014,CentralMichigan,WesternKentucky,48,49,65,2.5,67,3.5,35.5,0.5,145,-170
1224,True,2014,FresnoState,Rice,6,30,1.5,59,pk,58.5,1,27.5,-109,-111
1226,True,2014,Illinois,LouisianaTech,18,35,62,5,54.5,7,27,pk,230,-275
1226,True,2014,Rutgers,NorthCarolina,40,21,65.5,3.5,72,3.5,35.5,4,145,-170
1226,True,2014,NCState,CentralFlorida,34,27,50,1,48,2,24.5,0.5,110,-130
1227,True,2014,VirginiaTech,CincinnatiU,33,17,51,3.5,50,2,25.5,1.5,110,-130
1227,True,2014,Duke,ArizonaState,31,36,68,8,64.5,7.5,31.5,4,230,-280
1227,True,2014,MiamiFlorida,SouthCarolina,21,24,60,pk,3,62,3.5,30,-150,130
1227,True,2014,PennState,BostonCollege,31,30,40,2.5,41,3,20.5,2.5,125,-145
1227,True,2014,Nebraska,USC,42,45,61,5.5,63,7.5,31,3,235,-295
1229,True,2014,WestVirginia,TexasA&M,37,45,3.5,64,3,67,3,36,-170,150
1229,True,2014,Clemson,Oklahoma,40,6,54,pk,49.5,6,23.5,6.5,200,-240
1229,True,2014,Texas,Arkansas,7,31,47,5,43,7,21,3.5,240,-290
1230,True,2014,NotreDame,LSU,31,28,52,8,51,8.5,27,7,295,-355
1230,True,2014,Louisville,Georgia,14,37,57,7,55,7,26,pk,220,-260
1230,True,2014,Maryland,Stanford,21,45,48.5,13.5,44.5,14,22.5,6.5,425,-560
1231,True,2014,Mississippi,TCU,3,42,56.5,3,55,3,24,3,145,-165
1231,True,2014,BoiseState,ArizonaU,38,30,68.5,4,66,2.5,34.5,4.5,115,-135
1231,True,2014,GeorgiaTech,MississippiSt,49,34,60.5,7,60,6,30.5,5,190,-230
101,True,2014,Wisconsin,Auburn,34,31,61.5,4.5,65,6,30.5,0.5,190,-230
101,True,2014,MichiganState,Baylor,42,41,70.5,2,69,3,35,1,125,-145
101,True,2014,MinnesotaU,Missouri,17,33,49,5.5,46.5,3.5,21.5,pk,140,-160
101,True,2014,FloridaState,Oregon,20,59,71,8,74,7.5,40,2.5,240,-290
101,True,2014,OhioState,Alabama,42,35,58,9.5,58,7.5,30,3.5,250,-300
102,True,2014,PittsburghU,HoustonU,34,35,2.5,54,5.5,54,1,24.5,-230,190
102,True,2014,Iowa,TennesseeU,28,45,52,2.5,51.5,3,24.5,pk,140,-160
102,True,2014,UCLA,KansasState,40,35,58.5,1.5,61.5,1.5,28.5,2,105,-125
