,Date,Rank,TeamID,Points,Team
313,1937 Final,6,41,103.0,Villanova
314,1937 Final,7,27,102.0,Dartmouth
315,1937 Final,8,13,97.0,LSU
316,1937 Final,9,23,90.0,Santa Clara
317,1937 Final,9,7,90.0,Notre Dame
318,1937 Final,11,15,35.0,Nebraska
319,1937 Final,12,10,18.0,Yale
320,1937 Final,13,31,14.0,Ohio State
321,1937 Final,14,17,9.0,Holy Cross
322,1937 Final,14,32,9.0,Arkansas
323,1937 Final,16,29,8.0,TCU
324,1937 Final,17,44,7.0,Colorado
325,1937 Final,18,43,6.0,Rice
326,1937 Final,19,40,5.0,North Carolina
327,1937 Final,20,2,4.0,Duke
328,1937 Final,NR,39,0.0,Vanderbilt
329,1937 Final,NR,8,0.0,Washington
330,1937 Final,NR,47,0.0,Tulsa
331,1938-10-17,1,9,926.0,Pittsburgh 
332,1938-10-17,2,1,691.0,Minnesota 
333,1938-10-17,3,34,517.0,California 
334,1938-10-17,4,27,515.0,Dartmouth 
335,1938-10-17,5,7,500.0,Notre Dame
336,1938-10-17,6,23,496.0,Santa Clara
337,1938-10-17,7,29,453.0,TCU 
338,1938-10-17,8,28,419.0,Tennessee
339,1938-10-17,9,2,128.0,Duke
340,1938-10-17,10,37,82.0,Syracuse
341,1938-10-17,11,16,77.0,Fordham
342,1938-10-17,12,48,48.0,Michigan
343,1938-10-17,13,49,45.0,Carnegie Mellon
344,1938-10-17,14,50,40.0,Oklahoma
345,1938-10-17,15,25,34.0,Alabama
346,1938-10-17,16,39,32.0,Vanderbilt
347,1938-10-17,17,35,31.0,Baylor
348,1938-10-17,18,4,23.0,Northwestern
349,1938-10-17,19,40,18.0,North Carolina
350,1938-10-17,20,41,9.0,Villanova
351,1938-10-24,1,9,989.0,Pittsburgh 
352,1938-10-24,2,1,681.0,Minnesota 
353,1938-10-24,3,34,620.0,California 
354,1938-10-24,4,29,572.0,TCU 
355,1938-10-24,5,23,571.0,Santa Clara 
356,1938-10-24,6,27,443.0,Dartmouth
357,1938-10-24,7,7,437.0,Notre Dame 
358,1938-10-24,8,28,413.0,Tennessee
359,1938-10-24,9,16,370.0,Fordham 
360,1938-10-24,10,50,116.0,Oklahoma
361,1938-10-24,11,2,114.0,Duke
362,1938-10-24,12,4,55.0,Northwestern
363,1938-10-24,13,48,36.0,Michigan
364,1938-10-24,14,17,15.0,Holy Cross
365,1938-10-24,15,41,14.0,Villanova
366,1938-10-24,16,49,13.0,Carnegie Mellon
367,1938-10-24,17,38,12.0,Cornell
368,1938-10-24,18,25,11.0,Alabama
369,1938-10-24,19,6,10.0,USC
370,1938-10-24,20,31,7.0,Ohio State
371,1938-10-24,NR,37,0.0,Syracuse
372,1938-10-24,NR,39,0.0,Vanderbilt
373,1938-10-24,NR,35,0.0,Baylor
374,1938-10-24,NR,40,0.0,North Carolina
375,1938-10-31,1,9,1139.0,Pittsburgh 
376,1938-10-31,2,29,901.0,TCU 
377,1938-10-31,3,34,692.0,California
378,1938-10-31,4,7,670.0,Notre Dame
379,1938-10-31,5,27,624.0,Dartmouth
380,1938-10-31,6,28,610.0,Tennessee 
381,1938-10-31,7,4,406.0,Northwestern
382,1938-10-31,8,23,390.0,Santa Clara
383,1938-10-31,9,2,274.0,Duke
384,1938-10-31,10,16,149.0,Fordham
385,1938-10-31,11,50,139.0,Oklahoma
386,1938-10-31,12,1,125.0,Minnesota
387,1938-10-31,13,17,42.0,Holy Cross
388,1938-10-31,13,6,42.0,USC
389,1938-10-31,15,25,13.0,Alabama
390,1938-10-31,16,48,12.0,Michigan
391,1938-10-31,16,38,12.0,Cornell
392,1938-10-31,18,51,11.0,Iowa State
393,1938-10-31,19,49,7.0,Carnegie Mellon
394,1938-10-31,19,14,7.0,Texas A&M
395,1938-10-31,NR,41,0.0,Villanova
396,1938-10-31,NR,31,0.0,Ohio State
